,Open,High,Low,Close
2023-01-03,340.160004,345.820007,331.920013,336.920013
2023-01-04,342.890015,345.630005,336.730011,341.410004
2023-01-05,337.529999,337.549988,328.160004,328.440002
2023-01-06,332.279999,334.880005,322.440002,332.75
2023-01-09,338.899994,349.459991,338.420013,341.980011
2023-01-10,337.649994,344.630005,336.799988,338.700012
2023-01-11,337.390015,343.190002,333.470001,342.929993
2023-01-12,344.170013,346.440002,337.369995,344.540009
2023-01-13,340.25,344.649994,335.5,344.380005
2023-01-17,344.380005,350.790009,341.970001,344.380005
2023-01-18,345.01001,349.23999,338.399994,341.309998
2023-01-19,340.559998,346.730011,340.01001,342.529999
2023-01-20,343.269989,357.420013,342.76001,356.380005
2023-01-23,358.279999,365.869995,356.850006,364.980011
2023-01-24,364.100006,364.450012,358.0,361.320007
2023-01-25,355.670013,359.730011,350.570007,358.170013
2023-01-26,362.76001,367.429993,360.720001,365.820007
2023-01-27,363.48999,373.420013,362.850006,370.709991
2023-01-30,365.899994,368.700012,362.829987,363.420013
2023-01-31,364.709991,370.700012,364.01001,370.339996
2023-02-01,370.01001,386.720001,366.799988,383.920013
2023-02-02,393.279999,402.48999,388.880005,392.230011
2023-02-03,384.290009,386.720001,377.920013,379.329987
2023-02-06,376.209991,379.290009,373.390015,375.230011
2023-02-07,373.429993,384.940002,372.76001,383.820007
2023-02-08,382.48999,387.279999,375.700012,378.359985
2023-02-09,384.970001,386.51001,374.019989,375.809998
2023-02-10,371.630005,374.519989,367.079987,370.98999
2023-02-13,373.410004,376.309998,371.029999,375.0
2023-02-14,375.0,380.559998,369.959991,377.899994
2023-02-15,375.600006,381.670013,374.839996,375.940002
2023-02-16,366.040009,373.48999,363.549988,365.160004
2023-02-17,359.309998,359.609985,352.119995,356.850006
2023-02-21,350.779999,353.25,345.690002,346.700012
2023-02-22,346.690002,353.170013,344.450012,348.720001
2023-02-23,350.440002,353.799988,343.929993,347.019989
2023-02-24,328.119995,329.76001,318.600006,320.540009
2023-02-27,322.019989,325.100006,320.700012,322.320007
2023-02-28,323.369995,325.730011,320.970001,323.950012
2023-03-01,323.799988,325.26001,321.0,323.380005
2023-03-02,323.380005,334.459991,321.559998,333.5
2023-03-03,334.690002,344.76001,334.480011,344.040009
2023-03-06,344.329987,351.779999,344.279999,347.019989
2023-03-07,347.859985,352.170013,344.059998,344.799988
2023-03-08,346.73999,348.690002,343.470001,345.839996
2023-03-09,344.720001,350.130005,336.98999,338.369995
2023-03-10,338.339996,338.519989,328.450012,329.299988
2023-03-13,329.420013,333.0,323.290009,324.269989
2023-03-14,332.209991,335.170013,328.700012,333.329987
2023-03-15,330.0,334.279999,328.170013,333.609985
2023-03-16,344.570007,355.48999,340.529999,353.290009
2023-03-17,354.779999,360.630005,350.839996,358.140015
2023-03-20,357.609985,364.940002,355.350006,362.880005
2023-03-21,364.630005,376.399994,362.920013,374.220001
2023-03-22,375.0,377.329987,361.519989,361.709991
2023-03-23,368.98999,375.25,365.48999,369.0
2023-03-24,370.230011,375.230011,367.720001,374.959991
2023-03-27,376.51001,380.350006,369.679993,373.149994
2023-03-28,373.420013,374.0,367.820007,373.399994
2023-03-29,376.679993,380.119995,375.559998,379.160004
2023-03-30,381.649994,382.579987,378.079987,381.899994
2023-03-31,382.290009,385.730011,380.26001,385.369995
2023-04-03,380.880005,383.730011,378.149994,380.079987
2023-04-04,382.23999,385.700012,381.049988,385.149994
2023-04-05,384.089996,386.0,377.26001,382.019989
2023-04-06,379.309998,382.459991,375.98999,380.600006
2023-04-10,375.480011,376.670013,372.26001,376.25
2023-04-11,374.01001,375.899994,368.350006,371.109985
2023-04-12,376.420013,378.230011,368.75,369.890015
2023-04-13,373.200012,379.019989,372.730011,378.799988
2023-04-14,376.369995,380.570007,375.140015,379.380005
2023-04-17,379.609985,380.76001,374.619995,377.920013
2023-04-18,380.899994,380.899994,374.48999,377.549988
2023-04-19,377.899994,382.839996,375.600006,380.109985
2023-04-20,376.040009,383.0,375.670013,380.26001
2023-04-21,379.970001,380.440002,375.440002,377.670013
2023-04-24,376.589996,378.950012,373.570007,377.339996
2023-04-25,373.630005,375.230011,368.880005,369.589996
2023-04-26,368.600006,369.450012,357.25,363.059998
2023-04-27,365.940002,373.820007,363.5,371.420013
2023-04-28,371.420013,377.690002,368.559998,377.559998
2023-05-01,376.51001,378.720001,373.709991,374.149994
2023-05-02,374.359985,375.850006,367.839996,368.660004
2023-05-03,363.48999,365.959991,344.23999,345.25
2023-05-04,347.970001,348.0,332.839996,335.829987
2023-05-05,338.980011,349.549988,338.029999,348.399994
2023-05-08,348.0,350.480011,340.76001,344.059998
2023-05-09,342.5,345.0,341.230011,342.649994
2023-05-10,348.25,352.0,341.829987,344.019989
2023-05-11,341.880005,344.660004,339.369995,341.579987
2023-05-12,340.51001,340.790009,331.890015,335.450012
2023-05-15,337.350006,345.890015,333.01001,345.670013
2023-05-16,344.200012,347.070007,341.170013,345.109985
2023-05-17,345.359985,358.690002,345.119995,356.630005
2023-05-18,357.0,361.480011,356.450012,360.429993
2023-05-19,363.0,372.079987,361.359985,371.25
2023-05-22,371.25,374.399994,369.660004,372.049988
2023-05-23,371.809998,376.48999,369.920013,370.420013
2023-05-24,368.410004,369.059998,361.720001,365.76001
2023-05-25,375.48999,397.649994,374.089996,392.059998
2023-05-26,396.720001,416.359985,396.570007,415.390015
2023-05-30,429.940002,432.98999,416.079987,417.209991
2023-05-31,413.899994,421.359985,410.700012,417.790009
2023-06-01,412.290009,430.600006,412.290009,426.75
2023-06-02,432.0,438.529999,430.359985,436.369995
2023-06-05,433.01001,440.380005,426.959991,434.179993
2023-06-06,432.549988,437.119995,431.23999,432.890015
2023-06-07,434.559998,436.809998,417.73999,418.320007
2023-06-08,424.149994,440.630005,423.579987,439.029999
2023-06-09,456.910004,466.589996,453.089996,454.0
2023-06-12,463.709991,478.040009,459.420013,474.630005
2023-06-13,489.709991,491.51001,470.359985,478.98999
2023-06-14,476.149994,483.850006,473.200012,479.529999
2023-06-15,475.470001,495.200012,474.25,490.910004
2023-06-16,518.22998,518.73999,494.619995,495.179993
2023-06-20,485.630005,492.690002,480.0,485.859985
2023-06-21,492.0,495.549988,475.309998,477.480011
2023-06-22,474.119995,481.0,473.019989,477.579987
2023-06-23,472.950012,487.329987,472.320007,484.720001
2023-06-26,483.01001,487.160004,479.049988,479.51001
2023-06-27,480.0,490.799988,479.950012,489.269989
2023-06-28,482.0,489.75,480.390015,482.429993
2023-06-29,484.470001,485.829987,479.600006,483.769989
2023-06-30,482.73999,492.809998,482.720001,488.98999
2023-07-03,486.390015,486.609985,479.839996,485.209991
2023-07-05,480.98999,489.410004,479.730011,487.26001
2023-07-06,479.98999,482.5,475.0,481.290009
2023-07-07,481.980011,490.420013,479.859985,485.269989
2023-07-10,485.269989,499.200012,485.109985,496.350006
2023-07-11,497.279999,506.029999,491.76001,504.73999
2023-07-12,509.410004,510.790009,500.01001,507.359985
2023-07-13,509.619995,519.409973,509.5,517.280029
2023-07-14,517.340027,523.789978,512.669983,514.830017
2023-07-17,513.0,522.690002,512.380005,522.0
2023-07-18,519.640015,535.130005,517.380005,532.22998
2023-07-19,534.47998,539.0,526.059998,527.169983
2023-07-20,522.030029,528.309998,514.090027,516.880005
2023-07-21,521.75,529.690002,519.280029,520.22998
2023-07-24,520.0,524.840027,514.859985,523.859985
2023-07-25,519.419983,526.880005,517.919983,525.340027
2023-07-26,520.48999,521.099976,510.440002,514.549988
2023-07-27,523.159973,527.900024,511.23999,513.969971
2023-07-28,515.429993,530.320007,514.630005,528.869995
2023-07-31,541.869995,552.940002,541.869995,546.169983
2023-08-01,545.780029,552.02002,541.669983,549.099976
2023-08-02,539.320007,539.98999,526.5,530.299988
2023-08-03,523.0,530.909973,522.219971,523.76001
2023-08-04,526.73999,535.630005,522.119995,526.880005
2023-08-07,530.0,532.580017,523.52002,529.72998
2023-08-08,523.98999,524.580017,515.25,520.599976
2023-08-09,520.549988,520.969971,509.529999,513.780029
2023-08-10,521.030029,523.219971,512.97998,515.830017
2023-08-11,510.829987,514.900024,506.369995,508.450012
2023-08-14,506.779999,522.549988,505.029999,522.25
2023-08-15,518.349976,522.039978,516.059998,518.700012
2023-08-16,517.809998,523.150024,514.169983,514.48999
2023-08-17,525.0,525.48999,510.559998,511.670013
2023-08-18,504.649994,510.049988,503.899994,508.130005
2023-08-21,510.290009,522.97998,510.290009,520.469971
2023-08-22,529.719971,530.0,518.349976,519.47998
2023-08-23,522.72998,535.25,519.23999,530.710022
2023-08-24,539.0,539.669983,511.049988,512.429993
2023-08-25,514.919983,528.429993,514.469971,525.059998
2023-08-28,525.700012,533.51001,523.97998,529.919983
2023-08-29,527.700012,541.969971,526.150024,540.570007
2023-08-30,540.099976,546.0,536.090027,545.359985
2023-08-31,547.0,562.099976,546.76001,559.340027
2023-09-01,564.799988,569.97998,558.52002,563.210022
2023-09-05,557.880005,567.590027,555.419983,564.880005
2023-09-06,560.450012,564.059998,555.849976,561.940002
2023-09-07,554.0,561.830017,551.080017,560.460022
2023-09-08,568.900024,570.23999,558.030029,560.359985
2023-09-11,562.0,565.429993,556.700012,564.5
2023-09-12,555.630005,559.090027,540.369995,542.210022
2023-09-13,557.02002,559.849976,546.429993,553.559998
2023-09-14,551.090027,555.190002,544.340027,552.159973
2023-09-15,532.109985,537.690002,523.619995,528.890015
2023-09-18,524.22998,533.97998,522.179993,532.419983
2023-09-19,531.349976,542.400024,529.469971,541.690002
2023-09-20,541.690002,548.849976,535.72998,535.780029
2023-09-21,519.47998,526.289978,513.400024,513.880005
2023-09-22,513.090027,518.150024,508.829987,512.900024
2023-09-25,511.450012,514.25,507.220001,511.600006
2023-09-26,510.140015,510.140015,502.01001,506.299988
2023-09-27,507.51001,509.25,498.700012,502.600006
2023-09-28,500.0,508.679993,499.25,504.670013
2023-09-29,505.440002,518.580017,505.440002,509.899994
2023-10-02,508.23999,522.409973,508.23999,521.130005
2023-10-03,517.52002,520.48999,504.549988,507.029999
2023-10-04,511.929993,519.76001,510.0,518.419983
2023-10-05,519.840027,522.609985,509.23999,516.440002
2023-10-06,513.219971,531.309998,509.519989,526.679993
2023-10-09,522.0,530.0,518.75,529.289978
2023-10-10,530.909973,537.0,530.400024,532.719971
2023-10-11,538.590027,551.340027,536.109985,549.909973
2023-10-12,553.700012,574.400024,552.22998,559.630005
2023-10-13,560.0,562.890015,546.98999,548.76001
2023-10-16,553.179993,555.570007,545.690002,550.73999
2023-10-17,545.409973,560.799988,543.340027,560.090027
2023-10-18,554.47998,568.179993,554.23999,557.869995
2023-10-19,560.0,567.099976,553.469971,555.73999
2023-10-20,555.73999,555.97998,535.950012,540.960022
2023-10-23,535.809998,548.030029,531.0,540.409973
2023-10-24,544.640015,546.0,532.119995,539.559998
2023-10-25,533.559998,534.460022,517.630005,521.140015
2023-10-26,530.0,530.98999,511.679993,514.280029
2023-10-27,517.5,519.859985,506.920013,508.119995
2023-10-30,516.109985,530.75,512.23999,526.940002
2023-10-31,530.640015,532.640015,522.809998,532.059998
2023-11-01,535.0,545.27002,534.0,544.5
2023-11-02,550.440002,559.359985,550.0,558.710022
2023-11-03,560.0,567.030029,557.659973,563.659973
2023-11-06,566.0,567.880005,558.169983,565.450012
2023-11-07,568.809998,589.0,568.809998,585.200012
2023-11-08,589.0,595.669983,581.070007,585.309998
2023-11-09,587.51001,590.039978,576.340027,577.73999
2023-11-10,580.48999,598.140015,576.01001,597.219971
2023-11-13,589.97998,594.26001,583.359985,590.340027
2023-11-14,601.559998,613.710022,599.039978,604.330017
2023-11-15,605.0,605.72998,591.789978,595.309998
2023-11-16,595.450012,605.27002,592.140015,602.059998
2023-11-17,602.070007,605.049988,597.02002,602.659973
2023-11-20,605.309998,614.200012,604.5,612.700012
2023-11-21,610.630005,615.570007,607.030029,610.98999
2023-11-22,616.630005,624.380005,614.01001,619.719971
2023-11-24,616.26001,619.440002,613.599976,619.429993
2023-11-27,618.799988,625.830017,614.570007,619.27002
2023-11-28,613.97998,625.599976,612.26001,623.320007
2023-11-29,625.940002,628.599976,616.77002,617.390015
2023-11-30,620.0,621.47998,605.070007,611.01001
2023-12-01,609.23999,615.200012,603.179993,612.469971
2023-12-04,604.909973,608.289978,596.210022,604.559998
2023-12-05,596.77002,602.73999,591.169983,602.219971
2023-12-06,608.059998,608.530029,594.48999,595.700012
2023-12-07,598.919983,609.22998,596.469971,608.780029
2023-12-08,605.0,610.22998,601.299988,610.01001
2023-12-11,616.880005,627.820007,614.340027,625.200012
