,Open,High,Low,Close
2023-01-03,66.0,66.879997,63.59,64.019997
2023-01-04,65.0,65.790001,63.310001,64.660004
2023-01-05,64.150002,64.349998,62.299999,62.330002
2023-01-06,63.150002,64.300003,60.049999,63.959999
2023-01-09,66.220001,69.32,65.669998,67.239998
2023-01-10,66.669998,68.150002,66.559998,68.050003
2023-01-11,68.389999,69.129997,67.220001,69.059998
2023-01-12,70.07,71.650002,67.18,70.800003
2023-01-13,69.839996,71.099998,69.230003,71.0
2023-01-17,70.870003,72.660004,70.650002,71.589996
2023-01-18,71.870003,72.779999,70.5,70.529999
2023-01-19,68.970001,69.25,67.269997,67.709999
2023-01-20,68.010002,70.129997,67.449997,70.07
2023-01-23,72.220001,76.589996,71.540001,76.529999
2023-01-24,73.75,75.639999,73.419998,74.699997
2023-01-25,72.900002,75.120003,72.089996,74.910004
2023-01-26,76.5,77.080002,74.279999,75.160004
2023-01-27,73.699997,76.739998,73.489998,75.400002
2023-01-30,74.230003,74.639999,72.400002,72.449997
2023-01-31,72.260002,75.199997,72.029999,75.150002
2023-02-01,78.470001,85.480003,77.879997,84.639999
2023-02-02,84.290001,88.940002,83.199997,88.309998
2023-02-03,86.660004,88.800003,85.830002,86.089996
2023-02-06,84.629997,86.279999,83.220001,83.68
2023-02-07,84.32,86.25,82.519997,85.910004
2023-02-08,85.879997,88.0,84.540001,84.690002
2023-02-09,85.879997,86.669998,82.760002,83.209999
2023-02-10,82.290001,82.709999,80.470001,81.480003
2023-02-13,81.57,84.150002,80.900002,83.129997
2023-02-14,82.699997,86.190002,81.769997,85.949997
2023-02-15,85.099998,85.889999,83.32,85.18
2023-02-16,82.980003,83.349998,80.050003,80.080002
2023-02-17,79.599998,79.650002,77.370003,78.5
2023-02-21,77.150002,78.459999,76.449997,76.769997
2023-02-22,76.93,78.129997,75.919998,76.610001
2023-02-23,80.629997,81.790001,77.970001,79.75
2023-02-24,77.75,78.809998,76.940002,78.089996
2023-02-27,79.639999,80.120003,78.529999,78.769997
2023-02-28,77.870003,80.139999,77.419998,78.580002
2023-03-01,78.550003,80.290001,77.879997,78.290001
2023-03-02,77.57,80.919998,76.650002,80.440002
2023-03-03,80.400002,81.629997,79.339996,81.519997
2023-03-06,82.029999,83.300003,81.040001,81.160004
2023-03-07,81.07,84.849998,80.669998,82.110001
2023-03-08,82.790001,85.769997,82.279999,85.370003
2023-03-09,85.290001,87.809998,83.589996,84.029999
2023-03-10,84.470001,85.449997,81.629997,82.669998
2023-03-13,81.389999,83.830002,78.519997,82.010002
2023-03-14,83.669998,88.300003,83.589996,87.449997
2023-03-15,86.769997,90.419998,86.220001,89.68
2023-03-16,89.720001,96.690002,89.019997,96.599998
2023-03-17,96.660004,98.75,95.940002,97.839996
2023-03-20,96.300003,96.940002,92.900002,96.809998
2023-03-21,97.0,99.459999,93.639999,95.93
2023-03-22,95.650002,101.699997,95.639999,97.580002
2023-03-23,100.050003,102.43,98.669998,100.279999
2023-03-24,99.18,99.519997,96.739998,97.949997
2023-03-27,98.019997,98.93,95.43,96.610001
2023-03-28,96.769997,96.940002,92.870003,94.559998
2023-03-29,96.07,96.910004,94.870003,96.089996
2023-03-30,98.0,99.529999,97.25,97.879997
2023-03-31,96.339996,98.360001,95.269997,98.010002
2023-04-03,96.699997,96.790001,94.809998,96.559998
2023-04-04,97.040001,97.269997,95.209999,95.870003
2023-04-05,94.349998,94.5,91.360001,92.559998
2023-04-06,91.470001,92.910004,90.620003,92.470001
2023-04-10,91.32,95.800003,91.019997,95.480003
2023-04-11,96.059998,96.07,92.690002,94.029999
2023-04-12,94.970001,95.0,91.739998,92.330002
2023-04-13,92.790001,93.160004,91.830002,92.089996
2023-04-14,91.82,92.970001,90.5,91.75
2023-04-17,90.230003,90.690002,88.300003,89.870003
2023-04-18,91.610001,92.160004,89.330002,89.779999
2023-04-19,88.510002,90.540001,88.220001,89.940002
2023-04-20,88.830002,91.580002,88.730003,90.110001
2023-04-21,89.800003,89.800003,88.059998,88.43
2023-04-24,88.110001,88.639999,86.339996,87.57
2023-04-25,86.900002,87.059998,83.760002,83.800003
2023-04-26,86.510002,87.349998,85.32,85.940002
2023-04-27,86.410004,87.57,84.089996,87.440002
2023-04-28,87.019997,89.75,86.440002,89.370003
2023-05-01,91.029999,91.040001,88.610001,89.690002
2023-05-02,89.32,90.459999,88.120003,89.910004
2023-05-03,83.540001,85.480003,81.019997,81.620003
2023-05-04,81.57,91.639999,81.110001,86.610001
2023-05-05,84.989998,90.43,84.720001,89.839996
2023-05-08,89.989998,95.660004,89.169998,95.040001
2023-05-09,94.889999,96.160004,93.43,95.059998
2023-05-10,96.419998,99.940002,96.120003,97.019997
2023-05-11,98.160004,99.190002,96.139999,97.099998
2023-05-12,96.830002,97.449997,93.68,95.260002
2023-05-15,95.199997,97.43,93.449997,97.400002
2023-05-16,97.389999,103.279999,97.309998,101.480003
2023-05-17,101.790001,104.139999,100.050003,103.75
2023-05-18,103.980003,108.099998,103.93,107.93
2023-05-19,106.360001,107.290001,104.620003,105.82
2023-05-22,104.68,108.790001,103.489998,108.0
