,Open,High,Low,Close
2023-01-03,85.459999,86.959999,84.209999,85.82
2023-01-04,86.550003,86.980003,83.360001,85.139999
2023-01-05,85.330002,85.419998,83.07,83.120003
2023-01-06,83.029999,86.400002,81.43,86.080002
2023-01-09,87.459999,89.480003,87.080002,87.360001
2023-01-10,87.57,90.190002,87.290001,89.870003
2023-01-11,90.93,95.260002,90.93,95.089996
2023-01-12,96.93,97.190002,93.5,95.269997
2023-01-13,94.18,98.370003,94.120003,98.120003
2023-01-17,98.68,98.889999,95.730003,96.050003
2023-01-18,97.25,99.32,95.379997,95.459999
2023-01-19,94.739998,95.440002,92.860001,93.68
2023-01-20,93.860001,97.349998,93.199997,97.25
2023-01-23,97.559998,97.779999,95.860001,97.519997
2023-01-24,96.93,98.089996,96.0,96.32
2023-01-25,92.559998,97.239998,91.519997,97.18
2023-01-26,98.239998,99.489998,96.919998,99.220001
2023-01-27,99.529999,103.489998,99.529999,102.239998
2023-01-30,101.089996,101.739998,99.010002,100.550003
2023-01-31,101.160004,103.349998,101.139999,103.129997
2023-02-01,102.529999,106.239998,101.239998,105.150002
2023-02-02,110.25,114.0,108.879997,112.910004
2023-02-03,105.260002,108.779999,102.519997,103.389999
2023-02-06,102.93,103.949997,100.650002,102.18
2023-02-07,101.169998,102.410004,98.080002,102.110001
2023-02-08,102.040001,102.669998,98.779999,100.050003
2023-02-09,101.32,101.779999,97.57,98.239998
2023-02-10,97.559998,98.82,96.230003,97.610001
2023-02-13,97.849998,99.68,96.910004,99.540001
2023-02-14,98.410004,100.919998,97.519997,99.699997
2023-02-15,99.089996,101.169998,98.449997,101.160004
2023-02-16,99.209999,100.629997,98.099998,98.150002
2023-02-17,97.800003,97.940002,95.650002,97.199997
2023-02-21,95.339996,95.610001,94.269997,94.580002
2023-02-22,95.099998,97.010002,94.800003,95.790001
2023-02-23,96.120003,96.43,93.669998,95.82
2023-02-24,93.529999,94.139999,92.32,93.5
2023-02-27,94.279999,94.779999,93.139999,93.760002
2023-02-28,93.139999,94.690002,92.919998,94.230003
2023-03-01,93.870003,94.68,91.589996,92.169998
2023-03-02,91.410004,92.230003,90.389999,92.129997
2023-03-03,92.739998,94.940002,92.660004,94.900002
2023-03-06,95.190002,96.550003,93.739998,93.75
2023-03-07,94.059998,95.089996,92.779999,93.550003
2023-03-08,93.599998,94.169998,92.18,93.919998
2023-03-09,93.68,96.209999,92.18,92.25
2023-03-10,92.669998,93.57,90.25,90.730003
2023-03-13,89.970001,94.019997,88.120003,92.43
2023-03-14,93.830002,95.07,92.709999,94.879997
2023-03-15,93.220001,96.669998,93.07,96.199997
2023-03-16,95.75,100.989998,95.610001,100.040001
2023-03-17,99.790001,100.660004,97.459999,98.949997
2023-03-20,98.410004,98.480003,95.699997,97.709999
2023-03-21,98.139999,100.849998,98.0,100.610001
2023-03-22,100.449997,102.099998,98.610001,98.699997
