,Open,High,Low,Close
2023-01-03,126.43,126.870003,125.019997,126.330002
2023-01-04,127.790001,127.790001,123.519997,124.470001
2023-01-05,123.610001,125.82,123.099998,123.769997
2023-01-06,124.139999,125.529999,121.93,123.489998
2023-01-09,123.300003,125.629997,122.120003,122.18
2023-01-10,122.410004,123.099998,121.209999,122.489998
2023-01-11,122.860001,124.18,122.510002,123.43
2023-01-12,122.599998,124.379997,122.260002,123.769997
2023-01-13,124.010002,124.830002,122.459999,124.489998
2023-01-17,124.709999,126.309998,123.550003,123.620003
2023-01-18,125.029999,125.239998,122.269997,122.580002
2023-01-19,122.889999,123.849998,121.650002,122.290001
2023-01-20,123.209999,123.639999,121.959999,122.300003
2023-01-23,121.82,123.050003,121.559998,123.029999
2023-01-24,123.970001,124.5,121.139999,121.57
2023-01-25,122.099998,122.919998,120.800003,122.389999
2023-01-26,122.150002,124.040001,122.0,123.330002
2023-01-27,122.699997,122.970001,121.639999,122.099998
2023-01-30,122.599998,123.290001,121.599998,122.650002
2023-01-31,123.440002,123.440002,122.0,122.879997
2023-02-01,121.959999,124.07,121.959999,123.050003
2023-02-02,123.5,123.5,120.510002,120.82
2023-02-03,116.110001,124.959999,116.110001,124.260002
2023-02-06,124.379997,129.289993,123.459999,126.25
2023-02-07,125.660004,127.389999,125.459999,127.389999
2023-02-08,126.230003,128.089996,126.230003,126.879997
2023-02-09,128.119995,128.360001,125.449997,125.639999
2023-02-10,125.059998,126.980003,125.059998,126.199997
2023-02-13,126.510002,128.720001,126.440002,128.580002
2023-02-14,127.110001,128.529999,126.400002,126.550003
2023-02-15,125.169998,128.770004,125.169998,128.539993
2023-02-16,127.529999,128.259995,126.730003,126.730003
2023-02-17,125.959999,129.970001,125.959999,129.089996
2023-02-21,129.0,129.869995,128.429993,128.460007
2023-02-22,129.179993,131.470001,128.169998,128.270004
2023-02-23,132.009995,132.009995,127.360001,128.729996
2023-02-24,129.389999,129.789993,128.119995,129.690002
2023-02-27,129.639999,129.970001,126.849998,127.580002
2023-02-28,127.029999,127.290001,125.610001,126.169998
2023-03-01,126.480003,127.260002,125.519997,126.709999
2023-03-02,126.760002,126.879997,125.580002,126.18
2023-03-03,126.389999,127.610001,125.830002,126.410004
2023-03-06,127.040001,127.360001,125.150002,125.32
2023-03-07,124.970001,125.5,123.269997,123.489998
2023-03-08,122.910004,123.800003,122.779999,123.230003
2023-03-09,124.230003,124.230003,121.089996,121.169998
2023-03-10,122.5,122.5,118.25,118.650002
2023-03-13,118.169998,123.739998,117.309998,122.260002
2023-03-14,124.669998,124.68,122.120003,124.610001
2023-03-15,122.589996,125.029999,121.300003,122.25
2023-03-16,120.279999,125.540001,120.279999,123.980003
2023-03-17,123.989998,126.709999,123.669998,125.550003
2023-03-20,126.550003,126.550003,124.599998,125.650002
2023-03-21,126.199997,128.380005,124.739998,128.380005
2023-03-22,128.779999,129.550003,126.830002,127.059998
2023-03-23,126.970001,128.020004,125.660004,127.18
2023-03-24,126.910004,129.5,126.839996,129.279999
2023-03-27,129.899994,131.740005,129.509995,131.460007
2023-03-28,131.770004,132.699997,130.460007,131.770004
2023-03-29,131.779999,133.440002,131.539993,132.690002
2023-03-30,132.610001,133.800003,131.449997,132.309998
2023-03-31,131.589996,134.240005,131.589996,134.240005
2023-04-03,133.350006,134.669998,133.190002,134.559998
2023-04-04,134.179993,135.820007,134.179993,135.240005
2023-04-05,135.0,136.589996,134.839996,135.619995
2023-04-06,134.75,137.199997,134.75,136.020004
2023-04-10,134.669998,135.440002,132.779999,133.190002
2023-04-11,133.199997,134.089996,132.949997,133.960007
2023-04-12,134.759995,135.320007,134.070007,134.520004
2023-04-13,134.919998,135.589996,134.050003,135.169998
2023-04-14,134.320007,137.130005,133.320007,136.759995
2023-04-17,135.479996,137.649994,135.139999,137.550003
2023-04-18,136.509995,138.529999,136.429993,137.199997
2023-04-19,135.470001,138.470001,135.470001,137.979996
2023-04-20,138.25,139.080002,136.949997,138.720001
2023-04-21,138.899994,139.509995,137.710007,139.509995
2023-04-24,138.460007,140.100006,138.460007,139.720001
2023-04-25,140.149994,140.559998,138.460007,139.100006
2023-04-26,138.550003,139.580002,137.059998,137.660004
2023-04-27,137.259995,138.270004,136.779999,138.199997
2023-04-28,138.270004,140.149994,138.119995,139.699997
2023-05-01,139.979996,140.070007,138.009995,138.320007
2023-05-02,138.610001,138.869995,137.089996,138.729996
2023-05-03,138.729996,139.330002,137.550003,138.309998
2023-05-04,138.110001,139.529999,136.979996,137.070007
2023-05-05,137.289993,138.970001,133.399994,136.580002
2023-05-08,136.899994,137.190002,135.199997,136.470001
2023-05-09,136.559998,136.929993,135.210007,136.059998
2023-05-10,136.809998,138.830002,136.289993,138.449997
2023-05-11,138.449997,139.949997,138.449997,139.039993
2023-05-12,139.509995,140.820007,138.259995,138.779999
2023-05-15,139.839996,139.839996,138.179993,139.020004
2023-05-16,139.539993,139.539993,137.979996,138.029999
2023-05-17,138.139999,138.889999,136.460007,136.570007
2023-05-18,138.190002,138.190002,136.220001,137.25
2023-05-19,137.039993,138.970001,136.869995,138.970001
2023-05-22,138.419998,139.910004,138.259995,139.279999
2023-05-23,138.289993,138.759995,135.449997,135.550003
2023-05-24,134.360001,136.600006,134.320007,135.529999
2023-05-25,135.059998,135.059998,133.389999,133.850006
2023-05-26,133.470001,134.759995,133.399994,133.770004
2023-05-30,132.270004,133.679993,131.229996,132.309998
2023-05-31,131.360001,133.5,131.360001,132.419998
2023-06-01,133.0,133.600006,131.940002,133.600006
2023-06-02,133.979996,136.389999,133.740005,135.179993
2023-06-05,133.979996,135.839996,133.979996,135.059998
2023-06-06,135.5,135.850006,131.330002,131.720001
2023-06-07,131.25,133.789993,130.919998,133.029999
2023-06-08,134.199997,135.639999,132.949997,135.639999
2023-06-09,135.529999,138.660004,135.070007,138.429993
2023-06-12,138.899994,139.0,134.690002,135.470001
2023-06-13,136.380005,136.990005,135.160004,135.770004
2023-06-14,135.050003,138.809998,134.979996,138.809998
2023-06-15,138.110001,139.139999,137.309998,138.080002
2023-06-16,139.25,139.25,136.0,137.360001
2023-06-20,137.399994,138.070007,135.820007,136.880005
2023-06-21,137.690002,137.690002,136.270004,136.509995
2023-06-22,137.429993,137.429993,135.869995,137.410004
2023-06-23,136.199997,137.449997,135.169998,135.330002
2023-06-26,134.880005,135.5,133.360001,133.75
2023-06-27,133.020004,134.660004,133.020004,134.089996
2023-06-28,133.149994,135.199997,133.139999,134.520004
2023-06-29,135.350006,136.259995,134.410004,135.759995
2023-06-30,137.139999,138.419998,136.539993,138.009995
2023-07-03,138.699997,138.699997,137.199997,137.399994
2023-07-05,138.270004,138.270004,136.110001,138.070007
2023-07-06,138.270004,138.990005,136.330002,136.899994
2023-07-07,136.149994,137.940002,135.779999,135.839996
2023-07-10,135.020004,136.830002,135.020004,136.0
2023-07-11,136.630005,138.710007,135.830002,137.600006
2023-07-12,138.800003,138.800003,135.720001,136.460007
2023-07-13,137.0,140.619995,137.0,140.479996
2023-07-14,140.070007,142.660004,139.350006,141.630005
2023-07-17,141.630005,142.5,141.029999,141.029999
2023-07-18,140.639999,141.380005,139.690002,140.190002
2023-07-19,141.380005,141.449997,138.570007,140.190002
2023-07-20,139.639999,142.279999,139.309998,142.220001
2023-07-21,142.630005,143.539993,141.619995,143.490005
2023-07-24,142.570007,143.509995,142.050003,142.309998
2023-07-25,141.470001,143.020004,141.470001,142.979996
2023-07-26,141.919998,143.830002,141.919998,143.720001
2023-07-27,143.5,143.699997,141.029999,141.600006
2023-07-28,142.75,142.75,140.350006,140.360001
2023-07-31,139.869995,141.080002,139.600006,139.679993
2023-08-01,140.389999,141.440002,139.789993,139.850006
2023-08-02,139.580002,141.479996,138.839996,139.809998
2023-08-03,139.320007,140.809998,137.0,140.009995
2023-08-04,139.020004,147.369995,138.699997,145.570007
2023-08-07,144.669998,147.800003,144.669998,146.289993
2023-08-08,144.949997,147.570007,144.899994,145.960007
2023-08-09,147.0,148.279999,145.779999,146.179993
2023-08-10,147.339996,148.759995,146.820007,148.360001
2023-08-11,147.309998,150.789993,147.309998,150.25
2023-08-14,150.860001,150.899994,148.350006,148.529999
2023-08-15,148.600006,149.699997,148.149994,149.339996
2023-08-16,148.820007,150.179993,148.820007,149.990005
2023-08-17,148.419998,151.149994,148.419998,149.779999
2023-08-18,150.490005,151.139999,149.639999,150.119995
2023-08-21,151.020004,151.210007,149.869995,150.589996
2023-08-22,150.190002,150.589996,149.050003,149.789993
2023-08-23,149.539993,152.369995,149.539993,150.119995
2023-08-24,150.570007,151.479996,148.440002,148.869995
2023-08-25,148.429993,151.800003,148.0,151.229996
2023-08-28,150.619995,151.779999,150.399994,151.679993
2023-08-29,151.710007,152.110001,150.119995,150.270004
2023-08-30,149.360001,150.789993,149.160004,149.889999
2023-08-31,149.559998,150.539993,149.029999,149.710007
2023-09-01,149.080002,150.830002,149.080002,150.360001
2023-09-05,149.259995,150.509995,148.880005,149.0
2023-09-06,148.610001,151.160004,148.529999,149.979996
2023-09-07,150.899994,153.800003,150.440002,153.559998
2023-09-08,154.399994,154.889999,153.059998,153.059998
2023-09-11,152.839996,154.619995,152.529999,154.619995
2023-09-12,154.330002,154.809998,152.800003,153.160004
2023-09-13,152.339996,153.089996,150.869995,151.619995
2023-09-14,150.949997,151.610001,149.25,150.639999
2023-09-15,149.75,151.059998,148.139999,149.259995
2023-09-18,150.869995,151.970001,150.339996,151.699997
2023-09-19,151.699997,158.710007,151.699997,155.869995
2023-09-20,155.899994,157.380005,155.119995,155.130005
2023-09-21,155.130005,155.679993,154.339996,155.320007
2023-09-22,155.389999,157.419998,155.190002,157.100006
2023-09-25,156.210007,157.350006,154.940002,155.369995
2023-09-26,155.089996,156.880005,154.789993,155.929993
2023-09-27,155.639999,155.960007,154.639999,154.770004
2023-09-28,155.339996,156.729996,155.050003,156.399994
2023-09-29,155.820007,157.940002,155.229996,156.210007
2023-10-02,155.410004,156.800003,154.220001,156.800003
2023-10-03,155.210007,157.690002,155.169998,157.240005
2023-10-04,156.929993,160.179993,156.759995,159.960007
2023-10-05,160.789993,160.940002,158.850006,160.210007
2023-10-06,159.449997,161.990005,159.399994,161.649994
2023-10-09,160.270004,164.25,160.0,162.869995
2023-10-10,162.75,164.399994,161.550003,161.550003
2023-10-11,161.110001,162.210007,159.669998,161.580002
2023-10-12,160.610001,161.789993,159.410004,160.850006
2023-10-13,160.210007,162.139999,158.839996,162.080002
2023-10-16,161.360001,163.679993,161.360001,163.199997
2023-10-17,162.690002,164.059998,162.229996,163.570007
2023-10-18,164.179993,165.869995,163.029999,163.699997
2023-10-19,164.860001,164.860001,162.160004,162.729996
2023-10-20,162.600006,163.990005,160.929993,161.970001
2023-10-23,161.300003,161.800003,160.470001,161.229996
2023-10-24,161.259995,163.169998,161.259995,162.270004
2023-10-25,161.929993,163.779999,161.160004,162.419998
2023-10-26,162.229996,165.380005,162.229996,163.889999
2023-10-27,164.399994,164.880005,161.259995,161.259995
2023-10-30,162.059998,163.759995,162.009995,163.5
2023-10-31,163.919998,165.029999,163.0,163.889999
2023-11-01,164.729996,166.770004,164.580002,165.679993
2023-11-02,165.860001,167.210007,162.699997,162.800003
2023-11-03,163.100006,170.179993,162.380005,169.5
2023-11-06,171.059998,174.990005,170.059998,174.080002
2023-11-07,174.089996,176.179993,172.850006,172.889999
2023-11-08,175.309998,175.399994,171.910004,173.990005
2023-11-09,174.639999,176.350006,173.789993,176.350006
2023-11-10,176.059998,177.309998,174.949997,174.970001
2023-11-13,175.789993,178.479996,175.300003,178.479996
2023-11-14,178.960007,178.960007,175.839996,177.389999
2023-11-15,177.389999,178.240005,176.570007,176.979996
2023-11-16,176.539993,177.789993,176.279999,177.789993
2023-11-17,177.289993,177.789993,176.300003,176.660004
2023-11-20,176.160004,177.410004,175.910004,176.800003
2023-11-21,177.380005,179.960007,176.949997,176.949997
2023-11-22,179.270004,180.229996,177.190002,180.059998
2023-11-24,179.690002,180.419998,179.300003,180.059998
2023-11-27,180.300003,180.830002,179.720001,180.399994
2023-11-28,181.119995,182.330002,179.570007,180.889999
2023-11-29,180.880005,180.880005,178.539993,179.5
2023-11-30,180.0,182.190002,179.839996,182.190002
2023-12-01,182.229996,183.740005,180.259995,180.259995
2023-12-04,180.720001,181.820007,180.0,181.779999
2023-12-05,181.610001,182.190002,180.110001,181.960007
2023-12-06,182.330002,182.330002,175.399994,177.759995
2023-12-07,177.559998,178.229996,175.139999,177.259995
2023-12-08,176.789993,179.080002,176.009995,178.720001
2023-12-11,179.259995,179.449997,177.690002,178.0
2023-12-12,178.139999,180.279999,177.440002,178.419998
2023-12-13,178.210007,179.669998,175.75,178.470001
2023-12-14,178.949997,178.110001,168.380005,172.279999
2023-12-15,,178.53490841388702,169.1192742586136,
