,Open,High,Low,Close
2023-01-03,78.790001,79.169998,77.720001,79.129997
2023-01-04,79.199997,80.129997,79.190002,79.639999
2023-01-05,79.519997,79.809998,78.440002,78.540001
2023-01-06,79.400002,80.459999,79.169998,79.980003
2023-01-09,79.959999,80.400002,78.559998,78.730003
2023-01-10,78.970001,78.970001,78.019997,78.309998
2023-01-11,78.440002,78.720001,76.690002,77.129997
2023-01-12,77.360001,77.599998,76.349998,76.839996
2023-01-13,76.690002,78.0,76.57,77.849998
2023-01-17,78.160004,78.970001,78.080002,78.230003
2023-01-18,77.989998,78.330002,76.309998,76.32
2023-01-19,75.769997,76.529999,75.190002,75.199997
2023-01-20,74.75,75.540001,74.029999,75.440002
2023-01-23,75.540001,75.669998,74.940002,75.5
2023-01-24,75.389999,75.989998,74.5,75.940002
2023-01-25,75.480003,75.989998,74.629997,75.769997
2023-01-26,75.620003,75.809998,75.120003,75.529999
2023-01-27,72.849998,73.040001,70.940002,71.589996
2023-01-30,72.199997,73.730003,72.050003,72.879997
2023-01-31,73.379997,74.540001,73.260002,74.529999
2023-02-01,74.43,75.300003,74.110001,74.989998
2023-02-02,74.18,74.199997,73.309998,73.730003
2023-02-03,73.959999,74.400002,73.220001,74.290001
2023-02-06,74.199997,74.410004,73.279999,73.849998
2023-02-07,73.43,73.550003,72.709999,73.449997
2023-02-08,73.120003,73.68,72.809998,73.360001
2023-02-09,73.510002,73.75,72.809998,72.830002
2023-02-10,72.93,73.730003,72.730003,73.550003
2023-02-13,73.870003,74.040001,73.459999,73.769997
2023-02-14,73.910004,73.910004,72.900002,73.18
2023-02-15,72.870003,72.989998,72.290001,72.699997
2023-02-16,72.32,72.970001,71.739998,72.769997
2023-02-17,72.959999,74.959999,72.959999,74.519997
2023-02-21,73.900002,74.730003,73.900002,74.260002
2023-02-22,74.5,75.040001,74.190002,74.410004
2023-02-23,74.410004,74.769997,72.919998,73.660004
2023-02-24,73.279999,73.360001,72.75,73.129997
2023-02-27,73.419998,74.139999,73.220001,73.599998
2023-02-28,73.290001,73.650002,72.870003,73.300003
2023-03-01,73.349998,73.349998,71.82,72.550003
2023-03-02,72.589996,73.949997,72.540001,73.769997
2023-03-03,74.0,74.089996,73.25,73.949997
2023-03-06,73.699997,74.040001,73.220001,73.290001
2023-03-07,73.25,73.370003,71.050003,71.5
2023-03-08,71.43,72.040001,71.239998,71.959999
2023-03-09,72.330002,72.529999,70.919998,71.339996
2023-03-10,71.730003,71.779999,71.190002,71.309998
2023-03-13,71.349998,73.129997,71.349998,71.5
2023-03-14,71.699997,72.32,71.379997,72.239998
2023-03-15,71.550003,73.059998,71.550003,72.93
2023-03-16,73.309998,73.449997,72.620003,72.949997
2023-03-17,73.050003,73.050003,71.830002,72.199997
2023-03-20,72.440002,73.300003,72.389999,73.080002
2023-03-21,73.019997,73.260002,71.970001,72.379997
2023-03-22,72.699997,73.279999,72.120003,72.129997
2023-03-23,72.099998,72.709999,71.779999,71.830002
2023-03-24,72.25,73.540001,72.099998,73.419998
2023-03-27,73.82,74.470001,73.699997,74.150002
2023-03-28,74.449997,74.790001,74.239998,74.5
2023-03-29,75.0,75.150002,74.389999,74.470001
2023-03-30,74.529999,75.400002,74.470001,75.25
2023-03-31,75.610001,75.860001,75.059998,75.150002
2023-04-03,75.239998,75.75,74.870003,75.360001
2023-04-04,75.550003,75.900002,74.699997,74.730003
2023-04-05,75.330002,76.089996,75.32,75.360001
2023-04-06,75.589996,76.07,75.010002,75.68
2023-04-10,75.169998,75.330002,74.620003,75.139999
2023-04-11,75.580002,76.209999,75.300003,76.019997
2023-04-12,76.019997,76.599998,75.620003,76.050003
2023-04-13,76.050003,76.629997,75.830002,76.519997
2023-04-14,76.129997,76.260002,75.349998,75.589996
2023-04-17,75.769997,76.129997,75.419998,75.699997
2023-04-18,75.720001,75.989998,75.169998,75.540001
2023-04-19,75.699997,75.900002,75.129997,75.589996
2023-04-20,75.349998,76.459999,75.230003,76.360001
2023-04-21,77.18,77.5,76.730003,76.800003
2023-04-24,76.779999,77.940002,76.779999,77.879997
2023-04-25,78.040001,78.559998,77.510002,77.699997
2023-04-26,77.160004,77.650002,76.610001,76.68
2023-04-27,76.989998,77.970001,76.779999,77.93
2023-04-28,79.07,81.489998,79.07,79.800003
2023-05-01,79.839996,81.029999,79.379997,80.690002
2023-05-02,80.800003,81.059998,80.260002,80.849998
2023-05-03,80.800003,81.830002,80.620003,81.260002
2023-05-04,81.529999,81.760002,80.459999,80.790001
