,Open,High,Low,Close
2023-01-03,164.740005,164.990005,162.839996,164.289993
2023-01-04,164.720001,164.910004,161.850006,162.869995
2023-01-05,162.470001,163.410004,161.220001,163.080002
2023-01-06,164.630005,166.460007,163.850006,165.710007
2023-01-09,166.210007,167.720001,164.940002,164.970001
2023-01-10,165.820007,167.949997,164.899994,167.259995
2023-01-11,167.699997,168.839996,164.759995,165.389999
2023-01-12,165.259995,165.970001,164.119995,164.899994
2023-01-13,164.320007,166.009995,164.160004,164.279999
2023-01-17,164.279999,165.339996,163.729996,164.160004
2023-01-18,164.009995,164.520004,162.919998,162.949997
2023-01-19,162.960007,164.5,162.309998,162.940002
2023-01-20,163.880005,164.320007,161.270004,162.210007
2023-01-23,162.699997,163.559998,161.479996,161.720001
2023-01-24,161.139999,162.039993,157.639999,161.429993
2023-01-25,161.270004,163.479996,161.229996,163.460007
2023-01-26,163.729996,165.199997,162.800003,164.910004
2023-01-27,165.610001,166.660004,163.669998,164.160004
2023-01-30,164.460007,166.279999,164.389999,165.309998
2023-01-31,167.169998,169.169998,165.880005,168.960007
2023-02-01,168.149994,168.580002,160.199997,161.050003
2023-02-02,161.5,161.820007,157.720001,158.470001
2023-02-03,159.350006,159.720001,155.899994,156.729996
2023-02-06,157.220001,157.589996,154.169998,154.490005
2023-02-07,154.229996,157.289993,153.009995,156.789993
2023-02-08,156.460007,158.490005,155.789993,157.850006
2023-02-09,157.699997,158.110001,154.949997,155.020004
2023-02-10,155.729996,159.190002,155.449997,159.029999
2023-02-13,158.889999,159.919998,158.149994,158.610001
2023-02-14,159.279999,160.220001,157.009995,157.360001
2023-02-15,156.610001,159.259995,156.0,158.809998
2023-02-16,158.149994,160.850006,157.460007,160.470001
2023-02-17,160.699997,163.589996,159.960007,161.490005
2023-02-21,160.800003,161.919998,160.169998,160.839996
2023-02-22,160.990005,161.610001,159.25,160.130005
2023-02-23,159.850006,161.309998,158.490005,159.5
2023-02-24,159.190002,159.699997,155.339996,158.570007
2023-02-27,158.860001,159.330002,155.589996,156.630005
2023-02-28,156.0,156.619995,154.759995,155.559998
2023-03-01,155.070007,156.869995,154.520004,156.509995
