,Open,High,Low,Close
2023-01-03,458.0,458.799988,447.899994,453.279999
2023-01-04,457.179993,459.51001,452.589996,456.559998
2023-01-05,454.540009,456.429993,449.619995,450.190002
2023-01-06,463.079987,484.420013,462.220001,482.869995
2023-01-09,482.929993,486.869995,478.140015,478.75
2023-01-10,477.140015,482.089996,475.480011,481.399994
2023-01-11,480.329987,484.519989,479.109985,484.309998
2023-01-12,484.98999,485.0,478.75,482.429993
2023-01-13,480.890015,485.589996,479.0,485.25
2023-01-17,485.130005,490.480011,484.369995,486.769989
2023-01-18,484.809998,488.809998,478.519989,479.470001
2023-01-19,476.23999,477.559998,468.070007,469.48999
2023-01-20,473.920013,480.320007,469.470001,480.109985
2023-01-23,479.950012,495.23999,477.600006,492.609985
2023-01-24,492.049988,493.600006,487.01001,492.109985
2023-01-25,489.359985,491.940002,484.5,490.880005
2023-01-26,493.200012,498.670013,491.769989,498.299988
2023-01-27,499.76001,509.100006,497.859985,503.290009
2023-01-30,500.369995,505.600006,500.369995,503.279999
2023-01-31,503.230011,511.410004,502.0,511.140015
2023-02-01,508.309998,520.450012,504.720001,517.909973
2023-02-02,524.289978,530.049988,520.640015,523.429993
2023-02-03,519.130005,521.549988,512.5,514.799988
2023-02-06,514.440002,517.219971,512.27002,515.590027
2023-02-07,511.98999,517.98999,507.390015,516.530029
2023-02-08,511.290009,512.179993,501.559998,503.809998
2023-02-09,505.290009,509.160004,498.420013,500.630005
2023-02-10,498.51001,500.549988,495.380005,499.98999
2023-02-13,501.73999,506.790009,501.350006,506.450012
2023-02-14,505.01001,507.850006,498.630005,503.220001
2023-02-15,502.730011,511.420013,501.339996,511.279999
2023-02-16,503.609985,510.730011,503.600006,504.100006
2023-02-17,504.269989,507.709991,501.839996,507.480011
2023-02-21,500.820007,503.98999,496.549988,501.73999
2023-02-22,503.920013,505.459991,496.600006,497.390015
2023-02-23,498.799988,498.859985,487.859985,493.140015
2023-02-24,488.579987,490.359985,484.700012,488.609985
2023-02-27,492.549988,493.0,485.679993,487.029999
2023-02-28,485.600006,488.880005,483.779999,484.179993
2023-03-01,481.100006,482.579987,475.019989,478.670013
2023-03-02,477.359985,487.429993,475.559998,485.690002
2023-03-03,474.829987,476.0,465.329987,475.26001
2023-03-06,476.519989,488.820007,475.519989,483.079987
2023-03-07,486.100006,495.209991,485.0,485.149994
2023-03-08,483.0,486.880005,481.140015,486.040009
2023-03-09,487.480011,490.0,478.619995,479.519989
2023-03-10,478.980011,480.459991,468.380005,471.140015
2023-03-13,466.799988,476.690002,466.799988,472.0
2023-03-14,475.429993,485.160004,473.0,481.920013
2023-03-15,481.51001,487.019989,478.540009,485.660004
2023-03-16,484.929993,488.140015,482.76001,487.26001
2023-03-17,489.070007,489.899994,481.51001,487.049988
2023-03-20,488.0,490.790009,485.720001,489.290009
2023-03-21,493.0,493.0,485.98999,490.850006
2023-03-22,489.459991,496.619995,487.350006,487.519989
2023-03-23,490.690002,493.25,484.290009,487.76001
2023-03-24,486.940002,495.970001,486.559998,495.269989
2023-03-27,497.279999,499.859985,492.51001,493.220001
2023-03-28,492.609985,494.059998,485.410004,486.769989
2023-03-29,489.200012,491.299988,485.899994,490.869995
2023-03-30,493.0,495.73999,491.0,491.480011
2023-03-31,495.0,498.359985,493.940002,496.869995
2023-04-03,496.5,499.200012,495.0,497.029999
