,Open,High,Low,Close
2023-01-03,47.860001,48.049999,47.310001,47.939999
2023-01-04,48.279999,48.48,47.169998,47.549999
2023-01-05,47.490002,47.490002,46.759998,46.880001
2023-01-06,47.459999,48.59,47.279999,48.32
2023-01-09,48.259998,49.209999,48.220001,48.580002
2023-01-10,48.799999,49.209999,48.59,48.810001
2023-01-11,48.830002,49.23,48.700001,49.209999
2023-01-12,49.209999,49.43,48.849998,49.0
2023-01-13,48.560001,49.02,48.419998,48.880001
2023-01-17,48.919998,48.939999,47.950001,48.080002
2023-01-18,48.189999,48.27,46.889999,46.900002
2023-01-19,46.950001,47.049999,46.389999,46.459999
2023-01-20,46.060001,46.830002,45.669998,46.779999
2023-01-23,46.900002,47.869999,46.810001,47.5
2023-01-24,47.490002,48.02,47.060001,47.810001
2023-01-25,47.98,48.080002,47.23,47.98
2023-01-26,48.150002,48.470001,47.830002,48.34
2023-01-27,48.099998,48.73,47.970001,48.509998
2023-01-30,48.139999,48.5,48.119999,48.220001
2023-01-31,48.119999,48.689999,48.049999,48.669998
2023-02-01,48.389999,48.900002,47.509998,48.57
2023-02-02,48.529999,49.560001,48.360001,49.32
2023-02-03,49.299999,49.299999,48.509998,48.630001
2023-02-06,48.07,48.279999,47.52,47.57
2023-02-07,47.240002,48.150002,46.970001,47.84
2023-02-08,47.380001,47.540001,46.77,46.959999
2023-02-09,47.23,47.41,46.43,46.73
2023-02-10,46.700001,47.32,46.639999,47.259998
2023-02-13,47.450001,47.990002,47.389999,47.860001
2023-02-14,47.779999,48.0,47.18,47.700001
2023-02-15,47.5,48.52,47.330002,48.450001
2023-02-16,49.990002,51.740002,49.799999,50.990002
2023-02-17,51.330002,51.439999,50.599998,50.77
2023-02-21,50.709999,50.759998,49.619999,49.689999
2023-02-22,49.849998,49.849998,48.889999,49.310001
2023-02-23,49.540001,49.68,48.549999,49.209999
2023-02-24,48.810001,48.900002,48.169998,48.48
2023-02-27,48.950001,49.34,48.549999,48.73
2023-02-28,48.810001,48.93,48.380001,48.419998
2023-03-01,48.439999,48.59,48.02,48.34
2023-03-02,48.32,48.630001,48.119999,48.529999
2023-03-03,48.990002,49.360001,48.82,49.279999
2023-03-06,49.459999,49.810001,49.240002,49.419998
2023-03-07,49.57,49.759998,48.630001,48.91
2023-03-08,49.02,49.27,48.740002,49.110001
2023-03-09,49.299999,49.689999,48.709999,48.810001
2023-03-10,48.889999,49.169998,48.299999,48.560001
2023-03-13,48.529999,48.880001,48.119999,48.41
2023-03-14,48.68,49.259998,48.509998,49.049999
2023-03-15,48.369999,49.110001,48.369999,49.060001
2023-03-16,48.68,50.290001,48.509998,50.119999
2023-03-17,50.259998,50.549999,49.740002,50.189999
2023-03-20,50.220001,51.040001,50.009998,50.939999
2023-03-21,51.209999,51.330002,50.330002,50.669998
2023-03-22,50.740002,50.75,49.419998,49.459999
2023-03-23,49.560001,50.25,49.41,49.73
2023-03-24,49.900002,50.549999,49.5,50.509998
2023-03-27,50.700001,50.950001,50.48,50.540001
2023-03-28,50.32,50.599998,50.27,50.389999
2023-03-29,50.73,51.27,50.639999,51.169998
2023-03-30,51.580002,51.68,51.130001,51.43
2023-03-31,51.439999,52.349998,51.389999,52.279999
2023-04-03,52.060001,52.560001,51.990002,52.310001
2023-04-04,52.029999,52.119999,51.43,51.82
2023-04-05,52.07,52.290001,51.68,51.82
2023-04-06,50.919998,51.560001,50.73,51.27
2023-04-10,51.110001,51.400002,50.880001,51.330002
2023-04-11,51.119999,51.299999,50.52,50.619999
2023-04-12,50.82,50.950001,50.049999,50.110001
2023-04-13,50.209999,50.830002,50.09,50.799999
2023-04-14,50.52,50.849998,50.200001,50.540001
2023-04-17,50.560001,50.68,50.049999,50.279999
2023-04-18,50.380001,50.689999,50.07,50.310001
2023-04-19,49.23,49.27,47.990002,48.040001
2023-04-20,47.610001,47.650002,46.360001,46.580002
2023-04-21,46.57,47.119999,46.240002,47.029999
2023-04-24,47.049999,47.450001,47.0,47.389999
2023-04-25,47.369999,47.43,46.810001,47.09
2023-04-26,46.759998,46.849998,46.43,46.540001
2023-04-27,46.779999,46.799999,45.970001,46.560001
2023-04-28,46.689999,47.259998,46.610001,47.25
2023-05-01,47.200001,47.52,47.130001,47.34
2023-05-02,46.91,47.080002,46.060001,46.360001
2023-05-03,46.419998,46.549999,45.860001,45.959999
2023-05-04,45.77,45.93,45.560001,45.700001
2023-05-05,46.119999,46.360001,45.919998,46.25
2023-05-08,46.439999,46.52,46.09,46.34
2023-05-09,45.98,46.52,45.919998,46.470001
2023-05-10,46.700001,46.93,46.150002,46.709999
2023-05-11,46.830002,46.849998,46.200001,46.369999
2023-05-12,46.279999,46.810001,46.279999,46.709999
2023-05-15,46.799999,47.259998,46.560001,47.099998
2023-05-16,47.240002,47.330002,46.799999,46.919998
2023-05-17,47.150002,47.759998,47.009998,47.630001
2023-05-18,45.759998,48.25,45.700001,48.200001
2023-05-19,48.43,49.34,48.400002,49.130001
2023-05-22,49.110001,49.23,48.77,48.82
2023-05-23,48.610001,49.349998,48.599998,48.91
2023-05-24,48.950001,49.0,48.169998,48.41
