,Open,High,Low,Close
2023-01-03,247.850006,249.410004,246.320007,248.600006
2023-01-04,247.490005,248.759995,242.960007,245.220001
2023-01-05,244.550003,246.470001,243.789993,244.619995
2023-01-06,247.320007,251.940002,245.0,248.25
2023-01-09,248.550003,249.619995,244.550003,245.210007
2023-01-10,246.240005,248.919998,245.720001,247.539993
2023-01-11,248.630005,249.0,244.75,248.690002
2023-01-12,248.839996,250.259995,247.190002,247.699997
2023-01-13,243.979996,245.330002,238.889999,240.289993
2023-01-17,240.850006,242.820007,239.899994,241.139999
2023-01-18,241.199997,242.0,236.759995,237.0
2023-01-19,235.820007,236.979996,231.479996,231.550003
2023-01-20,232.110001,232.789993,228.259995,232.789993
2023-01-23,232.789993,234.179993,231.559998,232.449997
2023-01-24,233.309998,235.720001,230.490005,235.449997
2023-01-25,224.860001,229.130005,220.330002,226.880005
2023-01-26,227.0,229.940002,223.410004,228.110001
2023-01-27,227.360001,229.130005,226.020004,227.490005
2023-01-30,228.649994,230.100006,226.369995,228.070007
2023-01-31,228.960007,233.199997,227.839996,233.059998
2023-02-01,231.199997,232.830002,228.550003,230.449997
2023-02-02,228.309998,232.559998,227.559998,231.410004
2023-02-03,233.729996,234.869995,230.949997,231.539993
2023-02-06,232.25,235.649994,231.199997,232.350006
2023-02-07,231.770004,232.080002,228.460007,231.960007
2023-02-08,230.339996,231.619995,228.830002,229.119995
2023-02-09,230.389999,230.580002,227.570007,228.660004
2023-02-10,229.710007,233.270004,229.080002,233.220001
2023-02-13,235.0,235.660004,231.699997,232.880005
2023-02-14,232.869995,233.179993,231.0,232.070007
2023-02-15,231.089996,232.479996,230.699997,232.470001
2023-02-16,230.630005,233.160004,230.190002,231.300003
2023-02-17,231.820007,236.059998,231.25,235.259995
2023-02-21,236.619995,237.759995,232.589996,233.520004
2023-02-22,233.380005,234.779999,232.360001,233.649994
2023-02-23,233.850006,234.830002,230.279999,231.369995
2023-02-24,230.539993,232.009995,229.820007,231.949997
2023-02-27,232.240005,232.979996,229.550003,230.619995
2023-02-28,230.580002,231.080002,227.800003,227.910004
2023-03-01,227.199997,228.5,226.550003,227.690002
2023-03-02,227.199997,230.75,227.199997,230.25
2023-03-03,231.0,231.369995,229.550003,231.039993
2023-03-06,231.0,233.399994,230.539993,232.600006
2023-03-07,232.779999,233.779999,229.979996,229.990005
2023-03-08,229.830002,230.529999,224.619995,227.059998
2023-03-09,228.210007,229.160004,222.410004,222.869995
2023-03-10,222.270004,224.110001,220.649994,220.929993
2023-03-13,218.0,220.509995,216.929993,218.789993
2023-03-14,221.270004,221.820007,217.929993,219.830002
2023-03-15,217.050003,217.850006,212.770004,216.75
2023-03-16,215.779999,227.789993,215.460007,220.050003
2023-03-17,219.149994,219.990005,216.600006,218.149994
2023-03-20,219.149994,221.210007,219.0,219.910004
2023-03-21,222.009995,222.990005,221.470001,222.369995
2023-03-22,222.619995,223.229996,219.229996,219.229996
2023-03-23,219.960007,221.770004,219.100006,220.110001
2023-03-24,220.100006,223.75,219.660004,223.5
2023-03-27,225.009995,225.679993,223.679993,225.029999
2023-03-28,225.020004,226.470001,224.820007,225.5
2023-03-29,226.110001,226.800003,225.399994,226.800003
2023-03-30,227.279999,227.710007,225.460007,226.490005
2023-03-31,227.550003,228.300003,226.639999,228.210007
