,Open,High,Low,Close
2023-01-03,89.589996,91.050003,88.519997,89.120003
2023-01-04,90.349998,90.650002,87.269997,88.080002
2023-01-05,87.470001,87.57,85.900002,86.199997
2023-01-06,86.790001,87.690002,84.860001,87.339996
2023-01-09,88.360001,90.050003,87.860001,88.019997
2023-01-10,85.980003,88.669998,85.830002,88.419998
2023-01-11,89.18,91.599998,89.010002,91.519997
2023-01-12,91.480003,91.870003,89.75,91.129997
2023-01-13,90.849998,92.190002,90.129997,92.120003
2023-01-17,92.059998,92.25,90.050003,91.290001
2023-01-18,92.139999,92.800003,90.639999,91.120003
2023-01-19,90.720001,93.610001,90.629997,93.050003
2023-01-20,95.099998,98.300003,95.019997,98.019997
2023-01-23,97.949997,100.040001,97.5,99.790001
2023-01-24,98.099998,99.610001,97.199997,97.699997
2023-01-25,95.57,96.160004,93.760002,95.220001
2023-01-26,96.5,97.57,95.379997,97.519997
2023-01-27,97.309998,100.32,97.309998,99.370003
2023-01-30,97.480003,98.290001,96.400002,96.940002
2023-01-31,96.870003,98.879997,96.82,98.839996
2023-02-01,98.709999,101.190002,97.580002,100.43
2023-02-02,105.800003,107.849998,105.610001,107.739998
2023-02-03,102.93,107.809998,102.580002,104.779999
2023-02-06,102.400002,104.360001,101.879997,102.900002
2023-02-07,103.220001,108.18,103.120003,107.639999
2023-02-08,102.050003,103.139999,98.040001,99.370003
2023-02-09,100.0,100.029999,93.629997,95.010002
2023-02-10,95.449997,96.75,94.25,94.57
2023-02-13,94.739998,95.199997,93.839996,94.610001
2023-02-14,94.43,94.849998,92.260002,94.68
2023-02-15,94.489998,97.120003,94.150002,96.940002
2023-02-16,95.370003,97.68,94.739998,95.510002
2023-02-17,94.849998,95.559998,93.209999,94.349998
2023-02-21,93.0,93.099998,91.720001,91.790001
2023-02-22,91.699997,92.110001,90.610001,91.650002
2023-02-23,91.919998,91.940002,89.760002,90.889999
2023-02-24,89.440002,89.889999,88.580002,89.129997
2023-02-27,89.870003,90.160004,89.339996,89.870003
2023-02-28,89.330002,91.230003,89.32,90.059998
2023-03-01,89.980003,91.029999,89.669998,90.360001
2023-03-02,89.660004,92.279999,89.589996,92.0
2023-03-03,92.480003,93.730003,92.449997,93.650002
2023-03-06,94.019997,95.970001,94.0,95.129997
2023-03-07,94.980003,95.669998,93.529999,93.860001
2023-03-08,94.120003,95.959999,94.0,94.25
2023-03-09,94.050003,95.529999,91.900002,92.32
2023-03-10,92.169998,92.790001,90.400002,90.629997
2023-03-13,90.089996,92.57,89.419998,91.110001
2023-03-14,92.559998,94.360001,92.440002,93.970001
2023-03-15,93.220001,96.93,92.639999,96.110001
2023-03-16,96.199997,101.190002,95.5,100.32
2023-03-17,100.260002,102.839996,100.099998,101.620003
2023-03-20,100.120003,101.75,99.870003,101.220001
2023-03-21,101.25,105.099998,101.220001,104.919998
2023-03-22,104.269997,106.589996,103.330002,103.370003
2023-03-23,105.059998,106.300003,104.459999,105.599998
2023-03-24,104.989998,105.489998,103.839996,105.440002
2023-03-27,104.620003,104.760002,101.93,102.459999
2023-03-28,102.440002,102.449997,99.739998,101.029999
2023-03-29,102.279999,102.489998,100.650002,101.389999
2023-03-30,100.910004,101.160004,99.779999,100.889999
2023-03-31,101.300003,103.889999,101.040001,103.730003
2023-04-03,102.389999,104.529999,101.93,104.360001
2023-04-04,104.330002,105.580002,104.040001,104.720001
2023-04-05,105.779999,106.099998,103.660004,104.470001
2023-04-06,105.260002,109.169998,104.330002,108.419998
2023-04-10,106.980003,107.589996,105.120003,106.440002
2023-04-11,106.550003,106.730003,104.68,105.349998
2023-04-12,106.580002,106.75,104.339996,104.639999
2023-04-13,105.839996,107.489998,105.839996,107.43
2023-04-14,106.889999,108.940002,106.839996,108.870003
2023-04-17,104.660004,106.160004,104.519997,105.970001
2023-04-18,106.489998,106.540001,104.07,104.5
2023-04-19,103.580002,104.980003,103.07,104.18
2023-04-20,103.910004,106.25,103.870003,105.290001
2023-04-21,105.470001,106.0,104.779999,105.410004
2023-04-24,105.489998,106.629997,104.699997,105.970001
2023-04-25,105.830002,106.690002,103.839996,103.849998
2023-04-26,104.919998,106.349998,102.629997,103.709999
2023-04-27,104.449997,108.370003,103.540001,107.589996
2023-04-28,107.040001,107.349998,105.089996,107.339996
2023-05-01,106.839996,107.989998,106.82,107.199997
2023-05-02,107.139999,107.199997,103.709999,105.32
2023-05-03,105.529999,107.489998,104.959999,105.410004
2023-05-04,105.489998,105.599998,103.970001,104.690002
2023-05-05,104.82,105.879997,104.110001,105.57
2023-05-08,105.18,107.959999,105.160004,107.769997
2023-05-09,108.389999,110.150002,107.190002,107.349998
2023-05-10,107.970001,112.940002,107.93,111.75
2023-05-11,115.400002,117.919998,114.410004,116.57
2023-05-12,116.68,118.029999,116.110001,117.510002
2023-05-15,116.110001,118.480003,116.010002,116.510002
2023-05-16,116.489998,120.75,116.43,119.510002
2023-05-17,119.610001,121.669998,118.889999,120.839996
2023-05-18,120.949997,123.309998,120.830002,122.830002
2023-05-19,123.550003,125.970001,122.150002,122.760002
2023-05-22,122.940002,126.43,122.739998,125.050003
2023-05-23,124.160004,124.629997,122.209999,122.559998
2023-05-24,121.120003,121.910004,119.860001,120.900002
2023-05-25,124.519997,125.32,121.959999,123.480003
2023-05-26,123.169998,125.260002,122.449997,124.610001
2023-05-30,125.639999,125.660004,122.0,123.669998
2023-05-31,122.75,124.059998,122.5,122.870003
2023-06-01,122.82,124.419998,122.620003,123.720001
2023-06-02,123.989998,126.150002,123.760002,124.669998
2023-06-05,124.010002,127.43,123.839996,126.010002
2023-06-06,126.010002,128.289993,125.360001,127.309998
2023-06-07,126.970001,129.039993,122.120003,122.5
2023-06-08,122.230003,123.230003,121.239998,122.139999
2023-06-09,122.25,123.760002,121.910004,122.230003
