,Open,High,Low,Close
2023-01-03,141.100006,141.899994,140.479996,141.550003
2023-01-04,142.070007,143.619995,141.369995,142.600006
2023-01-05,142.440002,142.5,140.009995,141.110001
2023-01-06,142.380005,144.25,141.580002,143.699997
2023-01-09,144.080002,145.470001,143.399994,143.550003
2023-01-10,143.610001,144.850006,142.899994,144.800003
2023-01-11,145.0,145.529999,143.449997,145.259995
2023-01-12,144.880005,146.660004,144.520004,145.550003
2023-01-13,144.059998,146.100006,144.009995,145.889999
2023-01-17,146.419998,147.179993,145.009995,145.190002
2023-01-18,144.399994,144.679993,140.229996,140.410004
2023-01-19,140.0,142.229996,139.75,140.619995
2023-01-20,141.669998,141.860001,140.509995,141.199997
2023-01-23,141.399994,142.990005,141.059998,141.860001
2023-01-24,141.25,142.75,140.0,141.490005
2023-01-25,140.470001,141.029999,139.360001,140.759995
2023-01-26,137.529999,138.270004,132.979996,134.449997
2023-01-27,134.440002,135.490005,133.770004,134.389999
2023-01-30,134.320007,136.110001,133.979996,135.300003
2023-01-31,135.5,135.649994,133.759995,134.729996
2023-02-01,134.490005,135.789993,132.800003,135.089996
2023-02-02,135.960007,136.720001,134.850006,136.389999
2023-02-03,136.350006,136.949997,135.529999,136.940002
2023-02-06,135.830002,136.320007,134.949997,136.179993
2023-02-07,135.669998,136.399994,134.449997,135.839996
2023-02-08,135.710007,136.740005,135.160004,135.979996
2023-02-09,134.990005,135.729996,133.339996,133.75
2023-02-10,133.779999,135.770004,133.5,135.600006
2023-02-13,136.0,137.389999,135.850006,137.350006
2023-02-14,137.050003,137.240005,135.050003,136.009995
2023-02-15,135.199997,136.449997,135.070007,136.399994
2023-02-16,135.570007,135.970001,134.589996,135.0
2023-02-17,134.5,135.580002,133.889999,135.020004
2023-02-21,134.0,134.389999,131.660004,131.710007
2023-02-22,131.899994,131.990005,130.289993,130.970001
2023-02-23,131.5,131.699997,128.860001,130.789993
2023-02-24,129.619995,130.669998,129.220001,130.570007
2023-02-27,131.419998,131.869995,130.130005,130.490005
2023-02-28,130.550003,130.610001,129.139999,129.300003
2023-03-01,128.899994,129.470001,127.739998,128.190002
2023-03-02,128.389999,129.220001,127.709999,128.929993
2023-03-03,129.350006,129.910004,128.770004,129.639999
2023-03-06,129.639999,130.860001,129.589996,130.190002
2023-03-07,130.279999,130.419998,128.190002,128.25
2023-03-08,128.479996,128.740005,127.550003,128.050003
2023-03-09,128.300003,128.529999,125.980003,126.160004
2023-03-10,126.120003,127.290001,125.129997,125.449997
2023-03-13,125.150002,128.190002,124.849998,125.580002
2023-03-14,126.489998,126.639999,123.199997,124.650002
2023-03-15,122.989998,123.349998,121.709999,123.279999
2023-03-16,122.959999,124.82,121.919998,124.699997
2023-03-17,124.080002,124.519997,122.93,123.690002
2023-03-20,124.309998,126.160004,124.190002,125.940002
2023-03-21,126.900002,127.150002,125.660004,126.57
2023-03-22,127.0,127.220001,124.010002,124.050003
2023-03-23,123.809998,124.93,122.599998,123.370003
2023-03-24,123.360001,125.400002,122.879997,125.290001
2023-03-27,126.470001,130.259995,126.470001,129.309998
2023-03-28,129.179993,129.660004,128.800003,129.339996
2023-03-29,130.119995,130.350006,129.179993,129.710007
2023-03-30,130.160004,131.479996,129.100006,129.220001
2023-03-31,129.470001,131.229996,129.419998,131.089996
2023-04-03,130.970001,132.610001,130.770004,132.059998
2023-04-04,131.990005,132.149994,130.889999,131.600006
2023-04-05,131.369995,132.610001,131.369995,132.139999
2023-04-06,132.160004,132.600006,130.320007,130.5
2023-04-10,129.830002,131.080002,129.240005,131.029999
2023-04-11,130.580002,131.100006,130.179993,130.419998
2023-04-12,130.399994,130.889999,128.169998,128.539993
2023-04-13,128.009995,128.389999,126.0,127.900002
2023-04-14,128.460007,129.839996,127.309998,128.139999
2023-04-17,128.300003,128.720001,126.800003,127.82
2023-04-18,128.139999,128.679993,127.349998,127.779999
2023-04-19,126.5,126.980003,125.300003,126.32
2023-04-20,130.149994,130.979996,125.839996,126.360001
2023-04-21,126.0,126.699997,125.269997,125.730003
2023-04-24,125.550003,126.050003,124.559998,125.400002
2023-04-25,124.900002,126.190002,124.760002,125.889999
2023-04-26,125.809998,126.550003,125.120003,125.849998
2023-04-27,126.370003,127.019997,125.459999,126.970001
2023-04-28,126.580002,127.25,125.639999,126.410004
2023-05-01,126.349998,126.75,126.059998,126.089996
2023-05-02,126.300003,126.449997,123.269997,125.160004
2023-05-03,125.459999,125.57,123.260002,123.449997
2023-05-04,123.029999,123.519997,121.760002,122.57
2023-05-05,123.110001,124.099998,122.809998,123.650002
2023-05-08,123.760002,123.919998,122.550003,123.400002
2023-05-09,121.900002,121.970001,120.660004,121.169998
2023-05-10,121.989998,122.489998,121.099998,122.019997
2023-05-11,122.019997,122.239998,120.550003,120.900002
2023-05-12,121.410004,122.860001,121.110001,122.839996
2023-05-15,123.0,123.690002,122.339996,123.360001
2023-05-16,123.349998,123.860001,122.449997,123.459999
2023-05-17,123.940002,125.849998,123.470001,125.709999
2023-05-18,125.300003,126.510002,125.190002,126.150002
2023-05-19,126.790001,128.289993,126.550003,127.260002
2023-05-22,127.5,128.190002,127.150002,127.5
2023-05-23,127.239998,129.089996,127.129997,128.179993
2023-05-24,127.82,127.900002,125.470001,125.68
2023-05-25,125.610001,127.230003,125.010002,126.760002
2023-05-26,127.059998,129.660004,126.809998,128.889999
2023-05-30,129.559998,130.070007,128.259995,129.479996
2023-05-31,128.509995,129.440002,127.459999,128.589996
2023-06-01,128.440002,130.149994,127.779999,129.820007
2023-06-02,130.380005,133.119995,130.149994,132.419998
2023-06-05,133.119995,133.580002,132.270004,132.639999
2023-06-06,132.429993,132.940002,131.880005,132.690002
2023-06-07,132.5,134.440002,132.190002,134.380005
