,Open,High,Low,Close
2023-01-03,136.059998,137.149994,134.830002,137.110001
2023-01-04,136.800003,137.529999,135.970001,136.809998
2023-01-05,136.529999,136.940002,135.320007,135.539993
2023-01-06,137.0,138.669998,136.679993,138.449997
2023-01-09,138.220001,139.199997,136.979996,137.020004
2023-01-10,137.059998,137.240005,135.300003,135.860001
2023-01-11,136.839996,137.460007,135.389999,136.309998
2023-01-12,136.339996,136.850006,135.350006,136.240005
2023-01-13,135.699997,137.080002,135.699997,136.830002
2023-01-17,137.570007,138.320007,136.429993,136.860001
2023-01-18,136.160004,136.399994,132.720001,132.839996
2023-01-19,132.029999,133.360001,131.440002,132.160004
2023-01-20,132.279999,135.419998,131.550003,135.130005
2023-01-23,135.080002,135.369995,133.839996,134.229996
2023-01-24,133.800003,134.729996,132.130005,134.630005
2023-01-25,129.570007,132.809998,129.029999,132.059998
2023-01-26,131.139999,131.300003,128.559998,130.270004
2023-01-27,129.419998,129.779999,127.959999,128.919998
2023-01-30,129.199997,130.110001,128.559998,128.990005
2023-01-31,129.399994,130.089996,128.520004,130.009995
2023-02-01,129.320007,130.929993,128.610001,130.009995
2023-02-02,128.660004,130.899994,127.970001,130.179993
2023-02-03,130.449997,131.369995,128.850006,131.259995
2023-02-06,131.25,131.600006,129.889999,130.389999
2023-02-07,129.080002,130.559998,128.449997,130.270004
2023-02-08,129.779999,130.5,129.600006,130.0
2023-02-09,130.229996,130.919998,128.210007,128.25
2023-02-10,128.309998,129.5,128.100006,128.929993
2023-02-13,129.330002,130.279999,129.25,130.100006
2023-02-14,130.360001,130.720001,128.179993,128.580002
2023-02-15,128.210007,128.360001,126.730003,127.769997
2023-02-16,126.18,126.910004,125.209999,126.470001
2023-02-17,126.440002,127.379997,125.910004,127.230003
2023-02-21,126.860001,129.970001,126.419998,129.229996
2023-02-22,129.410004,130.210007,128.350006,128.529999
2023-02-23,128.270004,128.960007,126.860001,127.220001
2023-02-24,126.349998,126.900002,125.699997,126.199997
2023-02-27,126.68,127.220001,125.809998,126.25
2023-02-28,125.720001,125.779999,124.690002,125.050003
2023-03-01,124.720001,125.190002,123.699997,124.720001
2023-03-02,124.870003,126.910004,124.480003,126.669998
2023-03-03,127.129997,127.129997,125.809998,126.489998
2023-03-06,126.099998,126.699997,125.730003,126.18
2023-03-07,126.370003,126.370003,123.489998,123.599998
2023-03-08,123.690002,124.089996,123.199997,123.800003
2023-03-09,123.309998,123.860001,122.050003,122.610001
2023-03-10,122.980003,123.220001,121.970001,122.339996
2023-03-13,122.720001,125.769997,122.660004,123.080002
2023-03-14,123.540001,123.879997,122.480003,123.650002
2023-03-15,123.07,125.949997,123.07,125.82
2023-03-16,126.139999,127.080002,125.610001,126.910004
2023-03-17,126.849998,127.360001,124.830002,125.370003
2023-03-20,126.790001,129.130005,126.709999,128.479996
2023-03-21,128.429993,128.899994,127.169998,128.020004
2023-03-22,128.300003,129.660004,127.370003,127.410004
2023-03-23,127.019997,128.399994,127.019997,127.370003
2023-03-24,128.139999,130.580002,127.940002,130.479996
2023-03-27,131.0,131.820007,129.880005,130.320007
2023-03-28,130.830002,131.809998,130.259995,131.570007
2023-03-29,132.009995,132.990005,131.940002,132.479996
2023-03-30,132.320007,133.080002,132.289993,133.009995
2023-03-31,133.350006,134.279999,133.350006,134.220001
2023-04-03,134.160004,135.509995,133.360001,135.009995
2023-04-04,135.550003,136.589996,134.119995,134.460007
2023-04-05,135.380005,136.789993,134.919998,135.660004
2023-04-06,136.199997,137.100006,135.720001,136.490005
2023-04-10,135.589996,136.029999,134.75,135.570007
2023-04-11,135.740005,136.229996,135.289993,135.990005
2023-04-12,135.410004,137.300003,135.039993,136.729996
2023-04-13,136.020004,137.759995,135.710007,137.460007
2023-04-14,136.809998,137.889999,136.809998,137.330002
2023-04-17,137.770004,138.820007,137.580002,138.630005
2023-04-18,138.389999,139.050003,138.059998,138.729996
2023-04-19,139.399994,139.399994,138.199997,138.399994
2023-04-20,138.820007,139.440002,138.369995,139.139999
2023-04-21,139.589996,141.800003,139.589996,141.570007
2023-04-24,141.490005,142.5,141.279999,142.429993
2023-04-25,144.860001,147.869995,143.720001,144.669998
2023-04-26,143.389999,145.699997,143.050003,143.610001
2023-04-27,143.929993,146.419998,143.850006,146.380005
2023-04-28,146.570007,147.089996,143.800003,144.889999
2023-05-01,145.119995,146.449997,144.830002,145.850006
2023-05-02,145.789993,146.350006,144.839996,145.880005
2023-05-03,146.0,147.020004,145.289993,145.580002
2023-05-04,145.399994,146.149994,143.990005,144.410004
2023-05-05,144.139999,145.850006,143.820007,145.179993
2023-05-08,144.990005,145.419998,144.320007,144.740005
2023-05-09,145.210007,145.669998,143.660004,143.919998
2023-05-10,143.800003,144.259995,142.559998,143.410004
2023-05-11,143.880005,144.199997,142.869995,143.679993
2023-05-12,143.880005,144.710007,143.330002,144.649994
2023-05-15,145.009995,145.289993,143.369995,143.850006
2023-05-16,144.059998,144.940002,143.130005,144.660004
2023-05-17,144.809998,145.080002,143.5,144.850006
2023-05-18,144.25,144.259995,142.470001,143.800003
2023-05-19,144.070007,145.279999,143.449997,145.029999
2023-05-22,144.350006,144.800003,140.509995,140.699997
2023-05-23,140.270004,140.460007,138.330002,138.570007
2023-05-24,138.979996,138.990005,137.539993,137.649994
2023-05-25,136.880005,137.550003,136.380005,137.039993
2023-05-26,136.800003,137.220001,135.539993,136.300003
2023-05-30,134.75,135.0,133.110001,133.570007
2023-05-31,134.080002,135.029999,132.789993,134.279999
2023-06-01,134.960007,135.009995,133.360001,133.929993
2023-06-02,133.710007,136.130005,133.479996,136.089996
2023-06-05,135.589996,138.520004,135.589996,136.619995
2023-06-06,136.850006,137.130005,134.899994,135.619995
2023-06-07,134.089996,135.440002,133.320007,135.0
2023-06-08,133.949997,134.899994,133.789993,134.720001
2023-06-09,134.059998,134.75,133.869995,134.5
2023-06-12,134.919998,134.919998,133.630005,134.660004
