,Open,High,Low,Close
2023-01-03,63.560001,63.560001,62.18,62.950001
2023-01-04,63.150002,63.330002,62.509998,62.919998
2023-01-05,62.599998,62.799999,62.080002,62.200001
2023-01-06,62.91,63.669998,62.580002,63.400002
2023-01-09,63.299999,63.720001,62.580002,62.610001
2023-01-10,62.599998,62.73,61.919998,62.130001
2023-01-11,62.380001,62.560001,61.41,62.009998
2023-01-12,62.110001,62.18,60.970001,61.209999
2023-01-13,60.700001,61.459999,60.59,61.43
2023-01-17,61.73,62.380001,61.560001,61.68
2023-01-18,61.509998,61.59,59.68,59.810001
2023-01-19,59.73,60.639999,59.709999,59.720001
2023-01-20,59.720001,60.09,59.400002,60.080002
2023-01-23,60.279999,60.57,60.049999,60.23
2023-01-24,60.080002,61.849998,59.799999,60.549999
2023-01-25,60.200001,60.939999,59.889999,60.93
2023-01-26,60.810001,61.099998,60.57,60.810001
2023-01-27,60.84,60.959999,60.369999,60.490002
2023-01-30,60.540001,61.169998,60.459999,60.639999
2023-01-31,60.98,61.34,60.509998,61.32
2023-02-01,61.139999,61.580002,60.619999,61.330002
2023-02-02,60.799999,61.02,59.91,60.279999
2023-02-03,60.349998,60.419998,59.23,59.830002
2023-02-06,59.790001,60.34,59.720001,60.169998
2023-02-07,59.669998,60.240002,59.540001,60.07
2023-02-08,59.919998,59.919998,59.59,59.720001
2023-02-09,60.150002,60.32,59.599998,59.619999
2023-02-10,59.720001,59.900002,58.880001,59.619999
2023-02-13,59.900002,60.759998,59.73,60.599998
2023-02-14,60.209999,60.900002,59.560001,59.59
2023-02-15,59.900002,59.93,59.23,59.59
2023-02-16,59.23,59.82,58.950001,59.220001
2023-02-17,59.5,60.23,59.380001,60.119999
2023-02-21,59.990002,60.23,59.720001,59.799999
2023-02-22,59.849998,60.360001,59.75,59.98
2023-02-23,60.009998,60.419998,59.810001,60.09
2023-02-24,59.68,59.91,59.389999,59.84
2023-02-27,60.18,60.299999,59.740002,59.82
2023-02-28,59.700001,59.700001,59.139999,59.509998
2023-03-01,59.130001,59.18,58.369999,58.860001
2023-03-02,58.84,59.779999,58.799999,59.720001
2023-03-03,59.549999,59.68,59.209999,59.439999
2023-03-06,59.259998,60.380001,59.220001,60.360001
2023-03-07,60.490002,60.57,59.75,60.009998
2023-03-08,60.040001,60.330002,59.73,60.040001
2023-03-09,60.540001,60.540001,59.279999,59.459999
2023-03-10,59.700001,60.139999,58.990002,59.209999
2023-03-13,59.290001,60.869999,59.25,59.810001
2023-03-14,60.0,60.459999,59.349998,60.029999
2023-03-15,59.43,60.48,59.240002,60.43
2023-03-16,60.09,60.34,59.700001,60.299999
2023-03-17,60.310001,60.349998,59.639999,60.02
2023-03-20,60.16,60.599998,59.970001,60.599998
2023-03-21,60.57,60.75,59.880001,60.32
2023-03-22,60.400002,60.869999,60.029999,60.049999
2023-03-23,60.09,60.389999,59.720001,59.919998
2023-03-24,60.25,61.02,59.91,60.900002
2023-03-27,61.139999,61.48,60.950001,61.349998
2023-03-28,61.389999,61.740002,61.27,61.419998
2023-03-29,61.720001,61.950001,61.59,61.860001
2023-03-30,61.880001,62.09,61.66,61.849998
2023-03-31,62.060001,62.25,61.869999,62.029999
2023-04-03,62.299999,62.52,61.860001,62.400002
2023-04-04,62.389999,62.740002,62.080002,62.209999
2023-04-05,62.529999,63.02,62.5,62.799999
2023-04-06,62.860001,63.040001,62.380001,62.84
2023-04-10,62.490002,62.689999,62.02,62.689999
2023-04-11,62.650002,62.709999,62.400002,62.580002
2023-04-12,62.48,63.029999,62.310001,62.689999
2023-04-13,62.759998,63.16,62.48,63.150002
2023-04-14,63.049999,63.150002,62.779999,63.049999
2023-04-17,63.32,63.529999,63.139999,63.459999
2023-04-18,63.509998,63.599998,63.189999,63.560001
2023-04-19,63.73,63.830002,63.43,63.68
2023-04-20,63.630001,64.0,63.439999,63.959999
2023-04-21,64.0,64.269997,63.799999,64.050003
2023-04-24,64.75,64.989998,63.619999,63.950001
2023-04-25,64.169998,64.169998,63.630001,63.849998
2023-04-26,63.560001,63.77,63.389999,63.549999
2023-04-27,63.529999,63.759998,63.110001,63.68
2023-04-28,63.610001,64.160004,63.48,64.150002
2023-05-01,64.150002,64.690002,64.059998,64.300003
2023-05-02,64.139999,64.139999,63.27,64.010002
2023-05-03,64.019997,64.18,63.580002,63.650002
2023-05-04,63.740002,63.93,63.509998,63.720001
2023-05-05,63.639999,64.209999,63.630001,64.019997
2023-05-08,63.810001,64.059998,63.610001,63.919998
2023-05-09,63.639999,63.75,63.279999,63.389999
2023-05-10,63.32,63.639999,62.990002,63.5
2023-05-11,63.580002,63.93,63.009998,63.860001
2023-05-12,63.860001,64.190002,63.700001,64.110001
2023-05-15,64.220001,64.25,63.709999,63.939999
2023-05-16,63.900002,63.900002,63.16,63.220001
2023-05-17,63.400002,63.419998,62.73,63.150002
2023-05-18,63.009998,63.040001,62.57,62.799999
2023-05-19,63.040001,63.099998,62.610001,62.830002
2023-05-22,62.790001,62.869999,61.439999,61.509998
2023-05-23,61.509998,61.669998,61.169998,61.400002
2023-05-24,61.380001,61.43,60.720001,60.880001
2023-05-25,60.470001,60.73,60.150002,60.41
2023-05-26,60.450001,60.639999,60.110001,60.259998
2023-05-30,60.09,60.200001,59.52,59.779999
2023-05-31,59.919998,60.279999,59.369999,59.66
2023-06-01,59.939999,60.169998,59.77,60.0
2023-06-02,60.27,61.32,60.080002,61.16
2023-06-05,61.0,61.439999,60.549999,60.75
2023-06-06,60.950001,60.990002,60.119999,60.310001
2023-06-07,60.009998,60.360001,59.82,60.220001
2023-06-08,60.130001,60.41,59.98,60.369999
2023-06-09,60.27,60.669998,60.169998,60.470001
2023-06-12,60.59,60.650002,60.02,60.209999
2023-06-13,60.209999,60.669998,60.040001,60.450001
2023-06-14,60.73,61.080002,60.599998,60.860001
2023-06-15,60.610001,61.299999,60.34,61.23
2023-06-16,61.599998,62.169998,61.48,61.669998
2023-06-20,61.59,61.959999,61.240002,61.259998
2023-06-21,61.310001,61.720001,60.98,61.43
2023-06-22,61.810001,62.099998,61.59,61.849998
2023-06-23,61.939999,61.970001,61.18,61.200001
2023-06-26,61.209999,61.290001,60.389999,61.220001
2023-06-27,61.220001,61.360001,60.98,61.09
2023-06-28,60.880001,61.040001,60.400002,60.52
2023-06-29,60.220001,60.349998,59.77,60.02
2023-06-30,60.0,60.349998,59.869999,60.220001
2023-07-03,60.200001,60.630001,60.029999,60.580002
2023-07-05,60.279999,61.099998,60.16,61.029999
2023-07-06,60.73,61.02,60.5,60.560001
