,Open,High,Low,Close
2023-01-03,263.529999,264.350006,259.51001,264.329987
2023-01-04,266.25,266.549988,262.890015,264.390015
2023-01-05,264.76001,264.76001,261.380005,262.160004
2023-01-06,263.76001,269.890015,263.390015,269.470001
2023-01-09,269.929993,269.950012,266.769989,267.25
2023-01-10,266.980011,269.100006,266.959991,268.910004
2023-01-11,269.519989,269.73999,266.959991,268.809998
2023-01-12,269.5,269.920013,266.190002,266.690002
2023-01-13,266.390015,268.950012,265.880005,268.890015
2023-01-17,270.019989,275.390015,270.019989,274.109985
2023-01-18,273.51001,274.369995,265.720001,266.040009
2023-01-19,266.720001,269.140015,263.529999,263.579987
2023-01-20,264.429993,268.649994,262.829987,268.579987
2023-01-23,268.839996,271.170013,267.76001,269.290009
2023-01-24,261.220001,270.160004,261.220001,269.559998
2023-01-25,270.329987,273.070007,268.820007,273.0
2023-01-26,273.0,274.75,271.700012,274.720001
2023-01-27,275.0,275.309998,271.970001,272.459991
2023-01-30,271.670013,272.570007,270.059998,270.890015
2023-01-31,265.089996,267.51001,263.25,267.399994
2023-02-01,267.019989,268.459991,263.5,266.269989
2023-02-02,264.890015,265.980011,262.019989,263.209991
2023-02-03,262.630005,265.220001,261.350006,264.230011
2023-02-06,264.98999,268.200012,264.359985,267.920013
2023-02-07,265.019989,267.769989,263.630005,267.339996
2023-02-08,265.089996,265.890015,262.450012,262.820007
2023-02-09,263.690002,263.950012,260.190002,260.660004
2023-02-10,260.869995,262.690002,260.290009,262.420013
2023-02-13,263.700012,266.790009,263.0,266.200012
2023-02-14,266.649994,267.519989,264.589996,266.609985
2023-02-15,266.269989,267.679993,265.149994,266.559998
2023-02-16,265.070007,267.709991,263.279999,265.829987
2023-02-17,266.299988,270.0,265.329987,269.98999
2023-02-21,269.290009,270.23999,267.609985,268.549988
2023-02-22,268.200012,270.480011,267.660004,268.640015
2023-02-23,267.700012,267.869995,263.959991,266.779999
2023-02-24,265.910004,266.279999,262.25,263.679993
2023-02-27,265.029999,266.299988,263.540009,264.779999
2023-02-28,263.140015,264.579987,262.809998,263.910004
2023-03-01,262.540009,263.529999,261.679993,262.720001
2023-03-02,262.450012,268.459991,262.309998,267.570007
2023-03-03,268.420013,269.380005,266.200012,269.070007
2023-03-06,269.149994,270.779999,268.899994,270.640015
2023-03-07,271.519989,273.149994,266.820007,267.130005
2023-03-08,265.859985,266.160004,263.140015,265.329987
2023-03-09,267.089996,267.609985,260.869995,261.630005
2023-03-10,263.730011,266.579987,261.26001,262.029999
2023-03-13,260.369995,267.399994,260.369995,263.079987
2023-03-14,263.119995,266.940002,262.600006,265.899994
