,Open,High,Low,Close
2023-01-03,122.82,126.370003,122.279999,124.739998
2023-01-04,127.379997,129.050003,125.849998,127.370003
2023-01-05,126.129997,128.520004,124.540001,126.940002
2023-01-06,128.970001,130.330002,126.040001,130.020004
2023-01-09,131.160004,132.949997,129.279999,129.470001
2023-01-10,127.269997,133.440002,127.150002,132.990005
2023-01-11,130.960007,133.850006,130.339996,132.889999
2023-01-12,133.440002,137.679993,131.759995,136.710007
2023-01-13,134.970001,137.389999,134.839996,136.979996
2023-01-17,136.179993,136.75,134.25,135.360001
2023-01-18,135.809998,137.25,132.800003,133.020004
2023-01-19,132.490005,137.449997,132.139999,136.149994
2023-01-20,135.889999,139.940002,134.610001,139.369995
2023-01-23,139.289993,143.759995,138.660004,143.270004
2023-01-24,141.690002,145.0,141.360001,143.139999
2023-01-25,141.220001,143.169998,140.309998,141.5
2023-01-26,144.399994,147.509995,143.300003,147.300003
2023-01-27,148.240005,153.190002,147.389999,151.740005
2023-01-30,149.410004,151.119995,146.949997,147.059998
2023-01-31,147.949997,149.880005,147.520004,148.970001
2023-02-01,148.029999,153.580002,147.059998,153.119995
2023-02-02,183.380005,197.160004,180.160004,188.770004
2023-02-03,183.470001,196.770004,182.889999,186.529999
2023-02-06,186.529999,190.699997,185.520004,186.059998
2023-02-07,185.580002,193.779999,184.399994,191.619995
2023-02-08,190.0,190.830002,182.919998,183.429993
2023-02-09,186.130005,186.649994,177.270004,177.919998
2023-02-10,176.350006,178.889999,173.350006,174.149994
2023-02-13,178.220001,181.0,175.820007,179.429993
2023-02-14,177.160004,181.509995,175.880005,179.479996
2023-02-15,176.419998,178.190002,175.330002,177.160004
2023-02-16,172.75,175.850006,171.789993,172.440002
2023-02-17,170.220001,173.179993,169.699997,172.880005
2023-02-21,174.309998,178.169998,171.880005,172.080002
2023-02-22,171.070007,172.759995,169.690002,171.119995
2023-02-23,172.0,173.690002,169.380005,172.039993
2023-02-24,168.639999,170.720001,167.660004,170.389999
2023-02-27,171.880005,173.119995,169.059998,169.539993
2023-02-28,171.899994,177.550003,171.869995,174.940002
2023-03-01,174.589996,177.850006,173.050003,173.419998
2023-03-02,172.380005,175.009995,171.429993,174.529999
2023-03-03,178.919998,186.619995,177.050003,185.25
2023-03-06,188.0,189.660004,184.639999,184.899994
2023-03-07,189.0,190.360001,184.009995,184.509995
2023-03-08,182.869995,185.259995,181.339996,184.970001
2023-03-09,186.350006,188.929993,180.300003,181.690002
2023-03-10,181.009995,184.770004,178.800003,179.509995
2023-03-13,177.960007,183.779999,174.820007,180.899994
2023-03-14,187.580002,194.320007,186.559998,194.020004
2023-03-15,192.949997,197.779999,190.839996,197.75
2023-03-16,198.259995,205.759995,196.089996,204.929993
2023-03-17,200.559998,201.899994,195.429993,195.610001
2023-03-20,198.479996,199.360001,193.639999,197.809998
2023-03-21,203.199997,203.550003,197.949997,202.160004
2023-03-22,202.5,207.369995,199.669998,199.809998
2023-03-23,202.839996,207.880005,202.149994,204.279999
2023-03-24,205.179993,207.580002,203.550003,206.009995
2023-03-27,204.809998,205.860001,201.360001,202.839996
2023-03-28,200.149994,201.029999,197.899994,200.679993
2023-03-29,203.559998,205.720001,202.539993,205.350006
2023-03-30,203.380005,208.089996,202.820007,207.839996
2023-03-31,207.240005,212.169998,206.770004,211.940002
2023-04-03,208.839996,213.490005,208.199997,213.070007
2023-04-04,213.389999,216.240005,212.539993,214.720001
2023-04-05,214.149994,215.190002,209.940002,211.479996
2023-04-06,209.25,216.940002,208.649994,216.100006
2023-04-10,214.710007,215.660004,210.660004,214.75
2023-04-11,215.479996,216.020004,213.410004,213.850006
2023-04-12,214.839996,216.839996,212.580002,214.0
2023-04-13,215.729996,221.149994,215.690002,220.350006
2023-04-14,217.880005,222.110001,217.550003,221.490005
2023-04-17,219.789993,220.979996,217.130005,218.860001
2023-04-18,219.910004,220.440002,216.210007,217.889999
2023-04-19,213.470001,217.330002,212.929993,215.699997
2023-04-20,213.479996,216.75,212.770004,213.070007
2023-04-21,210.210007,213.410004,209.580002,212.889999
2023-04-24,213.679993,213.919998,210.710007,212.789993
2023-04-25,210.820007,211.259995,207.130005,207.550003
2023-04-26,212.5,214.110001,208.880005,209.399994
2023-04-27,239.889999,241.690002,236.770004,238.559998
2023-04-28,239.009995,240.429993,235.75,240.320007
2023-05-01,238.619995,244.0,236.460007,243.179993
2023-05-02,243.179993,244.919998,238.990005,239.240005
2023-05-03,239.470001,241.75,232.75,237.029999
2023-05-04,236.059998,238.199997,232.929993,233.520004
2023-05-05,232.240005,234.679993,229.850006,232.779999
2023-05-08,231.419998,235.619995,230.270004,233.270004
