,Open,High,Low,Close
2023-01-03,243.080002,245.75,237.399994,239.580002
2023-01-04,232.279999,232.869995,225.960007,229.100006
2023-01-05,227.199997,227.550003,221.759995,222.309998
2023-01-06,223.0,225.759995,219.350006,224.929993
2023-01-09,226.449997,231.240005,226.410004,227.119995
2023-01-10,227.759995,231.309998,227.330002,228.850006
2023-01-11,231.289993,235.949997,231.110001,235.770004
2023-01-12,235.259995,239.899994,233.559998,238.509995
2023-01-13,237.0,239.369995,234.919998,239.229996
2023-01-17,237.970001,240.910004,237.089996,240.350006
2023-01-18,241.570007,242.380005,235.520004,235.809998
2023-01-19,233.779999,235.520004,230.679993,231.929993
2023-01-20,234.860001,240.740005,234.509995,240.220001
2023-01-23,241.100006,245.169998,239.649994,242.580002
2023-01-24,242.5,243.949997,240.440002,242.039993
2023-01-25,234.479996,243.300003,230.899994,240.610001
2023-01-26,243.649994,248.309998,242.0,248.0
2023-01-27,248.990005,249.830002,246.830002,248.160004
2023-01-30,244.509995,245.600006,242.199997,242.710007
2023-01-31,243.449997,247.949997,242.949997,247.809998
2023-02-01,248.0,255.179993,245.470001,252.75
2023-02-02,258.820007,264.690002,257.25,264.600006
2023-02-03,259.540009,264.200012,257.100006,258.350006
2023-02-06,257.440002,258.299988,254.779999,256.769989
2023-02-07,260.529999,268.769989,260.079987,267.559998
2023-02-08,273.200012,276.76001,266.209991,266.730011
2023-02-09,273.799988,273.980011,262.799988,263.619995
2023-02-10,261.529999,264.089996,260.660004,263.100006
2023-02-13,267.640015,274.600006,267.149994,271.320007
2023-02-14,272.670013,274.970001,269.279999,272.170013
2023-02-15,268.320007,270.730011,266.179993,269.320007
2023-02-16,264.019989,266.73999,261.899994,262.149994
2023-02-17,259.390015,260.089996,256.0,258.059998
2023-02-21,254.479996,255.490005,251.589996,252.669998
2023-02-22,254.089996,254.339996,250.339996,251.509995
2023-02-23,255.559998,256.839996,250.479996,254.770004
2023-02-24,249.960007,251.0,248.100006,249.220001
2023-02-27,252.460007,252.820007,249.389999,250.160004
2023-02-28,249.070007,251.490005,248.729996,249.419998
2023-03-01,250.759995,250.929993,245.789993,246.270004
2023-03-02,246.550003,251.399994,245.610001,251.110001
2023-03-03,252.190002,255.619995,251.389999,255.289993
2023-03-06,256.429993,260.119995,255.979996,256.869995
2023-03-07,256.299988,257.690002,253.389999,254.149994
2023-03-08,254.039993,254.539993,250.809998,253.699997
2023-03-09,255.820007,259.559998,251.580002,252.320007
2023-03-10,251.080002,252.789993,247.600006,248.589996
2023-03-13,247.399994,257.910004,245.729996,253.919998
2023-03-14,256.75,261.070007,255.860001,260.790009
2023-03-15,259.980011,266.480011,259.209991,265.440002
2023-03-16,265.209991,276.559998,263.279999,276.200012
2023-03-17,278.26001,283.329987,276.320007,279.429993
2023-03-20,276.980011,277.480011,269.850006,272.230011
2023-03-21,274.880005,275.0,269.519989,273.779999
2023-03-22,273.399994,281.040009,272.179993,272.290009
2023-03-23,277.940002,281.059998,275.200012,277.660004
2023-03-24,277.23999,280.630005,275.279999,280.570007
2023-03-27,280.5,281.459991,275.519989,276.380005
2023-03-28,275.790009,276.140015,272.049988,275.230011
2023-03-29,278.959991,281.140015,278.410004,280.51001
2023-03-30,284.230011,284.459991,281.480011,284.049988
2023-03-31,283.730011,289.269989,283.0,288.299988
2023-04-03,286.519989,288.269989,283.950012,287.230011
2023-04-04,287.230011,290.450012,285.670013,287.179993
2023-04-05,285.850006,287.149994,282.920013,284.339996
2023-04-06,283.209991,292.079987,282.029999,291.600006
2023-04-10,289.209991,289.600006,284.709991,289.390015
2023-04-11,285.75,285.980011,281.640015,282.829987
