,Open,High,Low,Close
2023-01-03,148.509995,149.960007,140.960007,143.149994
2023-01-04,145.669998,148.529999,142.410004,147.490005
2023-01-05,144.910004,145.639999,141.479996,142.649994
2023-01-06,144.740005,150.100006,140.339996,148.589996
2023-01-09,152.839996,160.559998,151.410004,156.279999
2023-01-10,155.070007,159.619995,154.720001,159.089996
2023-01-11,158.399994,160.279999,155.630005,160.009995
2023-01-12,161.0,166.369995,154.919998,165.110001
2023-01-13,162.779999,169.220001,161.649994,168.990005
2023-01-17,168.990005,177.279999,168.990005,177.020004
2023-01-18,176.669998,178.729996,172.820007,173.770004
2023-01-19,170.360001,171.970001,167.309998,167.649994
2023-01-20,170.110001,178.559998,168.25,178.389999
2023-01-23,180.639999,192.449997,178.179993,191.929993
2023-01-24,188.270004,194.949997,188.199997,192.649994
2023-01-25,189.130005,193.699997,185.800003,193.229996
2023-01-26,197.009995,201.660004,192.779999,198.020004
2023-01-27,194.619995,206.279999,194.050003,203.649994
2023-01-30,199.5,201.399994,191.5,191.619995
2023-01-31,191.699997,196.869995,189.5,195.369995
2023-02-01,196.910004,211.919998,196.110001,209.429993
2023-02-02,210.0,219.490005,207.0,217.089996
2023-02-03,210.0,217.449997,207.889999,211.0
2023-02-06,208.059998,215.699997,207.860001,210.889999
2023-02-07,213.820007,222.589996,211.5,221.729996
2023-02-08,223.869995,228.779999,220.080002,222.050003
2023-02-09,226.059998,230.199997,221.199997,223.369995
2023-02-10,216.899994,220.779999,208.110001,212.649994
2023-02-13,215.380005,220.479996,209.619995,217.880005
2023-02-14,215.779999,230.490005,213.660004,229.710007
2023-02-15,225.490005,228.550003,221.059998,227.639999
2023-02-16,221.330002,225.5,219.270004,220.020004
2023-02-17,216.309998,217.399994,209.75,213.880005
2023-02-21,210.0,214.940002,206.179993,206.550003
2023-02-22,207.070007,211.039993,204.210007,207.539993
2023-02-23,234.399994,238.880005,230.25,236.639999
2023-02-24,232.25,234.740005,229.470001,232.860001
2023-02-27,236.699997,238.800003,234.539993,235.009995
2023-02-28,233.720001,238.25,232.059998,232.160004
2023-03-01,231.919998,232.559998,225.080002,226.979996
2023-03-02,224.880005,233.800003,224.320007,233.139999
2023-03-03,233.199997,239.0,231.300003,238.899994
2023-03-06,238.910004,242.479996,234.869995,235.539993
2023-03-07,236.0,241.25,232.410004,232.880005
2023-03-08,234.869995,242.0,234.240005,241.809998
2023-03-09,241.75,244.539993,233.830002,234.360001
2023-03-10,234.089996,236.270004,227.259995,229.649994
2023-03-13,227.520004,232.979996,222.970001,229.660004
2023-03-14,234.960007,242.190002,234.600006,240.630005
2023-03-15,237.610001,242.860001,233.600006,242.279999
2023-03-16,240.270004,255.880005,238.940002,255.410004
2023-03-17,259.820007,263.98999,256.679993,257.25
2023-03-20,256.149994,260.23999,251.300003,259.0
2023-03-21,261.799988,263.920013,253.809998,261.98999
2023-03-22,264.25,275.890015,262.369995,264.679993
2023-03-23,271.149994,274.98999,266.899994,271.910004
2023-03-24,270.309998,271.670013,263.549988,267.790009
2023-03-27,268.369995,270.0,263.649994,265.309998
2023-03-28,264.470001,265.130005,258.5,264.100006
2023-03-29,268.25,270.779999,265.970001,269.839996
2023-03-30,272.290009,274.98999,271.019989,273.829987
2023-03-31,271.399994,278.339996,271.049988,277.769989
2023-04-03,275.089996,280.0,273.359985,279.649994
2023-04-04,279.660004,280.0,273.070007,274.529999
2023-04-05,268.290009,269.980011,263.950012,268.809998
2023-04-06,265.839996,270.799988,264.269989,270.369995
2023-04-10,268.230011,276.209991,266.690002,275.790009
2023-04-11,277.23999,277.899994,271.26001,271.690002
2023-04-12,273.700012,274.679993,264.480011,264.950012
2023-04-13,267.339996,268.869995,263.290009,264.630005
2023-04-14,265.040009,268.829987,262.200012,267.579987
2023-04-17,265.649994,270.059998,264.329987,270.019989
2023-04-18,275.329987,281.100006,273.570007,276.670013
2023-04-19,273.609985,280.0,272.320007,279.309998
2023-04-20,276.709991,280.299988,270.0,271.040009
2023-04-21,269.519989,271.829987,267.220001,271.190002
