,Open,High,Low,Close
2023-01-03,180.589996,180.75,176.570007,179.410004
2023-01-04,179.410004,180.539993,177.550003,178.970001
2023-01-05,177.960007,178.770004,176.860001,177.100006
2023-01-06,178.809998,181.830002,178.800003,181.100006
2023-01-09,180.440002,182.770004,178.809998,179.330002
2023-01-10,178.789993,179.529999,177.089996,177.850006
2023-01-11,179.389999,179.710007,175.679993,178.050003
2023-01-12,177.660004,178.369995,175.320007,175.779999
2023-01-13,175.399994,175.729996,174.169998,175.240005
2023-01-17,176.149994,177.550003,175.490005,176.059998
2023-01-18,175.240005,175.740005,171.330002,171.619995
2023-01-19,171.279999,172.169998,169.479996,169.630005
2023-01-20,168.949997,169.889999,167.460007,169.880005
2023-01-23,170.009995,170.759995,168.720001,169.119995
2023-01-24,169.610001,170.869995,168.449997,170.690002
2023-01-25,170.339996,171.979996,169.339996,171.929993
2023-01-26,171.639999,171.669998,170.039993,170.220001
2023-01-27,169.770004,170.229996,168.580002,169.619995
2023-01-30,169.779999,171.460007,169.139999,169.479996
2023-01-31,170.199997,171.070007,169.320007,171.020004
2023-02-01,170.880005,172.320007,169.509995,171.559998
2023-02-02,169.460007,170.559998,168.509995,169.970001
2023-02-03,170.960007,171.289993,167.050003,169.119995
2023-02-06,169.740005,172.380005,169.589996,171.820007
2023-02-07,170.289993,172.029999,169.259995,171.559998
2023-02-08,171.0,171.330002,170.240005,171.160004
2023-02-09,175.320007,176.490005,172.039993,172.779999
2023-02-10,173.119995,176.589996,172.649994,176.199997
2023-02-13,176.259995,178.229996,176.039993,177.770004
2023-02-14,177.100006,177.25,174.789993,175.770004
2023-02-15,175.0,176.050003,174.589996,176.009995
2023-02-16,174.740005,176.899994,174.539993,175.509995
2023-02-17,175.160004,176.419998,174.830002,176.279999
2023-02-21,175.580002,177.410004,174.669998,176.179993
2023-02-22,176.720001,177.429993,175.770004,176.119995
2023-02-23,176.660004,176.990005,174.990005,176.309998
2023-02-24,175.460007,176.330002,174.289993,175.960007
2023-02-27,176.970001,177.25,175.649994,175.910004
2023-02-28,174.880005,175.059998,173.199997,173.529999
2023-03-01,172.320007,172.460007,169.119995,171.330002
2023-03-02,170.509995,173.759995,169.779999,173.320007
2023-03-03,173.0,173.449997,171.330002,173.149994
2023-03-06,172.220001,173.660004,172.220001,173.5
2023-03-07,173.669998,174.259995,171.869995,172.639999
2023-03-08,172.679993,173.360001,171.779999,173.110001
2023-03-09,173.619995,174.360001,171.199997,171.800003
2023-03-10,172.529999,174.240005,170.960007,172.029999
2023-03-13,172.759995,177.229996,172.610001,173.710007
2023-03-14,172.490005,173.809998,171.570007,173.529999
2023-03-15,173.529999,176.660004,173.190002,176.630005
2023-03-16,176.610001,177.0,175.320007,176.509995
2023-03-17,176.509995,176.690002,174.229996,175.130005
2023-03-20,176.5,177.679993,175.509995,177.589996
2023-03-21,177.660004,178.169998,176.279999,178.009995
2023-03-22,177.839996,179.369995,176.419998,176.509995
2023-03-23,176.059998,177.220001,175.020004,175.649994
2023-03-24,176.529999,179.339996,176.389999,179.089996
2023-03-27,179.580002,180.649994,179.309998,179.490005
2023-03-28,179.330002,180.460007,179.330002,179.429993
2023-03-29,180.649994,180.910004,179.990005,180.669998
2023-03-30,181.0,181.330002,180.080002,180.830002
2023-03-31,182.160004,182.490005,181.320007,182.300003
2023-04-03,181.899994,182.759995,180.399994,182.5
2023-04-04,182.179993,183.360001,181.100006,181.850006
2023-04-05,183.25,184.960007,183.059998,183.639999
2023-04-06,183.300003,184.740005,183.100006,184.360001
2023-04-10,183.830002,183.899994,181.690002,183.199997
2023-04-11,183.419998,183.880005,182.759995,182.919998
2023-04-12,182.690002,183.779999,182.25,182.559998
2023-04-13,182.619995,184.610001,182.110001,184.380005
2023-04-14,183.339996,184.020004,182.919998,183.509995
2023-04-17,184.190002,184.75,183.479996,184.449997
2023-04-18,184.770004,185.220001,183.740005,184.830002
2023-04-19,185.240005,185.320007,184.259995,184.720001
2023-04-20,184.839996,186.039993,184.199997,185.330002
2023-04-21,185.990005,186.380005,185.130005,185.410004
2023-04-24,186.5,186.570007,185.020004,185.5
2023-04-25,186.559998,190.179993,186.240005,189.710007
2023-04-26,188.479996,189.419998,187.869995,188.539993
2023-04-27,188.179993,189.949997,187.509995,189.690002
2023-04-28,189.899994,191.619995,189.639999,190.889999
2023-05-01,190.449997,192.330002,190.279999,191.679993
