,Open,High,Low,Close
2023-01-03,150.949997,151.710007,149.119995,151.570007
2023-01-04,151.990005,153.389999,151.229996,152.229996
2023-01-05,152.210007,152.479996,150.130005,150.339996
2023-01-06,151.850006,154.460007,151.75,153.919998
2023-01-09,153.440002,154.800003,152.0,152.039993
2023-01-10,152.100006,152.699997,150.940002,151.889999
2023-01-11,152.320007,152.559998,149.350006,150.660004
2023-01-12,151.699997,151.729996,149.520004,149.809998
2023-01-13,149.610001,151.050003,149.419998,150.880005
2023-01-17,150.789993,152.130005,150.399994,150.440002
2023-01-18,149.660004,149.929993,146.039993,146.410004
2023-01-19,143.309998,146.220001,142.240005,142.419998
2023-01-20,142.320007,143.149994,140.149994,142.970001
2023-01-23,143.360001,143.699997,140.690002,141.050003
2023-01-24,140.690002,142.380005,139.809998,141.820007
2023-01-25,140.389999,141.75,138.729996,141.720001
2023-01-26,141.729996,141.740005,140.740005,141.149994
2023-01-27,141.070007,141.360001,139.289993,140.570007
2023-01-30,140.960007,142.119995,140.279999,141.009995
2023-01-31,141.229996,142.470001,140.759995,142.380005
2023-02-01,142.080002,144.100006,141.350006,143.190002
2023-02-02,142.169998,142.710007,141.210007,142.169998
2023-02-03,142.779999,143.380005,141.169998,142.610001
2023-02-06,142.009995,142.639999,141.009995,141.399994
2023-02-07,139.970001,140.789993,138.779999,140.020004
2023-02-08,139.059998,139.539993,138.410004,138.570007
2023-02-09,138.880005,139.330002,137.0,137.050003
2023-02-10,136.949997,138.300003,135.830002,138.259995
2023-02-13,138.940002,140.449997,138.740005,140.070007
2023-02-14,140.139999,140.240005,138.619995,139.279999
2023-02-15,139.110001,139.320007,138.070007,138.960007
2023-02-16,137.389999,138.199997,136.550003,137.139999
2023-02-17,136.589996,140.039993,136.589996,140.009995
2023-02-21,138.869995,140.889999,138.869995,139.910004
2023-02-22,139.979996,141.580002,139.880005,140.5
2023-02-23,140.229996,141.139999,139.100006,140.050003
2023-02-24,138.929993,139.429993,138.080002,139.259995
2023-02-27,139.610001,140.470001,138.529999,139.139999
2023-02-28,138.449997,138.589996,137.279999,137.559998
2023-03-01,138.050003,138.330002,136.509995,137.660004
2023-03-02,138.0,140.429993,137.779999,139.929993
2023-03-03,141.190002,141.240005,139.970001,140.949997
2023-03-06,140.729996,141.139999,139.940002,140.350006
2023-03-07,140.429993,140.619995,137.339996,137.559998
2023-03-08,137.199997,137.690002,136.600006,137.580002
2023-03-09,138.149994,138.559998,136.100006,136.570007
2023-03-10,136.949997,137.990005,136.350006,137.190002
2023-03-13,137.039993,141.320007,137.039993,138.139999
2023-03-14,138.289993,140.110001,137.399994,139.850006
2023-03-15,138.809998,142.149994,138.809998,141.830002
2023-03-16,141.940002,143.119995,141.610001,142.889999
2023-03-17,142.5,143.389999,141.529999,142.929993
2023-03-20,143.5,145.399994,143.229996,145.130005
2023-03-21,144.910004,145.229996,142.839996,144.080002
2023-03-22,144.039993,145.75,143.830002,143.990005
2023-03-23,144.240005,145.119995,143.190002,143.789993
2023-03-24,144.300003,146.759995,144.300003,146.720001
2023-03-27,146.889999,147.419998,145.869995,145.949997
2023-03-28,146.550003,146.820007,145.800003,146.360001
2023-03-29,147.080002,147.289993,146.259995,146.809998
2023-03-30,146.919998,147.539993,146.300003,147.449997
2023-03-31,147.740005,148.690002,147.570007,148.690002
2023-04-03,148.429993,150.070007,147.089996,149.509995
2023-04-04,150.080002,151.710007,150.080002,150.229996
2023-04-05,151.330002,152.350006,151.149994,151.259995
2023-04-06,151.869995,152.960007,151.419998,152.220001
2023-04-10,151.649994,151.669998,149.509995,150.960007
2023-04-11,151.259995,151.440002,150.520004,150.660004
2023-04-12,150.309998,152.410004,149.929993,151.070007
2023-04-13,150.899994,151.869995,149.820007,151.770004
2023-04-14,151.350006,151.589996,150.509995,151.0
2023-04-17,151.169998,151.470001,150.339996,151.050003
2023-04-18,150.979996,151.589996,150.100006,151.210007
2023-04-19,151.169998,151.899994,150.710007,151.240005
2023-04-20,150.369995,151.360001,150.369995,150.850006
2023-04-21,154.940002,158.110001,154.5,156.070007
2023-04-24,155.220001,157.25,155.220001,156.350006
2023-04-25,156.509995,157.940002,155.789993,156.389999
2023-04-26,155.300003,156.0,154.339996,154.580002
2023-04-27,155.300003,156.610001,155.009995,156.470001
2023-04-28,156.279999,157.369995,155.759995,156.380005
2023-05-01,156.029999,157.399994,155.800003,156.570007
2023-05-02,156.589996,156.929993,155.669998,156.429993
2023-05-03,156.639999,157.570007,155.429993,156.229996
2023-05-04,156.100006,156.600006,155.089996,155.509995
2023-05-05,155.399994,156.309998,154.690002,156.029999
2023-05-08,155.350006,155.729996,154.869995,155.300003
2023-05-09,155.850006,155.979996,153.580002,153.710007
2023-05-10,153.449997,154.320007,152.440002,154.029999
2023-05-11,154.809998,154.889999,153.389999,154.389999
2023-05-12,154.699997,156.050003,154.389999,155.960007
2023-05-15,156.610001,156.75,154.639999,156.009995
2023-05-16,155.869995,156.919998,154.929993,155.740005
2023-05-17,156.259995,156.559998,153.899994,155.080002
2023-05-18,153.309998,153.649994,151.600006,152.529999
2023-05-19,152.470001,153.320007,151.839996,153.169998
2023-05-22,152.5,152.600006,148.830002,149.160004
2023-05-23,148.789993,148.880005,147.070007,147.550003
2023-05-24,147.589996,148.199997,146.089996,146.330002
2023-05-25,145.490005,146.210007,144.350006,145.389999
2023-05-26,145.330002,146.009995,144.729996,145.399994
2023-05-30,143.860001,144.039993,142.350006,143.179993
2023-05-31,143.160004,143.979996,141.899994,142.5
2023-06-01,143.25,144.119995,142.449997,143.960007
2023-06-02,144.509995,146.679993,144.389999,146.520004
2023-06-05,146.050003,147.850006,145.729996,145.940002
2023-06-06,146.070007,146.309998,143.550003,144.490005
2023-06-07,144.009995,145.119995,143.470001,144.800003
2023-06-08,145.339996,146.649994,144.919998,146.440002
2023-06-09,145.679993,146.779999,144.729996,146.559998
2023-06-12,147.0,147.009995,144.550003,145.410004
2023-06-13,144.509995,145.679993,144.279999,145.059998
2023-06-14,145.309998,146.889999,144.830002,146.419998
2023-06-15,147.169998,148.970001,146.539993,148.449997
2023-06-16,148.919998,150.089996,148.899994,149.539993
2023-06-20,149.75,150.279999,148.110001,148.160004
2023-06-21,148.259995,149.600006,147.869995,149.440002
2023-06-22,150.350006,151.100006,149.479996,149.949997
2023-06-23,150.25,150.529999,147.960007,148.460007
2023-06-26,148.100006,148.970001,146.720001,148.610001
2023-06-27,148.440002,150.169998,148.389999,150.020004
2023-06-28,149.330002,150.300003,147.960007,149.990005
2023-06-29,148.479996,149.699997,147.100006,149.380005
2023-06-30,149.830002,152.070007,149.789993,151.740005
2023-07-03,151.479996,152.529999,150.470001,152.5
2023-07-05,151.630005,152.460007,151.440002,152.240005
2023-07-06,151.199997,152.190002,150.759995,151.990005
2023-07-07,151.710007,151.919998,148.75,148.800003
2023-07-10,148.940002,150.320007,148.740005,148.860001
2023-07-11,148.729996,149.050003,146.960007,148.080002
2023-07-12,148.029999,149.399994,147.639999,148.850006
2023-07-13,149.0,149.520004,148.199997,148.949997
2023-07-14,149.270004,150.630005,148.729996,150.050003
2023-07-17,149.649994,150.160004,148.970001,148.990005
2023-07-18,148.639999,150.479996,148.380005,149.270004
2023-07-19,149.550003,150.820007,148.860001,150.289993
2023-07-20,149.550003,150.75,148.139999,150.559998
2023-07-21,151.149994,153.669998,150.699997,152.929993
2023-07-24,152.839996,153.949997,152.300003,153.419998
2023-07-25,153.479996,153.860001,152.449997,153.779999
2023-07-26,153.119995,154.839996,152.889999,153.940002
2023-07-27,154.160004,154.600006,151.919998,152.110001
2023-07-28,154.660004,157.479996,154.600006,156.410004
