,Open,High,Low,Close
2023-01-03,129.679993,129.990005,127.739998,128.679993
2023-01-04,128.979996,129.190002,127.580002,128.25
2023-01-05,127.739998,128.029999,125.059998,125.519997
2023-01-06,126.349998,129.080002,126.349998,128.360001
2023-01-09,128.990005,129.669998,127.309998,127.730003
2023-01-10,125.540001,125.93,123.199997,125.169998
2023-01-11,126.370003,126.970001,125.199997,126.919998
2023-01-12,127.059998,127.059998,122.93,123.269997
2023-01-13,122.919998,124.970001,122.5,124.889999
2023-01-17,125.599998,126.480003,124.800003,125.68
2023-01-18,125.730003,126.699997,122.120003,122.129997
2023-01-19,121.790001,122.830002,121.480003,121.620003
2023-01-20,121.419998,123.269997,120.580002,123.150002
2023-01-23,123.339996,124.019997,122.309998,123.32
2023-01-24,123.510002,124.25,122.199997,123.209999
2023-01-25,122.519997,124.300003,122.230003,124.279999
2023-01-26,124.779999,124.910004,123.07,123.870003
2023-01-27,123.629997,124.040001,122.519997,123.849998
2023-01-30,123.830002,125.5,123.809998,124.120003
2023-01-31,124.330002,124.849998,123.389999,124.82
2023-02-01,123.440002,126.029999,122.010002,124.790001
2023-02-02,124.57,124.57,122.389999,122.540001
2023-02-03,122.389999,123.400002,121.169998,123.080002
2023-02-06,122.870003,124.199997,122.440002,123.889999
2023-02-07,122.800003,124.449997,122.510002,124.290001
2023-02-08,123.870003,124.82,123.620003,124.419998
2023-02-09,124.779999,126.040001,124.669998,125.440002
2023-02-10,125.68,127.519997,125.529999,127.360001
2023-02-13,127.68,128.259995,125.75,126.040001
2023-02-14,125.800003,126.5,124.519997,124.860001
2023-02-15,124.5,126.220001,124.269997,125.809998
2023-02-16,128.289993,131.25,126.800003,129.990005
2023-02-17,130.279999,132.600006,130.220001,131.960007
2023-02-21,131.880005,132.429993,129.259995,130.320007
2023-02-22,130.970001,131.389999,129.149994,129.240005
2023-02-23,129.130005,129.419998,127.910004,128.720001
2023-02-24,128.949997,129.869995,128.410004,129.610001
2023-02-27,130.139999,131.520004,128.860001,129.25
2023-02-28,129.320007,130.220001,128.630005,128.929993
2023-03-01,129.149994,129.220001,127.910004,128.619995
2023-03-02,128.559998,129.199997,128.179993,129.130005
2023-03-03,129.039993,129.529999,127.629997,128.940002
2023-03-06,129.0,130.039993,128.410004,129.429993
2023-03-07,129.080002,129.860001,127.5,127.599998
2023-03-08,127.57,128.130005,126.989998,127.980003
2023-03-09,128.679993,130.0,127.870003,128.320007
2023-03-10,128.570007,129.360001,126.989998,127.050003
2023-03-13,126.709999,129.990005,126.580002,128.399994
2023-03-14,129.5,132.520004,129.380005,132.029999
2023-03-15,131.360001,133.380005,130.529999,132.800003
2023-03-16,132.470001,135.0,132.389999,133.570007
2023-03-17,133.679993,133.679993,130.460007,130.729996
2023-03-20,131.130005,133.070007,130.899994,131.770004
2023-03-21,132.210007,132.710007,130.130005,130.610001
2023-03-22,130.520004,131.199997,129.389999,129.470001
2023-03-23,129.289993,129.860001,127.690002,127.959999
2023-03-24,128.0,131.190002,127.940002,130.919998
2023-03-27,131.75,133.139999,130.339996,130.490005
2023-03-28,130.479996,131.949997,130.339996,131.309998
2023-03-29,132.0,133.100006,131.5,132.960007
2023-03-30,134.240005,134.919998,133.429993,134.850006
2023-03-31,135.0,135.850006,134.639999,135.220001
2023-04-03,135.130005,136.720001,134.699997,136.130005
2023-04-04,136.139999,136.679993,135.210007,136.119995
2023-04-05,136.850006,137.529999,134.759995,135.229996
2023-04-06,135.449997,136.089996,134.789993,135.699997
2023-04-10,135.009995,135.429993,134.289993,134.949997
2023-04-11,134.539993,135.860001,133.809998,135.059998
2023-04-12,135.410004,137.539993,135.240005,136.979996
2023-04-13,136.589996,138.380005,136.429993,138.089996
2023-04-14,137.279999,138.029999,137.050003,137.369995
2023-04-17,138.070007,138.789993,137.520004,138.669998
2023-04-18,138.800003,139.179993,137.449997,137.639999
2023-04-19,138.0,138.320007,137.380005,137.539993
2023-04-20,137.809998,138.360001,137.020004,138.330002
2023-04-21,138.639999,139.070007,138.350006,138.610001
2023-04-24,138.669998,139.100006,137.910004,139.100006
2023-04-25,139.309998,139.990005,138.580002,138.880005
2023-04-26,137.660004,138.520004,137.089996,137.25
2023-04-27,137.339996,138.220001,135.330002,137.690002
2023-04-28,139.979996,144.929993,138.729996,144.619995
2023-05-01,144.720001,145.720001,144.399994,144.979996
2023-05-02,145.160004,145.970001,143.690002,144.960007
2023-05-03,145.429993,146.779999,145.190002,146.029999
2023-05-04,146.0,146.979996,145.470001,145.809998
2023-05-05,144.919998,146.809998,144.889999,145.860001
2023-05-08,145.429993,147.059998,145.350006,145.839996
2023-05-09,146.509995,147.399994,146.020004,146.990005
2023-05-10,147.589996,148.630005,147.179993,148.089996
2023-05-11,147.850006,148.360001,147.039993,148.119995
2023-05-12,148.600006,149.300003,147.690002,148.190002
2023-05-15,148.119995,148.800003,147.089996,147.809998
2023-05-16,147.850006,147.850006,146.330002,146.740005
2023-05-17,147.080002,147.350006,144.580002,145.539993
2023-05-18,144.929993,145.0,143.429993,144.710007
2023-05-19,145.020004,145.509995,144.580002,145.089996
2023-05-22,144.839996,145.270004,143.350006,143.960007
2023-05-23,143.360001,143.820007,142.350006,142.699997
2023-05-24,142.949997,143.779999,142.289993,142.479996
2023-05-25,142.190002,142.389999,140.699997,141.710007
2023-05-26,142.029999,142.479996,140.830002,141.080002
2023-05-30,141.070007,142.309998,140.070007,142.0
2023-05-31,142.289993,142.889999,140.970001,141.630005
2023-06-01,142.020004,142.740005,141.369995,142.729996
2023-06-02,142.759995,144.669998,142.759995,144.5
2023-06-05,144.529999,145.570007,143.679993,143.740005
2023-06-06,144.380005,144.809998,142.820007,143.320007
2023-06-07,142.5,142.850006,141.229996,141.850006
2023-06-08,141.850006,143.710007,141.429993,143.440002
2023-06-09,142.889999,143.679993,142.059998,143.300003
2023-06-12,143.669998,144.0,142.389999,143.770004
2023-06-13,143.220001,143.619995,142.449997,143.100006
2023-06-14,142.929993,144.350006,142.050003,143.559998
2023-06-15,143.759995,145.089996,143.300003,144.550003
2023-06-16,145.389999,146.300003,145.240005,145.729996
2023-06-20,145.429993,146.619995,145.240005,145.869995
2023-06-21,145.830002,146.690002,144.630005,146.360001
2023-06-22,146.360001,147.649994,145.929993,147.619995
2023-06-23,147.589996,148.160004,146.059998,146.529999
2023-06-26,146.320007,148.009995,145.309998,147.770004
2023-06-27,148.039993,150.210007,147.509995,150.190002
2023-06-28,150.169998,150.520004,148.389999,148.809998
2023-06-29,148.449997,151.589996,148.0,151.440002
2023-06-30,151.130005,153.389999,150.740005,153.169998
2023-07-03,152.169998,152.169998,150.809998,151.399994
2023-07-05,150.800003,151.410004,150.259995,151.149994
2023-07-06,150.570007,151.910004,149.880005,151.429993
2023-07-07,150.470001,151.389999,150.100006,150.330002
2023-07-10,150.639999,152.139999,150.130005,150.889999
2023-07-11,150.869995,151.410004,148.059998,149.850006
2023-07-12,150.990005,151.149994,148.929993,149.179993
2023-07-13,149.100006,149.919998,148.490005,149.600006
2023-07-14,149.580002,150.039993,148.809998,149.979996
2023-07-17,149.880005,151.389999,149.880005,150.139999
2023-07-18,149.820007,150.570007,148.429993,149.059998
2023-07-19,149.5,149.809998,148.679993,149.470001
2023-07-20,150.0,154.600006,149.759995,154.520004
2023-07-21,154.589996,155.940002,154.520004,154.949997
2023-07-24,154.720001,154.919998,153.529999,154.300003
2023-07-25,153.639999,154.809998,152.669998,153.949997
2023-07-26,152.190002,154.279999,151.690002,152.869995
2023-07-27,153.110001,153.580002,149.580002,151.600006
2023-07-28,152.550003,153.059998,151.039993,151.5
2023-07-31,151.199997,151.220001,149.970001,151.110001
2023-08-01,153.449997,156.649994,151.639999,152.089996
2023-08-02,152.300003,153.509995,151.880005,152.570007
2023-08-03,151.929993,152.5,148.990005,149.119995
2023-08-04,149.119995,149.929993,148.210007,148.529999
