,Open,High,Low,Close
2023-01-03,118.470001,118.800003,104.639999,108.099998
2023-01-04,109.110001,114.589996,107.519997,113.639999
2023-01-05,110.510002,111.75,107.160004,110.339996
2023-01-06,103.0,114.389999,101.809998,113.059998
2023-01-09,118.959999,123.519997,117.110001,119.769997
2023-01-10,121.07,122.760002,114.919998,118.849998
2023-01-11,122.089996,125.949997,120.510002,123.220001
2023-01-12,122.559998,124.129997,117.0,123.559998
2023-01-13,116.550003,122.629997,115.599998,122.400002
2023-01-17,125.699997,131.699997,125.019997,131.490005
2023-01-18,136.559998,136.679993,127.010002,128.779999
2023-01-19,127.260002,129.990005,124.309998,127.169998
2023-01-20,128.679993,133.509995,127.349998,133.419998
2023-01-23,135.869995,145.380005,134.270004,143.75
2023-01-24,143.0,146.5,141.100006,143.889999
2023-01-25,141.910004,146.410004,138.070007,144.429993
2023-01-26,159.970001,161.419998,154.759995,160.270004
2023-01-27,162.429993,180.679993,161.169998,177.899994
2023-01-30,178.050003,179.770004,166.5,166.660004
2023-01-31,164.570007,174.300003,162.779999,173.220001
2023-02-01,173.889999,183.809998,169.929993,181.410004
2023-02-02,187.330002,196.75,182.610001,188.270004
2023-02-03,183.949997,199.0,183.690002,189.979996
2023-02-06,193.009995,198.169998,189.919998,194.759995
2023-02-07,196.429993,197.5,189.550003,196.809998
2023-02-08,196.100006,203.0,194.309998,201.289993
2023-02-09,207.779999,214.0,204.770004,207.320007
2023-02-10,202.229996,206.199997,192.889999,196.889999
2023-02-13,194.419998,196.300003,187.610001,194.639999
2023-02-14,191.940002,209.820007,189.440002,209.25
2023-02-15,211.759995,214.660004,206.110001,214.240005
2023-02-16,210.779999,217.649994,201.839996,202.039993
2023-02-17,199.990005,208.440002,197.5,208.309998
2023-02-21,204.990005,209.710007,197.220001,197.369995
2023-02-22,197.929993,201.990005,191.779999,200.860001
2023-02-23,203.910004,205.139999,196.330002,202.070007
2023-02-24,196.330002,197.669998,192.800003,196.880005
2023-02-27,202.029999,209.419998,201.259995,207.630005
2023-02-28,210.589996,211.229996,203.75,205.710007
2023-03-01,206.210007,207.199997,198.520004,202.770004
2023-03-02,186.740005,193.75,186.009995,190.899994
2023-03-03,194.800003,200.479996,192.880005,197.789993
2023-03-06,198.539993,198.600006,192.300003,193.809998
2023-03-07,191.380005,194.199997,186.100006,187.710007
2023-03-08,185.039993,186.5,180.0,182.0
2023-03-09,180.25,185.179993,172.509995,172.919998
2023-03-10,175.130005,178.289993,168.440002,173.440002
2023-03-13,167.460007,177.350006,163.910004,174.479996
2023-03-14,177.309998,183.800003,177.139999,183.259995
2023-03-15,180.800003,182.339996,176.029999,180.449997
2023-03-16,180.369995,185.809998,178.839996,184.130005
2023-03-17,184.520004,186.220001,177.330002,180.130005
2023-03-20,178.080002,186.440002,176.350006,183.25
2023-03-21,188.279999,198.0,188.039993,197.580002
2023-03-22,199.300003,200.660004,190.949997,191.149994
2023-03-23,195.259995,199.309998,188.649994,192.220001
2023-03-24,191.649994,192.360001,187.149994,190.410004
2023-03-27,194.419998,197.389999,189.940002,191.809998
2023-03-28,192.0,192.350006,185.429993,189.190002
2023-03-29,193.130005,195.289993,189.440002,193.880005
2023-03-30,195.580002,197.330002,194.419998,195.279999
2023-03-31,197.529999,207.789993,197.199997,207.460007
2023-04-03,199.910004,202.690002,192.199997,194.770004
2023-04-04,197.320007,198.740005,190.320007,192.580002
2023-04-05,190.520004,190.679993,183.759995,185.520004
2023-04-06,183.080002,186.389999,179.740005,185.059998
2023-04-10,179.940002,185.100006,176.110001,184.509995
2023-04-11,186.690002,189.190002,185.649994,186.789993
2023-04-12,190.740005,191.580002,180.309998,180.539993
2023-04-13,182.960007,186.5,180.940002,185.899994
2023-04-14,183.949997,186.279999,182.009995,185.0
2023-04-17,186.320007,189.690002,182.690002,187.039993
2023-04-18,187.149994,187.690002,183.580002,184.309998
2023-04-19,179.100006,183.5,177.649994,180.589996
2023-04-20,166.169998,169.699997,160.559998,162.990005
2023-04-21,164.800003,166.0,161.320007,165.080002
2023-04-24,164.649994,165.649994,158.610001,162.550003
2023-04-25,159.820007,163.470001,158.75,160.669998
2023-04-26,160.289993,160.669998,153.139999,153.75
2023-04-27,152.639999,160.479996,152.369995,160.190002
2023-04-28,160.899994,165.0,157.320007,164.309998
2023-05-01,163.169998,163.279999,158.830002,161.830002
2023-05-02,161.880005,165.490005,158.929993,160.309998
2023-05-03,160.009995,165.0,159.910004,160.610001
2023-05-04,162.710007,162.949997,159.649994,161.199997
2023-05-05,163.970001,170.789993,163.509995,170.059998
2023-05-08,173.720001,173.800003,169.190002,171.789993
2023-05-09,168.949997,169.820007,166.559998,169.149994
2023-05-10,172.550003,174.429993,166.679993,168.539993
2023-05-11,168.699997,173.570007,166.789993,172.080002
2023-05-12,176.070007,177.380005,167.229996,167.979996
2023-05-15,167.660004,169.759995,164.550003,166.350006
2023-05-16,165.649994,169.520004,164.350006,166.520004
2023-05-17,168.410004,174.5,167.190002,173.860001
2023-05-18,174.220001,177.059998,172.449997,176.889999
2023-05-19,177.169998,181.949997,176.309998,180.139999
2023-05-22,180.699997,189.320007,180.110001,188.869995
2023-05-23,186.199997,192.960007,185.259995,185.770004
2023-05-24,182.229996,184.220001,178.220001,182.899994
2023-05-25,186.539993,186.779999,180.580002,184.470001
2023-05-26,184.619995,198.600006,184.529999,193.169998
2023-05-30,200.100006,204.479996,197.529999,201.160004
2023-05-31,199.779999,203.949997,195.119995,203.929993
2023-06-01,202.589996,209.800003,199.369995,207.520004
2023-06-02,210.149994,217.25,209.75,213.970001
2023-06-05,217.800003,221.289993,214.520004,217.610001
2023-06-06,216.139999,221.910004,212.529999,221.309998
2023-06-07,228.0,230.830002,223.199997,224.570007
2023-06-08,224.220001,235.229996,223.009995,234.860001
2023-06-09,249.070007,252.419998,242.020004,244.399994
2023-06-12,247.940002,250.970001,244.589996,249.830002
2023-06-13,253.509995,259.679993,251.339996,258.709991
2023-06-14,260.170013,261.570007,250.5,256.790009
2023-06-15,248.399994,258.950012,247.289993,255.899994
2023-06-16,258.920013,263.600006,257.209991,260.540009
2023-06-20,261.5,274.75,261.119995,274.450012
2023-06-21,275.130005,276.98999,257.779999,259.459991
2023-06-22,250.770004,265.0,248.25,264.609985
2023-06-23,259.290009,262.450012,252.800003,256.600006
2023-06-26,250.070007,258.369995,240.699997,241.050003
2023-06-27,243.240005,250.389999,240.850006,250.210007
2023-06-28,249.699997,259.880005,248.889999,256.23999
2023-06-29,258.029999,260.73999,253.610001,257.5
2023-06-30,260.600006,264.450012,259.890015,261.769989
2023-07-03,276.48999,284.25,275.109985,279.820007
2023-07-05,278.820007,283.850006,277.600006,282.480011
2023-07-06,278.089996,279.970001,272.880005,276.540009
2023-07-07,278.429993,280.779999,273.769989,274.429993
2023-07-10,276.470001,277.519989,265.100006,269.609985
2023-07-11,268.649994,270.899994,266.369995,269.790009
2023-07-12,276.329987,276.519989,271.459991,271.98999
2023-07-13,274.589996,279.450012,270.600006,277.899994
2023-07-14,277.01001,285.299988,276.309998,281.380005
2023-07-17,286.630005,292.230011,283.570007,290.380005
2023-07-18,290.149994,295.26001,286.01001,293.339996
2023-07-19,296.040009,299.290009,289.519989,291.26001
2023-07-20,279.559998,280.929993,261.200012,262.899994
2023-07-21,268.0,268.0,255.800003,260.019989
2023-07-24,255.850006,269.850006,254.119995,269.059998
2023-07-25,272.380005,272.899994,265.0,265.279999
2023-07-26,263.25,268.040009,261.75,264.350006
2023-07-27,268.309998,269.130005,255.300003,255.710007
2023-07-28,259.859985,267.25,258.230011,266.440002
2023-07-31,267.480011,269.079987,263.779999,267.429993
2023-08-01,266.26001,266.470001,260.25,261.070007
2023-08-02,255.570007,259.519989,250.490005,254.110001
2023-08-03,252.039993,260.48999,252.0,259.320007
2023-08-04,260.970001,264.769989,253.110001,253.860001
2023-08-07,251.449997,253.649994,242.759995,251.449997
2023-08-08,247.449997,250.919998,245.009995,249.699997
2023-08-09,250.869995,251.100006,241.899994,242.190002
2023-08-10,245.399994,251.800003,243.0,245.339996
2023-08-11,241.770004,243.789993,238.020004,242.649994
2023-08-14,235.699997,240.660004,233.75,239.759995
2023-08-15,238.729996,240.5,232.610001,232.960007
2023-08-16,228.020004,233.970001,225.380005,225.600006
2023-08-17,226.059998,226.740005,218.830002,219.220001
2023-08-18,214.119995,217.580002,212.360001,215.490005
2023-08-21,221.550003,232.130005,220.580002,231.279999
2023-08-22,240.25,240.820007,229.550003,233.190002
2023-08-23,229.339996,238.979996,229.289993,236.860001
2023-08-24,238.660004,238.919998,228.179993,230.039993
2023-08-25,231.309998,239.0,230.350006,238.589996
2023-08-28,242.580002,244.380005,235.350006,238.820007
2023-08-29,238.580002,257.480011,237.770004,257.179993
2023-08-30,254.199997,260.51001,250.589996,256.899994
2023-08-31,255.979996,261.179993,255.050003,258.079987
2023-09-01,257.26001,259.079987,242.009995,245.009995
2023-09-05,245.0,258.0,244.860001,256.48999
2023-09-06,255.139999,255.389999,245.059998,251.919998
2023-09-07,245.070007,252.809998,243.270004,251.490005
