,Open,High,Low,Close
2023-01-03,157.410004,157.509995,155.350006,157.029999
2023-01-04,157.169998,157.600006,155.850006,156.910004
2023-01-05,156.070007,156.479996,153.559998,153.880005
2023-01-06,155.580002,159.869995,155.300003,159.490005
2023-01-09,161.119995,161.720001,157.979996,158.240005
2023-01-10,155.110001,155.800003,151.740005,154.910004
2023-01-11,156.740005,157.740005,155.279999,156.990005
2023-01-12,156.979996,157.419998,152.130005,152.679993
2023-01-13,152.190002,154.309998,151.800003,154.190002
2023-01-17,154.759995,155.490005,154.149994,154.369995
2023-01-18,154.360001,155.149994,150.559998,150.899994
2023-01-19,151.0,151.770004,150.25,150.490005
2023-01-20,150.729996,152.360001,149.119995,152.059998
2023-01-23,152.800003,153.169998,151.130005,152.669998
2023-01-24,152.830002,153.039993,151.009995,152.270004
2023-01-25,151.619995,153.25,151.139999,153.110001
2023-01-26,153.429993,153.559998,152.240005,152.5
2023-01-27,152.009995,153.029999,151.259995,152.610001
2023-01-30,152.699997,155.0,152.699997,153.100006
2023-01-31,153.339996,154.729996,152.559998,154.729996
2023-02-01,150.100006,155.660004,148.550003,154.410004
2023-02-02,153.289993,153.309998,149.0,150.339996
2023-02-03,150.970001,152.089996,149.679993,151.059998
2023-02-06,150.509995,152.210007,150.110001,151.820007
2023-02-07,151.190002,151.800003,149.5,151.330002
2023-02-08,150.949997,151.860001,150.550003,150.860001
2023-02-09,151.970001,152.809998,150.949997,152.279999
2023-02-10,152.529999,154.389999,152.050003,154.070007
2023-02-13,154.520004,155.020004,152.009995,152.779999
2023-02-14,152.539993,152.539993,150.679993,151.339996
2023-02-15,150.869995,152.460007,150.869995,152.139999
2023-02-16,151.610001,153.740005,150.589996,152.270004
2023-02-17,152.509995,155.169998,152.089996,154.919998
2023-02-21,154.690002,155.490005,152.130005,152.539993
2023-02-22,153.229996,153.589996,151.800003,152.149994
2023-02-23,152.169998,152.350006,149.979996,150.979996
2023-02-24,150.190002,151.639999,150.039993,151.309998
2023-02-27,152.059998,152.960007,150.509995,151.070007
2023-02-28,150.729996,151.050003,149.5,149.759995
2023-03-01,149.440002,150.490005,148.309998,148.830002
2023-03-02,148.960007,150.309998,148.820007,150.0
2023-03-03,150.860001,150.860001,148.789993,150.080002
2023-03-06,149.960007,151.009995,149.520004,150.770004
2023-03-07,151.380005,151.75,148.479996,149.399994
2023-03-08,149.289993,149.979996,148.5,149.899994
2023-03-09,150.0,152.979996,150.0,150.619995
2023-03-10,150.910004,152.539993,148.830002,149.330002
2023-03-13,148.889999,153.710007,148.639999,151.240005
2023-03-14,151.199997,154.979996,151.130005,154.360001
2023-03-15,153.630005,155.190002,152.419998,155.059998
2023-03-16,155.059998,156.619995,154.779999,155.610001
2023-03-17,156.050003,156.289993,152.699997,153.149994
2023-03-20,153.690002,156.119995,153.690002,154.869995
2023-03-21,155.710007,155.869995,153.910004,154.509995
