Date,Score
"Nov 29, 2023",0.9468
"Nov 28, 2023",0.9856
"Nov 26, 2023",0.9821
"Nov 26, 2023",0.9319
"Nov 26, 2023",0.2822
"Nov 23, 2023",0.965
"Nov 21, 2023",0.8945
"Nov 21, 2023",0.9845
"Nov 21, 2023",0.981
"Nov 17, 2023",-0.9888
"Nov 16, 2023",0.9702
"Nov 15, 2023",0.9901
"Nov 15, 2023",0.8531
"Nov 15, 2023",0.9689
"Nov 14, 2023",0.8689
"Nov 13, 2023",0.9791
"Nov 13, 2023",0.9893
"Nov 10, 2023",0.9849
"Nov 10, 2023",-0.9645
"Nov 09, 2023",-0.9935
"Nov 08, 2023",0.8357
"Nov 08, 2023",0.9891
"Nov 05, 2023",0.9093
"Nov 03, 2023",0.9936
"Nov 02, 2023",0.9748
"Nov 01, 2023",0.1027
"Oct 31, 2023",0.9888
"Oct 31, 2023",0.9715
"Oct 31, 2023",0.9913
"Oct 31, 2023",0.9947
"Oct 30, 2023",0.9779
"Oct 30, 2023",0.8945
"Oct 26, 2023",0.9477
"Oct 20, 2023",0.1868
"Oct 17, 2023",0.9867
"Oct 16, 2023",0.9792
"Oct 16, 2023",0.9231
"Oct 16, 2023",0.926
"Oct 13, 2023",0.6486
"Oct 13, 2023",0.9712
"Oct 12, 2023",0.9886
"Oct 12, 2023",0.8679
"Oct 11, 2023",0.5267
"Oct 11, 2023",0.6952
"Oct 11, 2023",0.9882
"Oct 11, 2023",0.9957
"Oct 11, 2023",0.6954
"Oct 11, 2023",0.9936
"Oct 10, 2023",0.8934
"Oct 09, 2023",0.91
"Oct 09, 2023",0.9493
"Oct 09, 2023",0.9168
"Oct 06, 2023",0.9958
"Oct 05, 2023",0.9298
"Oct 05, 2023",0.0
"Oct 05, 2023",0.0
"Oct 04, 2023",0.991
"Oct 03, 2023",-0.7485
"Oct 03, 2023",0.7506
"Oct 02, 2023",0.9144
"Sep 29, 2023",0.0
"Sep 29, 2023",0.0
"Sep 28, 2023",-0.7003
"Sep 27, 2023",-0.6901
"Sep 27, 2023",0.0
"Sep 27, 2023",0.0
"Sep 27, 2023",-0.2732
"Sep 27, 2023",0.9612
"Sep 27, 2023",0.0
"Sep 27, 2023",0.0
"Sep 27, 2023",0.6597
"Sep 26, 2023",0.0
"Sep 26, 2023",0.0
"Sep 26, 2023",0.0
"Sep 26, 2023",0.0
"Sep 26, 2023",0.0
"Sep 25, 2023",0.0
"Sep 25, 2023",0.0
"Sep 25, 2023",0.0
"Sep 24, 2023",0.9349
"Sep 23, 2023",0.1779
"Sep 21, 2023",0.8885
"Sep 21, 2023",0.984
"Sep 21, 2023",0.9847
"Sep 21, 2023",0.9844
"Sep 20, 2023",-0.3586
"Sep 20, 2023",0.0
"Sep 20, 2023",0.0
"Sep 19, 2023",-0.6059
"Sep 19, 2023",0.9738
"Sep 18, 2023",-0.8481
"Sep 17, 2023",0.9136
"Sep 15, 2023",0.9941
"Sep 15, 2023",0.9133
"Sep 14, 2023",0.9897
"Sep 14, 2023",0.992
"Sep 14, 2023",0.9883
"Sep 13, 2023",0.9883
"Sep 13, 2023",0.0
"Sep 13, 2023",0.9843
"Sep 12, 2023",0.9825
"Sep 12, 2023",0.0
"Sep 12, 2023",0.9906
"Sep 11, 2023",0.6542
"Sep 09, 2023",0.875
"Sep 08, 2023",0.967
"Sep 08, 2023",0.0685
"Sep 08, 2023",0.993
"Sep 08, 2023",-0.765
"Sep 07, 2023",0.9668
"Sep 07, 2023",0.9853
"Sep 07, 2023",0.0
"Sep 07, 2023",0.0
"Sep 07, 2023",0.9894
"Sep 07, 2023",0.1263
"Sep 06, 2023",-0.9777
"Sep 06, 2023",0.935
"Sep 06, 2023",0.5803
"Sep 06, 2023",0.9377
"Sep 06, 2023",0.9891
"Sep 05, 2023",0.9937
"Sep 05, 2023",0.9758
"Sep 05, 2023",0.9062
"Sep 05, 2023",0.9899
"Sep 05, 2023",0.9683
"Sep 05, 2023",0.0
"Sep 05, 2023",0.9697
"Sep 04, 2023",0.9666
"Sep 02, 2023",0.9301
"Sep 01, 2023",0.9823
"Sep 01, 2023",0.9666
"Sep 01, 2023",0.8126
"Sep 01, 2023",0.9512
"Aug 31, 2023",0.91
"Aug 31, 2023",0.0
"Aug 29, 2023",0.9694
"Aug 24, 2023",0.8941
"Aug 23, 2023",0.9921
"Aug 22, 2023",0.9758
"Aug 21, 2023",0.9904
"Aug 11, 2023",0.996
"Aug 11, 2023",0.9118
"Aug 10, 2023",0.0516
"Aug 10, 2023",-0.9657
"Aug 08, 2023",0.2606
"Aug 08, 2023",0.886
"Aug 04, 2023",0.9349
"Aug 03, 2023",-0.2732
"Aug 02, 2023",0.7584
"Aug 01, 2023",0.9816
"Jul 31, 2023",0.9958
"Jul 31, 2023",0.8402
"Jul 31, 2023",0.9914
"Jul 29, 2023",0.0
"Jul 29, 2023",0.0
"Jul 29, 2023",0.0
"Jul 29, 2023",0.0
"Jul 28, 2023",0.9408
"Jul 28, 2023",0.9847
"Jul 28, 2023",0.6757
"Jul 27, 2023",0.0
"Jul 27, 2023",0.9978
"Jul 26, 2023",0.9943
"Jul 26, 2023",0.9665
"Jul 26, 2023",0.9584
"Jul 26, 2023",-0.928
"Jul 25, 2023",0.9485
"Jul 25, 2023",0.9895
"Jul 25, 2023",0.9792
"Jul 24, 2023",0.9585
"Jul 19, 2023",-0.899
"Jul 18, 2023",0.9678
"Jul 18, 2023",0.8971
"Jul 16, 2023",0.9431
"Jul 12, 2023",0.4484
"Jul 12, 2023",-0.9565
"Jul 11, 2023",0.0
"Jul 11, 2023",0.0
"Jul 11, 2023",0.0
"Jul 10, 2023",0.9953
"Jul 07, 2023",0.9881
"Jul 07, 2023",0.9876
"Jul 06, 2023",-0.4848
"Jul 06, 2023",0.8862
"Jul 06, 2023",0.101
"Jul 06, 2023",0.9781
"Jul 05, 2023",0.9153
"Jul 05, 2023",0.9911
"Jul 04, 2023",0.9771
"Jul 03, 2023",-0.9666
"Jun 29, 2023",-0.2124
"Jun 29, 2023",-0.9976
"Jun 29, 2023",0.0
"Jun 29, 2023",0.0
"Jun 29, 2023",0.0
"Jun 27, 2023",0.9056
"Jun 27, 2023",0.0
"Jun 22, 2023",0.0
"Jun 22, 2023",0.966
"Jun 22, 2023",0.8668
"Jun 20, 2023",0.9275
"Jun 19, 2023",0.9874
"Jun 16, 2023",0.9757
"Jun 16, 2023",0.0
"Jun 16, 2023",0.0
"Jun 15, 2023",0.6505
"Jun 14, 2023",0.0
"Jun 13, 2023",0.9882
"Jun 13, 2023",-0.4944
"Jun 13, 2023",0.959
"Jun 12, 2023",0.4404
"Jun 08, 2023",0.6359
"Jun 07, 2023",0.9565
"Jun 07, 2023",0.9498
"Jun 05, 2023",-0.9183
"Jun 01, 2023",0.0
"Jun 01, 2023",0.0
"May 31, 2023",-0.5423
"May 31, 2023",0.8955
"May 31, 2023",0.9702
"May 30, 2023",0.0
"May 29, 2023",0.0
"May 26, 2023",-0.6361
"May 25, 2023",0.9882
"May 24, 2023",-0.9852
"May 24, 2023",0.9849
"May 23, 2023",0.7494
"May 23, 2023",0.886
"May 22, 2023",0.9178
"May 22, 2023",-0.0722
"May 22, 2023",0.4345
"May 22, 2023",-0.4538
"May 22, 2023",0.9189
"May 19, 2023",0.7717
"May 19, 2023",-0.4767
"May 19, 2023",0.9812
"May 18, 2023",0.9744
"May 17, 2023",0.9299
"May 16, 2023",0.9136
"May 15, 2023",-0.3131
"May 15, 2023",0.836
"May 15, 2023",0.0516
"May 11, 2023",-0.9201
"May 11, 2023",0.9711
"May 05, 2023",0.992
"May 05, 2023",-0.9337
"May 05, 2023",0.0341
"May 03, 2023",-0.3498
"May 02, 2023",0.25
"Apr 30, 2023",0.0
"Apr 30, 2023",0.0
"Apr 28, 2023",0.9337
"Apr 28, 2023",-0.3539
"Apr 28, 2023",0.0
"Apr 28, 2023",0.0
"Apr 27, 2023",0.9657
"Apr 27, 2023",0.0
"Apr 27, 2023",0.992
"Apr 27, 2023",-0.9497
"Apr 26, 2023",0.4588
"Apr 25, 2023",0.9939
"Apr 25, 2023",0.9752
"Apr 25, 2023",0.9792
"Apr 25, 2023",0.6808
"Apr 23, 2023",0.6629
"Apr 21, 2023",0.8779
"Apr 21, 2023",0.9968
"Apr 20, 2023",0.9957
"Apr 18, 2023",-0.6908
"Apr 18, 2023",-0.8641
"Apr 18, 2023",-0.8248
"Apr 18, 2023",0.9896
"Apr 18, 2023",0.9517
"Apr 18, 2023",-0.8708
"Apr 18, 2023",0.4601
"Apr 17, 2023",0.9889
"Apr 17, 2023",0.8979
"Apr 17, 2023",0.7876
"Apr 17, 2023",-0.6486
"Apr 17, 2023",0.7717
"Apr 17, 2023",0.9929
"Apr 17, 2023",0.3818
"Apr 13, 2023",0.9637
"Apr 13, 2023",0.9719
"Apr 11, 2023",-0.128
"Apr 11, 2023",0.0
"Apr 10, 2023",0.5859
"Apr 10, 2023",0.8979
"Apr 10, 2023",0.5809
"Apr 10, 2023",0.0
"Apr 10, 2023",0.0
"Apr 10, 2023",0.3182
"Apr 10, 2023",0.9186
"Apr 08, 2023",0.0
