Date,Score
2023-12-12,0.9888
2023-12-08,0.836
2023-12-08,0.7269
2023-12-06,0.9862
2023-11-29,0.9468
2023-11-28,0.9856
2023-11-26,0.9821
2023-11-26,0.9319
2023-11-26,0.2822
2023-11-23,0.965
2023-11-21,0.9845
2023-11-21,0.981
2023-11-21,0.8945
2023-11-17,-0.9888
2023-11-16,0.9702
2023-11-15,0.9901
2023-11-15,0.9689
2023-11-15,0.8531
2023-11-14,0.8689
2023-11-13,0.9893
2023-11-13,0.9791
2023-11-10,0.9849
2023-11-10,-0.9645
2023-11-09,-0.9935
2023-11-08,0.9891
2023-11-08,0.8357
2023-11-05,0.9093
2023-11-03,0.9936
2023-11-02,0.9748
2023-11-01,0.1027
2023-10-31,0.9947
2023-10-31,0.9913
2023-10-31,0.9888
2023-10-31,0.9715
2023-10-30,0.9779
2023-10-30,0.8945
2023-10-26,0.9477
2023-10-20,0.1868
2023-10-17,0.9867
2023-10-16,0.9792
2023-10-16,0.926
2023-10-16,0.9231
2023-10-13,0.9712
2023-10-13,0.6486
2023-10-12,0.9886
2023-10-12,0.8679
2023-10-11,0.9957
2023-10-11,0.9936
2023-10-11,0.9882
2023-10-11,0.6954
2023-10-11,0.6952
2023-10-11,0.5267
2023-10-10,0.8934
2023-10-09,0.9493
2023-10-09,0.9168
2023-10-09,0.91
2023-10-06,0.9958
2023-10-05,0.9298
2023-10-05,0
2023-10-05,0
2023-10-04,0.991
2023-10-03,0.7506
2023-10-03,-0.7485
2023-10-02,0.9144
2023-09-29,0
2023-09-29,0
2023-09-28,-0.7003
2023-09-27,0.9612
2023-09-27,0.6597
2023-09-27,0
2023-09-27,0
2023-09-27,0
2023-09-27,0
2023-09-27,-0.2732
2023-09-27,-0.6901
2023-09-26,0
2023-09-26,0
2023-09-26,0
2023-09-26,0
2023-09-26,0
2023-09-25,0
2023-09-25,0
2023-09-25,0
2023-09-24,0.9349
2023-09-23,0.1779
2023-09-21,0.9847
2023-09-21,0.9844
2023-09-21,0.984
2023-09-21,0.8885
2023-09-20,0
2023-09-20,0
2023-09-20,-0.3586
2023-09-19,0.9738
2023-09-19,-0.6059
2023-09-18,-0.8481
2023-09-17,0.9136
2023-09-15,0.9941
2023-09-15,0.9133
2023-09-14,0.992
2023-09-14,0.9897
2023-09-14,0.9883
2023-09-13,0.9883
2023-09-13,0.9843
2023-09-13,0
2023-09-12,0.9906
2023-09-12,0.9825
2023-09-12,0
2023-09-11,0.6542
2023-09-09,0.875
2023-09-08,0.993
2023-09-08,0.967
2023-09-08,0.0685
2023-09-08,-0.765
2023-09-07,0.9894
2023-09-07,0.9853
2023-09-07,0.9668
2023-09-07,0.1263
2023-09-07,0
2023-09-07,0
2023-09-06,0.9891
2023-09-06,0.9377
2023-09-06,0.935
2023-09-06,0.5803
2023-09-06,-0.9777
2023-09-05,0.9937
2023-09-05,0.9899
2023-09-05,0.9758
2023-09-05,0.9697
2023-09-05,0.9683
2023-09-05,0.9062
2023-09-05,0
2023-09-04,0.9666
2023-09-02,0.9301
2023-09-01,0.9823
2023-09-01,0.9666
2023-09-01,0.9512
2023-09-01,0.8126
2023-08-31,0.91
2023-08-31,0
2023-08-29,0.9694
2023-08-24,0.8941
2023-08-23,0.9921
2023-08-22,0.9758
2023-08-21,0.9904
2023-08-11,0.996
2023-08-11,0.9118
2023-08-10,0.0516
2023-08-10,-0.9657
2023-08-08,0.886
2023-08-08,0.2606
2023-08-04,0.9349
2023-08-03,-0.2732
2023-08-02,0.7584
2023-08-01,0.9816
2023-07-31,0.9958
2023-07-31,0.9914
2023-07-31,0.8402
2023-07-29,0
2023-07-29,0
2023-07-29,0
2023-07-29,0
2023-07-28,0.9847
2023-07-28,0.9408
2023-07-28,0.6757
2023-07-27,0.9978
2023-07-27,0
2023-07-26,0.9943
2023-07-26,0.9665
2023-07-26,0.9584
2023-07-26,-0.928
2023-07-25,0.9895
2023-07-25,0.9792
2023-07-25,0.9485
2023-07-24,0.9585
2023-07-19,-0.899
2023-07-18,0.9678
2023-07-18,0.8971
2023-07-16,0.9431
2023-07-12,0.4484
2023-07-12,-0.9565
2023-07-11,0
2023-07-11,0
2023-07-11,0
2023-07-10,0.9953
2023-07-07,0.9881
2023-07-07,0.9876
2023-07-06,0.9781
2023-07-06,0.8862
2023-07-06,0.101
2023-07-06,-0.4848
2023-07-05,0.9911
2023-07-05,0.9153
2023-07-04,0.9771
2023-07-03,-0.9666
2023-06-29,0
2023-06-29,0
2023-06-29,0
2023-06-29,-0.2124
2023-06-29,-0.9976
2023-06-27,0.9056
2023-06-27,0
2023-06-22,0.966
2023-06-22,0.8668
2023-06-22,0
2023-06-20,0.9275
2023-06-19,0.9874
2023-06-16,0.9757
2023-06-16,0
2023-06-16,0
2023-06-15,0.6505
2023-06-14,0
2023-06-13,0.9882
2023-06-13,0.959
2023-06-13,-0.4944
2023-06-12,0.4404
2023-06-08,0.6359
2023-06-07,0.9565
2023-06-07,0.9498
2023-06-05,-0.9183
2023-06-01,0
2023-06-01,0
2023-05-31,0.9702
2023-05-31,0.8955
2023-05-31,-0.5423
2023-05-30,0
2023-05-29,0
2023-05-26,-0.6361
2023-05-25,0.9882
2023-05-24,0.9849
2023-05-24,-0.9852
2023-05-23,0.886
2023-05-23,0.7494
2023-05-22,0.9189
2023-05-22,0.9178
2023-05-22,0.4345
2023-05-22,-0.0722
2023-05-22,-0.4538
2023-05-19,0.9812
2023-05-19,0.7717
2023-05-19,-0.4767
2023-05-18,0.9744
2023-05-17,0.9299
2023-05-16,0.9136
2023-05-15,0.836
2023-05-15,0.0516
2023-05-15,-0.3131
2023-05-11,0.9711
2023-05-11,-0.9201
2023-05-05,0.992
2023-05-05,0.0341
2023-05-05,-0.9337
2023-05-03,-0.3498
2023-05-02,0.25
2023-04-30,0
2023-04-30,0
2023-04-28,0.9337
2023-04-28,0
2023-04-28,0
2023-04-28,-0.3539
2023-04-27,0.992
2023-04-27,0.9657
2023-04-27,0
2023-04-27,-0.9497
2023-04-26,0.4588
2023-04-25,0.9939
2023-04-25,0.9792
2023-04-25,0.9752
2023-04-25,0.6808
2023-04-23,0.6629
2023-04-21,0.9968
2023-04-21,0.8779
2023-04-20,0.9957
2023-04-18,0.9896
2023-04-18,0.9517
2023-04-18,0.4601
2023-04-18,-0.6908
2023-04-18,-0.8248
2023-04-18,-0.8641
2023-04-18,-0.8708
2023-04-17,0.9929
2023-04-17,0.9889
2023-04-17,0.8979
2023-04-17,0.7876
2023-04-17,0.7717
2023-04-17,0.3818
2023-04-17,-0.6486
2023-04-13,0.9719
2023-04-13,0.9637
2023-04-11,0
2023-04-11,-0.128
2023-04-10,0.9186
2023-04-10,0.8979
2023-04-10,0.5859
2023-04-10,0.5809
2023-04-10,0.3182
2023-04-10,0
2023-04-10,0
2023-04-08,0
2023-04-07,0.9944
2023-04-07,0.9918
2023-04-04,0.996
2023-04-04,0.9879
2023-03-30,0.9886
2023-03-29,0
2023-03-29,0
2023-03-22,0.8475
2023-03-21,0.9871
2023-03-21,0
2023-03-20,0.3244
2023-03-17,0.9784
2023-03-17,0.9595
2023-03-16,0.995
2023-03-15,0.9925
2023-03-15,0.9845
2023-03-15,-0.5888
2023-03-14,0.5647
2023-03-13,0
2023-03-09,0.9965
2023-03-09,-0.957
2023-03-07,0.991
2023-02-28,0.946
2023-02-28,0
2023-02-27,0.9161
2023-02-27,0.6597
2023-02-27,-0.7506
2023-02-25,0.4588
2023-02-24,0.9986
2023-02-23,0.7227
2023-02-14,0.743
2023-02-10,0.979
2023-02-03,0.8064
2023-02-02,0.979
2023-02-01,0.9091
2023-02-01,0
