Date,Score
2023-12-14,0.9989
2023-12-14,0.9807
2023-12-14,0.6115
2023-12-14,0.9966
2023-12-14,-0.765
2023-12-14,0.9826
2023-12-14,0.9971
2023-12-14,0.872
2023-12-14,0.9851
2023-12-13,0.9839
2023-12-13,-0.1241
2023-12-13,0.8438
2023-12-12,-0.7378
2023-12-12,0.977
2023-12-12,-0.818
2023-12-12,-0.1241
2023-12-11,0.9695
2023-12-11,-0.6436
2023-12-11,0.9908
2023-12-10,-0.9891
2023-12-10,0.6705
2023-12-08,0.9989
2023-12-08,0.9225
2023-12-08,0.9954
2023-12-08,0.9719
2023-12-08,0.835
2023-12-08,0.9614
2023-12-07,-0.6593
2023-12-07,-0.9657
2023-12-07,0.7469
2023-12-07,0.8932
2023-12-06,0.9514
2023-12-06,-0.3612
2023-12-06,-0.6808
2023-12-06,0.9944
2023-12-06,0.9103
2023-12-06,0.9844
2023-12-05,0.9878
2023-12-05,-0.9246
2023-12-05,-0.9969
2023-12-05,0.9866
2023-12-05,0.9531
2023-12-05,0.9349
2023-12-05,0.839
2023-12-04,0.8746
2023-12-04,0.9917
2023-12-04,-0.9842
2023-12-04,-0.772
2023-12-04,0.6369
2023-12-03,0.9889
2023-12-02,0.9682
2023-12-01,-0.8835
2023-12-01,0.6996
2023-12-01,0.9781
2023-12-01,0.9509
2023-11-30,0.9994
2023-11-30,0.9993
2023-11-30,0.956
2023-11-30,0.9682
2023-11-30,0.9977
2023-11-29,0.9965
2023-11-29,-0.4266
2023-11-28,0.926
2023-11-27,0.9746
2023-11-27,0.128
2023-11-27,0.8644
2023-11-26,-0.7845
2023-11-25,0.5423
2023-11-24,-0.4019
2023-11-24,0.9509
2023-11-24,0.9857
2023-11-24,0.9959
2023-11-24,0.8201
2023-11-24,0.9545
2023-11-24,0.5423
2023-11-24,-0.2309
2023-11-24,0.9977
2023-11-23,0.9341
2023-11-23,0.8957
2023-11-23,0.9936
2023-11-23,0.9883
2023-11-23,0.946
2023-11-22,-0.9685
2023-11-22,0.9936
2023-11-22,0.9847
2023-11-22,0.9963
2023-11-22,0.9875
2023-11-22,0.9702
2023-11-22,0.9919
2023-11-22,0.6495
2023-11-22,0.7469
2023-11-22,0.9759
2023-11-21,0.8294
2023-11-21,-0.4215
2023-11-21,-0.7184
2023-11-21,-0.7845
2023-11-21,0.981
2023-11-20,-0.9927
2023-11-20,0.8552
2023-11-20,0.9917
2023-11-20,0.9934
2023-11-20,0.7178
2023-11-19,0.9885
2023-11-18,-0.9927
2023-11-17,0.9971
2023-11-17,0.7964
2023-11-17,0.9921
2023-11-17,0.8689
2023-11-17,0.8162
2023-11-17,0.9986
2023-11-17,0.996
2023-11-17,0.9843
2023-11-17,0.9983
2023-11-16,0.9902
2023-11-16,0.9732
2023-11-16,0.9843
2023-11-16,0.9776
2023-11-16,0.9836
2023-11-16,0.9829
2023-11-16,0.9867
2023-11-16,0.8581
2023-11-16,0.958
2023-11-16,0.9971
2023-11-16,0.9974
2023-11-16,0.9913
2023-11-15,0.9923
2023-11-15,0.9644
2023-11-15,0.9781
2023-11-15,0.9908
2023-11-15,0.993
2023-11-15,-0.743
2023-11-15,0.975
2023-11-15,0.9788
2023-11-15,0.875
2023-11-15,0.9201
2023-11-15,0.9929
2023-11-15,0.9901
2023-11-15,0.8779
2023-11-14,0.6486
2023-11-14,0.9702
2023-11-14,-0.0527
2023-11-14,0.9379
2023-11-14,0.8103
2023-11-14,0.9081
2023-11-14,0.9186
2023-11-14,0.9811
2023-11-14,0.9081
2023-11-14,0.9735
2023-11-14,0.8689
2023-11-14,0.8999
2023-11-13,0.6449
2023-11-13,0.9774
2023-11-13,0.9838
2023-11-13,0.9526
2023-11-13,0.9945
2023-11-13,0.9948
2023-11-13,0.9922
2023-11-10,0.4007
2023-11-10,0.9961
2023-11-10,0.9816
2023-11-10,0.9949
2023-11-10,0.9972
2023-11-10,-0.9645
2023-11-10,0.9563
2023-11-10,0.9869
2023-11-10,-0.1969
2023-11-09,0.7964
2023-11-09,0.7684
2023-11-09,0.9646
2023-11-09,0.9809
2023-11-09,0.8844
2023-11-09,0.9751
2023-11-09,0.9947
2023-11-09,0.9853
2023-11-09,-0.4939
2023-11-09,0.9058
2023-11-09,0.9686
2023-11-09,0.765
