Date,Score
2023-12-08,0.9996
2023-12-03,0.9976
2023-12-01,0.9834
2023-11-29,0.9993
2023-11-29,-0.2263
2023-11-29,0
2023-11-28,0.9933
2023-11-28,0.9266
2023-11-28,0.9956
2023-11-28,0.9786
2023-11-28,0.9863
2023-11-28,0
2023-11-27,0.9915
2023-11-27,0.7547
2023-11-27,-0.91
2023-11-27,-0.9325
2023-11-26,0.9745
2023-11-25,0.8225
2023-11-24,0.9977
2023-11-23,0.9747
2023-11-22,0.9963
2023-11-21,0.8656
2023-11-17,0.9442
2023-11-17,0.9971
2023-11-16,0.9971
2023-11-15,0.7291
2023-11-15,0
2023-11-14,-0.6486
2023-11-14,0
2023-11-13,0.9838
2023-11-10,0.9972
2023-11-10,0
2023-11-09,0
2023-11-09,0.9853
2023-11-09,0
2023-10-31,0.988
2023-10-26,0.9345
2023-10-26,0.9942
2023-10-26,0.9947
2023-10-26,0
2023-10-25,0
2023-10-25,0
2023-10-24,0.959
2023-10-20,0.5719
2023-10-18,0.9732
2023-10-13,0
2023-10-11,0
2023-10-10,0.9732
2023-10-10,0.9996
2023-10-10,0.9985
2023-10-10,0.9993
2023-10-10,0.9981
2023-10-10,0.9997
2023-10-08,0.9022
2023-10-08,0.0516
2023-10-06,0.9563
2023-10-05,0.7717
2023-10-05,0.9477
2023-10-05,0
2023-10-02,0
2023-09-29,0
2023-09-29,0
2023-09-26,0.9722
2023-09-25,0.9833
2023-09-20,0.9932
2023-09-19,0
2023-09-18,0.5888
2023-09-18,0
2023-09-15,0.9799
2023-09-15,0.9962
2023-09-15,-0.1531
2023-09-15,0.9961
2023-09-15,0.9961
2023-09-15,0
2023-09-15,0
2023-09-15,0
2023-09-15,0.9872
2023-09-15,0
2023-09-15,0.9823
2023-09-15,0
2023-09-15,0
2023-09-15,0
2023-09-15,0
2023-09-15,0
2023-09-15,0
2023-09-15,0
2023-09-14,0.9847
2023-09-14,0.9761
2023-09-14,0.9937
2023-09-14,0.7845
2023-09-14,0.836
2023-09-14,0.961
2023-09-14,0.9489
2023-09-14,0.9489
2023-09-14,0.81
2023-09-14,0.975
2023-09-13,0.9862
2023-09-13,0.9826
2023-09-13,0.9509
2023-09-13,0
2023-09-13,0
2023-09-13,0.9902
2023-09-13,0.9985
2023-09-13,0.9987
