Date,Score
2023-12-14,0.9998
2023-12-11,0.9317
2023-12-11,0.836
2023-12-08,0.9998
2023-12-07,0.9774
2023-12-07,0.9887
2023-12-07,0.9978
2023-12-07,0.9657
2023-12-07,0.9959
2023-12-07,0.992
2023-12-07,0
2023-12-07,0.9476
2023-12-07,0
2023-12-07,0.9875
2023-12-06,0.9032
2023-12-06,0.9985
2023-12-06,0.993
2023-12-06,0.9985
2023-12-06,0.9769
2023-12-06,0
2023-12-04,0
2023-12-03,0.9976
2023-12-01,0.9896
2023-11-29,0.9986
2023-11-29,0.9995
2023-11-29,0.9993
2023-11-27,0.7547
2023-11-23,-0.2871
2023-11-22,0.997
2023-11-18,0.9625
2023-11-16,0.9844
2023-11-16,0.9458
2023-11-15,0.9956
2023-11-15,0.9914
2023-11-15,0
2023-11-15,0.6369
2023-11-14,0.9945
2023-11-14,0
2023-11-14,0.9794
2023-11-14,0.9795
2023-11-14,0.9949
2023-11-13,0.9883
2023-11-13,0
2023-11-13,0.982
2023-11-13,0.9958
2023-11-13,0.9791
2023-11-13,0.9987
2023-11-10,0.984
2023-11-09,0.7964
2023-11-09,0.9947
2023-11-08,0.1048
2023-11-08,0.9839
2023-11-07,0.9991
2023-11-06,0.9648
2023-11-05,0.9984
2023-11-02,0
2023-11-01,0.9838
2023-11-01,0.9499
2023-11-01,0.9803
2023-11-01,0.9413
2023-11-01,0
2023-11-01,0.2732
2023-11-01,0.9698
2023-11-01,0
2023-11-01,0
2023-11-01,0
2023-11-01,0.8979
2023-11-01,0
2023-11-01,0.836
2023-11-01,0.9274
2023-11-01,0.9989
2023-11-01,0
2023-11-01,0
2023-11-01,0
2023-11-01,0
2023-11-01,0.872
2023-10-31,0.8271
2023-10-31,-0.3031
2023-10-31,0.9985
2023-10-31,0.6249
2023-10-31,0.9873
2023-10-31,0.9785
2023-10-31,0.9678
2023-10-31,0.9845
2023-10-31,-0.9368
2023-10-31,0.5423
2023-10-31,0
2023-10-30,0.8834
2023-10-30,0.8183
2023-10-30,0.9865
2023-10-30,0.8779
2023-10-30,0.9785
2023-10-30,0.8771
2023-10-27,0.9858
2023-10-26,0.34
2023-10-24,0.9597
2023-10-24,0.985
2023-10-24,0.995
2023-10-24,0.9897
2023-10-23,0.992
2023-10-23,0.9777
2023-10-23,0.9829
2023-10-20,0
2023-10-20,0.9925
2023-10-19,0.9985
2023-10-19,0.9936
2023-10-18,0.9907
2023-10-18,0.9748
2023-10-17,0.1857
2023-10-17,0
2023-10-17,0.9712
2023-10-17,0.7264
2023-10-17,0
2023-10-16,0.7968
2023-10-16,0.8442
2023-10-13,0.9842
2023-10-12,0.9886
2023-10-12,0.9733
2023-10-11,0.9735
2023-10-10,0.9686
2023-10-10,0.9766
2023-10-10,0
2023-10-10,0
2023-10-09,0.8959
2023-10-06,0.9454
2023-10-06,0
2023-10-05,0
2023-10-04,0
2023-10-02,0.9661
2023-10-02,0
2023-10-02,0.9694
2023-09-28,0.7579
2023-09-28,0.8481
2023-09-28,0.9364
2023-09-27,0.668
2023-09-27,0.9698
2023-09-22,0.9292
2023-09-20,0.987
2023-09-19,0.9936
2023-09-19,0.9076
2023-09-19,0.9531
2023-09-15,0.9908
2023-09-15,0.9201
2023-09-15,0.9628
2023-09-15,0.9133
2023-09-14,0.992
2023-09-14,0
2023-09-14,0.9889
2023-09-14,0.9883
2023-09-13,0.6928
2023-09-12,0.9906
2023-09-11,0
2023-09-08,0.9773
2023-09-07,0.875
2023-09-07,-0.296
2023-09-07,0.9894
2023-09-06,0.9891
2023-09-05,0.9937
2023-09-05,0.9758
2023-09-05,0.9062
2023-09-05,0.9899
2023-09-05,0.9683
2023-09-05,0.9081
2023-09-05,0.9584
2023-09-05,0
2023-09-04,0.836
2023-09-02,0.9301
2023-09-01,0.9823
2023-09-01,0
2023-09-01,0.9648
2023-08-31,0.6337
2023-08-31,-0.4057
2023-08-29,0.128
2023-08-28,0.8638
2023-08-28,0
2023-08-25,0.9979
2023-08-24,0.9818
2023-08-23,0.9933
2023-08-23,0
2023-08-22,0.9938
2023-08-21,0.8607
2023-08-21,0.9974
2023-08-18,0.9982
2023-08-16,0.9851
2023-08-10,0
2023-08-09,0
2023-08-08,-0.4854
2023-08-08,0.6124
2023-08-06,0.9971
2023-08-04,0
2023-08-04,0.8316
2023-08-04,0
2023-08-04,0.9901
2023-08-03,0.6124
2023-08-03,0.9555
2023-08-03,0.9913
2023-08-03,0
2023-08-02,0.9826
2023-08-02,0.9243
2023-08-02,0.9902
2023-08-02,0.4767
2023-08-02,0.9788
2023-08-02,0
2023-08-02,0
2023-08-02,0.743
2023-08-02,-0.3853
2023-08-02,0
2023-08-01,0.2108
2023-08-01,0.6908
2023-08-01,0.9816
2023-08-01,0.9071
2023-08-01,0.743
2023-08-01,0.9629
2023-08-01,0.9217
2023-07-31,0.9952
2023-07-31,0.6542
2023-07-31,0.9915
2023-07-31,0.9753
2023-07-31,0
2023-07-31,0.9981
2023-07-28,0.9408
2023-07-28,0.9753
2023-07-28,0.6757
2023-07-28,0.9952
2023-07-27,0.9922
2023-07-27,0.9201
2023-07-27,0.9868
