Date,Score
2023-12-11,0.9949
2023-12-11,0.9657
2023-12-11,0.4215
2023-12-09,0.9967
2023-12-09,0.9774
2023-12-08,0.988
2023-12-08,-0.7616
2023-12-08,0.9818
2023-12-08,1
2023-12-08,-0.0299
2023-12-08,-0.0299
2023-12-07,0.7859
2023-12-07,-0.9258
2023-12-07,0.5423
2023-12-07,0.9911
2023-12-07,0.7845
2023-12-06,0.9403
2023-12-03,0.9976
2023-11-30,0.2023
2023-11-30,0.9629
2023-11-29,0.2023
2023-11-29,0.9629
2023-11-29,0.6124
2023-11-29,0.9485
2023-11-28,0.9363
2023-11-28,0.5767
2023-11-28,0
2023-11-28,0
2023-11-27,0.8225
2023-11-27,0.7547
2023-11-27,0.9725
2023-11-24,0
2023-11-23,0.9963
2023-11-23,0.9477
2023-11-23,0.9856
2023-11-22,0.9724
2023-11-22,0.6956
2023-11-22,0
2023-11-22,0.9732
2023-11-21,-0.0258
2023-11-21,0.4912
2023-11-21,0.8625
2023-11-21,0
2023-11-21,0
2023-11-21,0
2023-11-16,0.9844
2023-11-16,0.9836
2023-11-15,0.9781
2023-11-14,0.9945
2023-11-10,0.489
2023-11-09,0.9853
2023-11-09,0.9058
2023-11-07,0.991
2023-11-03,0.9855
2023-11-03,-0.3818
2023-10-31,0.6705
2023-10-30,0.9062
2023-10-30,0.9603
2023-10-30,0.8201
2023-10-30,0.9855
2023-10-30,0.9954
2023-10-30,0.9921
2023-10-30,0
2023-10-23,0.9956
2023-10-23,0.9777
2023-10-23,0
2023-10-23,0.9875
2023-10-20,0.9944
2023-10-19,0.9595
2023-10-19,0.9313
2023-10-19,0
2023-10-18,0
2023-10-17,0.9908
2023-10-17,0.9287
2023-10-17,0
2023-10-17,0
2023-10-17,0.6908
2023-10-12,0.9437
2023-10-12,0
2023-10-11,0.9735
2023-10-02,0.9893
2023-10-02,0.9941
2023-09-26,0.999
2023-09-25,0.8834
2023-09-25,0.6597
2023-09-25,0.7269
2023-09-22,-0.2357
2023-09-22,0
2023-09-21,0.0624
2023-09-21,0.9936
2023-09-21,0.991
2023-09-21,0
2023-09-21,0.5267
2023-09-21,0.9408
2023-09-21,-0.1531
2023-09-21,0.9702
2023-09-21,0
2023-09-21,0.9932
2023-09-21,0
2023-09-21,0
2023-09-21,0
2023-09-21,0
2023-09-21,0.9231
2023-09-21,0
2023-09-20,0.9862
2023-09-20,0.9892
2023-09-13,0.8955
2023-09-12,0.9835
2023-09-11,0
2023-09-11,-0.5719
2023-09-10,0.9126
2023-09-08,-0.9225
2023-09-08,0.5719
2023-09-08,0
2023-09-08,0.9714
2023-09-05,0
2023-09-01,0.9738
2023-09-01,0.9753
2023-09-01,0.9704
2023-09-01,0.128
2023-09-01,0.9394
2023-09-01,0.9578
2023-09-01,0
2023-09-01,0
2023-09-01,0
2023-09-01,0
2023-09-01,0
2023-09-01,0
2023-09-01,0.9521
2023-09-01,0
2023-09-01,0.9633
2023-09-01,0
2023-09-01,0.9942
2023-08-31,-0.7783
2023-08-31,0.986
2023-08-31,0.7964
2023-08-31,0
2023-08-31,0.7845
2023-08-31,0.296
2023-08-31,-0.5844
2023-08-31,0.8074
2023-08-30,0.9319
2023-08-29,0.128
2023-08-29,0.9243
2023-08-24,0.9769
2023-08-24,0
2023-08-23,0.9933
2023-08-23,0.9941
2023-08-23,0
2023-08-22,0.9753
2023-08-21,0.981
2023-08-21,0.1027
2023-08-21,0.2805
2023-08-21,0
2023-08-21,0.8115
2023-08-21,0
2023-08-10,0.0516
2023-08-09,0.1937
2023-07-27,0.9922
2023-07-24,0.9821
2023-07-23,0.9933
2023-07-21,0.9806
2023-07-19,0
2023-07-19,0
2023-07-19,0.9633
2023-07-19,0
2023-07-17,-0.0258
2023-07-16,0.9898
2023-07-14,0
2023-07-14,0
2023-07-12,0.9959
2023-07-12,0
2023-07-12,0.9678
2023-07-12,0.9477
2023-07-12,0
2023-07-12,0
2023-07-11,0.8689
2023-07-11,0.6059
2023-07-11,0
2023-07-07,0.5423
2023-06-27,0
2023-06-26,-0.93
2023-06-22,0
2023-06-20,0
2023-06-19,0.9919
2023-06-14,0.9951
2023-06-14,0.8704
2023-06-12,0.9939
2023-06-12,0.8625
2023-06-12,0
2023-06-07,0.9239
2023-06-07,0
2023-06-05,0.9774
2023-06-05,0
2023-06-04,0.9795
2023-06-02,0.989
2023-06-02,0.9524
2023-06-02,0.3182
2023-06-02,0
2023-06-02,0
2023-06-02,0
2023-06-02,-0.3071
2023-06-02,0
2023-06-02,0.9468
2023-06-02,0
2023-06-02,-0.3573
2023-06-02,0
2023-06-02,0
2023-06-02,0
2023-06-02,0
2023-06-02,0
2023-06-01,0.9455
2023-06-01,0.6249
2023-06-01,0.8209
2023-06-01,0.296
2023-06-01,0.7845
2023-06-01,0.5994
2023-06-01,0.9652
2023-06-01,-0.431
2023-06-01,-0.5661
2023-05-31,0.969
2023-05-30,0.5994
2023-05-30,0
2023-05-30,0.9875
2023-05-30,0
2023-05-30,0
2023-05-28,0.9962
2023-05-26,0
2023-05-25,0.9751
2023-05-25,0
2023-05-24,-0.9545
2023-05-24,0.9884
2023-05-24,0
2023-05-23,0.9546
2023-05-23,0
2023-05-23,0.886
2023-05-23,-0.6705
2023-05-23,0.9716
2023-05-23,-0.25
2023-05-23,0.9371
2023-05-23,0.9905
2023-05-22,-0.0722
2023-05-17,0.955
2023-05-16,-0.428
2023-05-12,0.7845
2023-05-12,0
2023-05-09,-0.9257
2023-05-05,0.7184
2023-04-28,-0.3539
2023-04-26,-0.9008
2023-04-26,0
2023-04-13,0.9635
2023-04-12,0
2023-04-12,0
2023-04-12,0
2023-04-12,0
2023-04-11,0
2023-04-06,0.9822
2023-03-29,0.9349
2023-03-29,0.9349
2023-03-29,0.2732
2023-03-29,0.8858
2023-03-29,0
2023-03-28,0.992
2023-03-22,0.9841
2023-03-22,0
2023-03-14,0.2023
2023-03-05,0.995
2023-03-03,0.9656
2023-03-03,0.7466
2023-03-03,0.8931
2023-03-03,0
2023-03-03,0
2023-03-03,0.9923
2023-03-03,0
2023-03-03,0
2023-03-03,0.9934
2023-03-03,0
2023-03-03,0
2023-03-03,0
2023-03-03,0
2023-03-03,0
2023-03-03,0.8972
2023-03-03,0.992
2023-03-03,0
2023-03-03,0
2023-03-03,0
2023-03-03,0
2023-03-02,0.9657
2023-03-02,0.5719
2023-03-02,0.4404
2023-03-02,0.296
2023-03-02,0.4404
2023-03-02,0.7615
2023-03-02,-0.9956
2023-03-02,0.9702
2023-03-01,0.8074
2023-03-01,0
2023-03-01,0
2023-02-28,0
2023-02-27,0.9857
2023-02-27,0
2023-02-24,0
2023-02-23,0.9675
2023-02-23,-0.7783
2023-02-15,0
2023-01-27,0
2023-01-26,0.9587
2023-01-26,0
2023-01-25,-0.4754
2023-01-23,0
2023-01-20,0.7003
2023-01-17,0.8481
2023-01-16,0.9042
2023-01-11,-0.9754
2023-01-10,0.4404
2023-01-10,0.2601
2023-01-10,-0.8696
2023-01-10,-0.9907
2023-01-10,0
2023-01-09,-0.296
2023-01-09,0.893
2023-01-09,0.3506
2023-01-09,-0.25
2023-01-09,0.8957
2022-12-31,0.9761
2022-12-22,0.9687
