Date,Score
2023-12-08,-0.09
2023-11-29,0.9901
2023-11-21,0
2023-11-16,0
2023-11-15,0.9902
2023-11-13,0.886
2023-11-06,0
2023-11-06,0
2023-11-03,0.9516
2023-11-03,0.7845
2023-11-03,0.9516
2023-11-03,0.7845
2023-10-30,0.9962
2023-10-30,0.9962
2023-10-26,0.9887
2023-10-18,0.9766
2023-10-18,0.9766
2023-10-12,0.8932
2023-10-11,0
2023-10-11,0
2023-10-10,0
2023-10-09,0
2023-10-04,0.981
2023-10-02,0.9869
2023-09-29,0.9657
2023-09-20,0.743
2023-09-19,0.9298
2023-09-19,-0.4404
2023-09-19,0
2023-09-19,0.9979
2023-09-15,0.9656
2023-09-08,0
2023-09-06,-0.5267
2023-08-16,0.5423
2023-08-15,0.9976
2023-08-07,0
2023-08-07,0
2023-08-07,0
2023-08-07,0
2023-08-07,0
2023-08-04,0.9865
2023-08-04,0.6908
2023-07-13,-0.467
2023-07-13,0
2023-07-12,0
2023-07-12,0
2023-07-12,0.9434
2023-07-11,0.802
2023-07-06,0.9986
2023-06-30,-0.7368
2023-06-30,0.9524
2023-06-30,0
2023-06-28,0
2023-06-28,0
2023-06-26,0.9846
2023-06-15,0.9694
2023-06-14,0.9978
2023-06-06,0.9918
2023-06-05,0.4767
2023-06-02,0.9403
2023-05-23,-0.8357
2023-05-15,0
2023-05-11,0.296
2023-05-09,0.4939
2023-05-07,0
2023-05-05,0.6908
2023-05-05,0.9484
2023-04-27,-0.5584
2023-04-19,0
2023-04-12,0
2023-04-11,0
2023-04-11,0
2023-04-05,0.9955
2023-03-07,0
2023-02-20,0
2023-02-20,0
2023-02-14,0
2023-02-14,0.959
2023-02-08,0.3872
2023-02-06,0
2023-02-03,0.4939
2023-02-03,0.4404
2023-02-03,0.6249
2023-02-03,0.9677
2023-02-02,-0.9927
2023-01-11,0
2023-01-09,0
2023-01-05,0
2023-01-05,0
2022-12-20,0.9453
2022-11-30,0.8625
2022-11-15,-0.4215
2022-11-15,0
2022-11-14,-0.6036
2022-11-14,0
2022-11-08,0
2022-11-08,0
2022-11-07,0
2022-11-07,0
2022-11-07,0
2022-11-04,0.936
2022-11-04,0.4404
2022-11-04,0.9916
2022-10-18,0.7184
