Date,Score
2023-11-29,0
2023-11-15,0.6486
2023-11-13,0
2023-11-02,0.9477
2023-10-31,0
2023-10-27,0.9983
2023-10-27,0.9846
2023-10-27,0.9919
2023-10-27,0.1779
2023-10-27,0.9945
2023-10-27,-0.0772
2023-10-27,0.9983
2023-10-27,0.9846
2023-10-27,0.9919
2023-10-27,0.1779
2023-10-27,0.9945
2023-10-27,-0.9694
2023-10-27,0.926
2023-10-27,0.6908
2023-10-27,-0.9842
2023-10-26,0.9153
2023-10-25,0.9322
2023-10-24,-0.9917
2023-10-17,0
2023-10-17,0.9836
2023-10-16,0.991
2023-10-16,0.9463
2023-10-16,0
2023-10-16,0
2023-10-12,0
2023-10-12,0
2023-10-11,0
2023-10-05,0.9143
2023-09-27,0
2023-09-22,0
2023-09-19,0.8656
2023-09-15,0.9783
2023-09-13,0.296
2023-08-01,0
2023-07-31,0
2023-07-31,0
2023-07-31,0
2023-07-28,0.9794
2023-07-28,0.9886
2023-07-28,0.6908
2023-07-26,0
2023-07-20,0
2023-06-29,0
2023-06-08,0.296
2023-05-18,-0.7906
2023-05-17,0.9583
2023-05-02,0
2023-05-01,0
2023-05-01,0
2023-04-28,0.9717
2023-04-28,0.9785
2023-04-28,0.8201
2023-04-28,0.6908
2023-04-28,0.6705
2023-04-28,0.9883
2023-04-27,0.9136
2023-04-17,0
2023-04-14,0
2023-04-04,0.9875
2023-03-29,0
2023-03-27,0
2023-03-20,0
2023-03-13,-0.9599
2023-03-13,-0.4524
2023-03-13,-0.2023
2023-03-10,0.9946
2023-03-10,-0.9935
2023-03-09,0.5423
2023-03-09,0.7935
2023-03-09,-0.9649
2023-03-08,-0.836
2023-03-08,-0.9337
2023-03-08,0.6124
2023-03-07,-0.9403
2023-03-06,-0.34
2023-03-06,0
2023-03-01,0.9976
2023-03-01,-0.9824
2023-02-28,-0.959
2023-02-28,-0.8047
2023-02-27,-0.9792
2023-02-27,0
2023-02-27,0
2023-02-24,-0.9532
2023-02-23,-0.9738
2023-02-23,-0.8807
2023-02-23,0.5568
2023-02-22,-0.9657
2023-02-22,0.9376
2023-02-22,-0.9797
2023-02-22,0.765
2023-02-21,0.4939
2023-02-21,-0.9783
2023-02-21,-0.9686
2023-02-20,-0.4984
2023-02-20,-0.1431
2023-02-20,0.25
2023-02-20,0
2023-02-20,-0.7343
2023-02-17,0.979
2023-02-15,-0.9981
2023-02-14,-0.9545
2023-02-14,0.9585
2023-01-31,0
2023-01-30,0
2023-01-30,0
2023-01-30,0.9836
2023-01-30,0
2023-01-30,0
2023-01-30,0
2023-01-30,0
2023-01-27,0.9873
2023-01-27,-0.7768
2023-01-27,0.4404
2023-01-27,0.6908
2023-01-27,0.7876
2023-01-27,0.8271
2023-01-26,0.836
2023-01-19,0
2023-01-13,0
2023-01-04,0
2023-01-03,0
2022-11-21,0
2022-11-18,0.9825
2022-11-01,0
2022-11-01,0
2022-10-31,0
2022-10-31,0
2022-10-28,0
2022-10-28,0.5267
2022-10-28,-0.4429
2022-10-28,-0.8949
2022-10-27,0.5994
2022-10-24,0
2022-10-21,0.5267
2022-10-20,0.9726
2022-10-18,0.9758
2022-10-18,0.9941
2022-10-18,0
2022-10-18,0
2022-10-18,0.8624
2022-10-18,0
2022-10-18,0
2022-10-17,0
2022-10-17,0
2022-10-13,0.9842
2022-10-13,0
2022-10-13,0
2022-10-11,0
2022-09-14,0
2022-09-09,0
2022-08-22,0.9851
2022-08-02,0
2022-08-01,0
2022-08-01,0.9858
2022-08-01,0
2022-08-01,0
2022-07-29,0.9967
2022-07-29,0.3468
2022-07-29,0.6705
2022-07-29,0.5267
2022-07-28,0
2022-07-28,0
2022-07-25,0.9871
2022-07-22,0
2022-07-20,0.8126
2022-07-07,-0.7964
2022-06-16,0.128
2022-06-01,0.7717
2022-04-29,-0.4767
2022-04-29,0.296
2022-04-29,0.9506
2022-03-01,0.9772
2022-02-04,0.9415
2022-01-28,0.9819
2022-01-28,0.5267
2022-01-28,-0.1887
2022-01-28,-0.4987
2022-01-23,0.9917
2022-01-20,-0.5423
2021-12-21,0.9792
2021-12-05,-0.725
2021-11-24,0.9944
2021-11-22,0.7104
2021-11-11,0.9792
2021-11-02,0.9792
2021-10-29,0.7717
2021-10-29,0.5267
2021-10-28,0.9792
2021-10-13,0.9792
2021-09-22,0.9972
2021-09-22,0.9909
2021-09-20,0.9382
2021-09-20,0.3182
2021-08-17,0.9792
2021-08-10,0.9792
2021-08-04,0.9792
2021-07-30,0.5267
2021-07-30,0.9741
2021-07-28,0.9888
2021-07-18,0.9792
2021-06-22,0.9657
2021-06-21,0.989
2021-06-09,0.3182
2021-05-10,0.9926
2021-05-03,0.9792
2021-04-30,0.3182
2021-04-30,0.8334
2021-04-30,0.5267
2021-02-21,0.9595
2021-02-09,0.9932
2021-02-02,0.9595
2021-02-01,0.9595
2021-01-29,0.296
2021-01-29,-0.8872
2021-01-28,0.9595
2020-12-22,-0.8608
2020-11-02,0.9595
