Date,Score
2023-12-13,0.9134
2023-12-05,0.6249
2023-11-29,0
2023-11-29,0.9689
2023-11-27,0.9587
2023-11-27,0
2023-11-16,0.9949
2023-11-16,0.9726
2023-11-15,0.9972
2023-11-14,0.9957
2023-11-14,0.9957
2023-11-14,0
2023-11-13,0
2023-11-02,0
2023-11-01,0.9926
2023-11-01,0.5574
2023-11-01,0.9926
2023-10-18,0.9217
2023-10-18,0.9217
2023-10-18,0.9678
2023-10-18,0.6124
2023-10-18,0.296
2023-10-18,0.9738
2023-10-12,0.34
2023-10-12,0
2023-10-06,0
2023-10-05,0.5267
2023-10-05,0.9698
2023-10-05,0
2023-10-05,0
2023-10-05,0
2023-10-04,0.8934
2023-10-04,0.836
2023-10-04,0.7845
2023-10-04,0
2023-10-01,0.886
2023-09-30,0.886
2023-09-29,0.886
2023-09-29,0
2023-09-29,0
2023-09-29,0.996
2023-09-29,0
2023-09-27,0.8815
2023-09-27,0.9842
2023-09-27,0.9431
2023-09-27,0
2023-09-27,0.4939
2023-09-27,-0.9201
2023-09-27,0
2023-09-27,0
2023-09-27,0.9556
2023-09-27,0.8074
2023-09-27,-0.8201
2023-09-27,0
2023-09-27,0
2023-09-27,0
2023-09-27,0
2023-09-27,0.7964
2023-09-26,0
2023-09-26,0
2023-09-26,0.9817
2023-09-26,0.9967
2023-09-26,0.7845
2023-09-26,-0.5336
2023-09-26,0.987
2023-09-25,0.9723
2023-09-25,0.9287
2023-09-25,0.8201
2023-09-22,0.9313
2023-09-22,0
2023-09-22,0
2023-09-19,0.8656
2023-09-19,0.981
2023-09-18,0.9078
2023-09-14,0.9517
2023-09-13,0
2023-08-31,0
2023-08-30,0.9022
2023-08-28,0
2023-08-17,0.9916
2023-08-17,-0.9784
2023-08-17,0.861
2023-08-16,0.975
2023-08-09,0.296
2023-08-03,0
2023-08-03,0
2023-08-03,0
2023-08-03,0
2023-08-02,0.8481
2023-08-02,0.9854
2023-08-02,0
2023-07-25,0
2023-07-25,0
2023-07-25,0.9959
2023-07-20,0.9961
2023-07-07,0
2023-07-07,0
2023-07-07,0.9884
2023-07-07,0
2023-07-06,-0.4526
2023-07-06,0.8481
2023-07-05,0
2023-06-29,0.9606
2023-06-29,0.9861
2023-06-26,0
2023-06-05,0
2023-06-02,0.8765
2023-06-02,0
2023-06-01,0.8481
2023-06-01,-0.0772
2023-05-31,0.9688
2023-05-26,0
2023-05-26,0.3182
2023-05-26,0
2023-05-26,0
2023-05-26,0.9595
2023-05-26,0
2023-05-26,0
2023-05-26,0
2023-05-26,0
2023-05-25,-0.8505
2023-05-25,0.2263
2023-05-25,0.8654
2023-05-25,0.9942
2023-05-24,-0.9147
2023-05-23,0.9201
2023-05-22,-0.8301
2023-05-21,-0.2732
2023-05-17,0.9403
2023-05-11,0
2023-05-11,0
2023-05-04,0
2023-05-03,0.8481
2023-05-02,0.982
2023-04-23,0.9906
2023-04-19,0.5423
2023-04-17,0.9961
2023-04-13,0.9921
2023-04-12,0
