Date,Score
2023-12-08,0.9995
2023-12-07,0.7859
2023-12-04,-0.9831
2023-11-29,0.9993
2023-11-28,0.9939
2023-11-28,0.9774
2023-11-27,0.9819
2023-11-27,0.9725
2023-11-17,0.9726
2023-11-17,0
2023-11-16,0.9538
2023-11-16,0.9909
2023-11-16,-0.1901
2023-11-16,-0.25
2023-11-16,0
2023-11-16,0.9971
2023-11-16,-0.93
2023-11-16,0
2023-11-16,0
2023-11-16,0
2023-11-16,0
2023-11-16,0
2023-11-16,0
2023-11-16,0.8908
2023-11-16,0
2023-11-16,0
2023-11-15,0.9504
2023-11-15,0.926
2023-11-15,-0.9862
2023-11-15,0.2732
2023-11-15,0.7845
2023-11-15,0
2023-11-15,0.9081
2023-11-15,0.9771
2023-11-14,0.9501
2023-11-14,0
2023-11-09,0.9609
2023-10-31,0.9931
2023-10-30,0.6369
2023-10-30,-0.8801
2023-10-30,0.5789
2023-10-30,0
2023-10-27,0.9186
2023-10-20,0.978
2023-10-16,0.7968
2023-10-12,0
2023-10-10,0.9732
2023-09-29,0.9937
2023-09-28,0.9834
2023-09-26,0.9722
2023-09-23,0.992
2023-09-22,0
2023-09-22,0.9645
2023-09-21,0.991
2023-09-21,0.9136
2023-09-21,0.9936
2023-09-21,-0.1531
2023-09-21,0.9821
2023-09-21,0.8572
2023-09-21,0.9359
2023-09-21,0
2023-09-21,0
2023-09-13,0
2023-09-04,0.969
2023-09-01,0.9788
2023-08-31,0.9531
2023-08-28,0.9977
2023-08-28,0
2023-08-22,0
2023-08-21,0.984
2023-08-21,0
2023-08-20,0.999
2023-08-18,0.9989
2023-08-17,0.9032
2023-08-17,0.9668
2023-08-17,0.9601
2023-08-17,0
2023-08-17,0
2023-08-17,0
2023-08-17,0
2023-08-17,0
2023-08-17,0
2023-08-17,0
2023-08-17,0
2023-08-16,0.9822
2023-08-16,0.7845
2023-08-16,0.1986
2023-08-16,0.9725
2023-08-15,0.9623
2023-08-11,0.9022
2023-08-11,0
2023-08-03,0.9998
2023-08-01,0.9884
2023-07-20,0
2023-07-20,0
2023-07-20,0.9518
2023-07-19,0.9555
2023-07-19,0
2023-07-18,0.9678
2023-07-13,0.9265
2023-07-12,0.354
2023-07-12,0
2023-07-07,0.5423
2023-06-30,0.8979
2023-06-29,0
2023-06-29,0
2023-06-07,0.9535
2023-06-06,0.9531
2023-06-06,0.9907
2023-06-01,-0.4767
2023-05-25,-0.9784
2023-05-23,0.886
2023-05-22,0.9779
2023-05-22,0
2023-05-18,-0.296
2023-05-18,-0.34
2023-05-18,0.1779
2023-05-18,0.4767
2023-05-18,0.3182
2023-05-18,0
2023-05-18,0.9433
2023-05-18,0
2023-05-18,0.9781
2023-05-17,-0.017
2023-05-17,0.9287
2023-05-17,0
2023-05-17,0.6908
2023-05-17,0.7096
2023-05-17,0.296
2023-05-17,-0.5792
2023-05-16,-0.8481
2023-05-15,-0.571
2023-05-14,-0.6705
2023-05-14,-0.9587
2023-05-14,-0.9678
2023-05-12,-0.9477
2023-05-02,-0.9712
2023-04-26,0.9886
2023-04-11,0
2023-04-11,-0.6999
2023-03-13,-0.3818
2023-03-07,0
2023-02-27,-0.9712
2023-02-27,0.9161
2023-02-21,0.1779
2023-02-21,0
2023-02-21,0.9972
2023-02-20,0
2023-02-20,0
2023-02-20,0
2023-02-20,0
2023-02-20,0
2023-02-20,0
2023-02-20,0
2023-02-20,0
2023-02-20,0
2023-02-20,0.1531
2023-02-19,0.1531
2023-02-16,0.9942
2023-02-16,0.9284
2023-02-16,0.9853
2023-02-16,0.9835
2023-02-16,0.972
2023-02-16,0.3182
2023-02-16,0.5824
2023-02-16,0
2023-02-16,0
2023-02-15,0.9831
2023-02-15,0.7964
2023-02-15,0.9655
2023-02-15,-0.4939
2023-02-15,0
2023-02-15,0.4404
2023-02-15,0.6908
2023-02-15,-0.8773
2023-02-15,0.7184
2023-02-15,0.9358
2023-02-15,0.9496
2023-02-14,0.882
2023-02-13,-0.9574
2023-02-12,0.2263
2023-02-08,0.9862
2023-02-08,0
2023-02-08,-0.9844
2023-02-06,-0.9828
2023-02-01,-0.9779
2023-01-26,0.9063
2023-01-26,-0.9638
2023-01-24,-0.9623
2023-01-23,-0.9571
2023-01-20,-0.9538
2023-01-19,-0.128
2023-01-18,-0.9451
2023-01-17,0
2023-01-11,-0.9451
2023-01-10,-0.9531
2023-01-09,-0.9854
2023-01-05,-0.9831
2023-01-04,-0.9836
2022-12-30,0.9765
2022-12-15,0.9912
2022-12-13,0
2022-12-06,-0.9761
2022-12-05,0.9678
2022-11-28,0.453
2022-11-23,-0.9782
2022-11-22,0.6249
2022-11-22,0.8897
2022-11-22,0
2022-11-21,0.9413
2022-11-18,0.4795
2022-11-17,0
2022-11-17,0.9702
2022-11-17,0.3182
2022-11-17,0
2022-11-17,0.3182
2022-11-17,0
2022-11-17,0
2022-11-17,0.9951
2022-11-17,0
2022-11-17,0.7783
2022-11-16,0.9931
2022-11-16,0.8074
2022-11-16,0.4404
2022-11-16,0.4404
2022-11-16,0.802
2022-11-16,-0.9928
2022-11-16,0.9041
2022-11-15,0.6908
2022-11-14,-0.9631
2022-11-13,0.2263
2022-11-13,0.9955
2022-11-12,-0.7543
2022-11-12,-0.8807
2022-11-11,0
2022-11-10,0.4404
2022-11-09,0
2022-11-02,0.8623
2022-10-26,0.431
2022-10-18,0.9993
2022-10-17,0.8658
2022-10-17,0.7604
2022-10-16,0.9726
2022-10-15,0.967
2022-10-14,0.9798
2022-10-14,0.9771
2022-10-13,-0.9873
2022-10-12,0.997
2022-10-12,0.886
2022-09-30,-0.9834
2022-09-21,-0.9305
2022-09-21,0.9907
2022-09-21,-0.4147
2022-09-21,0
2022-09-15,0
2022-09-13,0
2022-09-12,0.8126
2022-08-30,0.8313
2022-08-22,0.963
2022-08-19,0
2022-08-19,0.9779
2022-08-18,0.8016
2022-08-18,0.6942
2022-08-18,0.9524
2022-08-18,0.9337
2022-08-18,0
2022-08-18,0
2022-08-18,0.871
2022-08-18,0
2022-08-18,0
2022-08-18,0.3182
2022-08-18,0.923
2022-08-18,-0.9364
2022-08-18,0
2022-08-18,0
2022-08-18,0
2022-08-18,0
2022-08-18,0
2022-08-18,0
2022-08-18,0
2022-08-18,0
2022-08-18,0
2022-08-17,0.25
2022-08-17,0.8494
2022-08-17,0.9678
2022-08-17,0.9259
2022-08-17,0.4404
2022-08-17,0.7184
2022-08-17,0
2022-08-17,0.9136
2022-08-17,0
2022-08-17,0.9381
2022-08-16,0.91
2022-08-16,0
2022-08-15,-0.9852
2022-08-15,-0.7944
2022-08-15,0.2263
2022-08-05,-0.966
2022-08-03,0.9531
2022-07-15,0.9625
2022-07-14,0.63
2022-07-14,0.9545
2022-07-12,-0.6808
2022-07-12,0.788
2022-07-11,0.8885
2022-07-08,-0.993
2022-07-06,-0.8555
2022-06-28,-0.0258
2022-06-28,0.3612
2022-06-28,0.4215
2022-06-23,0.9072
2022-06-23,-0.9081
2022-06-23,0.9267
2022-06-15,0.5574
2022-06-15,0.2732
2022-06-15,0.0516
2022-06-13,-0.9349
2022-05-25,0.9224
2022-05-23,0.9716
2022-05-23,0.9903
2022-05-20,-0.3612
2022-05-19,-0.7579
2022-05-19,-0.9769
2022-05-19,-0.8987
2022-05-19,-0.8481
2022-05-19,-0.5949
2022-05-19,0
2022-05-19,-0.2265
2022-05-19,-0.9771
2022-05-19,0.9161
2022-05-19,0.3182
2022-05-19,-0.9825
2022-05-18,-0.926
2022-05-18,-0.9042
2022-05-18,0.9687
2022-05-18,0.7964
2022-05-18,0.4404
