Date,Score
2023-12-09,0.9723
2023-12-09,0.9778
2023-12-08,0.8574
2023-12-08,0.945
2023-12-08,0.9988
2023-12-08,0.8999
2023-12-08,0.9559
2023-12-08,0
2023-12-07,0.9774
2023-12-07,0.9798
2023-12-07,0.0335
2023-12-07,0.9887
2023-12-07,0.9657
2023-12-07,0.4588
2023-12-07,0.9959
2023-12-07,0.9906
2023-12-07,0.993
2023-12-07,0
2023-12-06,0.9514
2023-12-06,0.966
2023-12-06,-0.9833
2023-12-05,0.7964
2023-12-05,0.9422
2023-12-05,0.7351
2023-12-04,0
2023-12-04,-0.772
2023-12-04,-0.9831
2023-12-04,0.7184
2023-12-04,0
2023-12-03,0.9976
2023-12-01,-0.8835
2023-12-01,0.9391
2023-12-01,0.9822
2023-11-30,0.956
2023-11-30,0.9939
2023-11-30,0.9665
2023-11-29,0.9822
2023-11-29,0.956
2023-11-29,0.9939
2023-11-29,0.9665
2023-11-29,0.9996
2023-11-29,0.9442
2023-11-29,0.9749
2023-11-29,0
2023-11-29,0.9299
2023-11-29,0.9043
2023-11-28,0.9788
2023-11-28,0
2023-11-27,0.7547
2023-11-27,0
2023-11-26,0.9979
2023-11-26,-0.7845
2023-11-24,0.9785
2023-11-24,0
2023-11-23,0.9747
2023-11-23,0.9341
2023-11-23,0.928
2023-11-22,0.9924
2023-11-22,-0.875
2023-11-22,0
2023-11-21,0.9735
2023-11-21,0
2023-11-21,0.765
2023-11-21,-0.4215
2023-11-21,0.9942
2023-11-20,0.3559
2023-11-20,0.996
2023-11-20,0.9811
2023-11-20,0
2023-11-20,0.952
2023-11-20,0.9968
2023-11-20,0.9934
2023-11-20,0.8885
2023-11-20,0.9712
2023-11-18,0.9625
2023-11-18,0.7493
2023-11-18,0.9962
2023-11-17,0.9968
2023-11-17,0.8885
2023-11-17,0.7964
2023-11-17,0.9921
2023-11-17,0.996
2023-11-17,0.9955
2023-11-17,-0.963
2023-11-16,0.9902
2023-11-16,0.9176
2023-11-16,0.9879
2023-11-16,0.9776
2023-11-16,0.9829
2023-11-16,0.9421
2023-11-16,0.8581
2023-11-16,0.958
2023-11-16,0.9974
2023-11-16,0
2023-11-16,0.9565
2023-11-15,0.9589
2023-11-15,0.9963
2023-11-15,0.9908
2023-11-15,0.993
2023-11-15,0.9937
2023-11-15,0.875
2023-11-15,0.9901
2023-11-15,0.9727
2023-11-15,-0.9291
2023-11-14,0.9628
2023-11-14,0.9907
2023-11-14,0.9808
2023-11-14,-0.9923
2023-11-14,-0.0527
2023-11-14,0
2023-11-14,0.9379
2023-11-14,0.8103
2023-11-14,0.34
2023-11-14,0.9735
2023-11-14,-0.4404
2023-11-14,0.8689
2023-11-13,0.8591
2023-11-13,0.6449
2023-11-13,0.9955
2023-11-13,0.7351
2023-11-13,0
2023-11-13,0.9838
2023-11-13,0.7213
2023-11-13,0.9886
2023-11-13,0.9753
2023-11-13,0.9526
2023-11-13,0.34
2023-11-13,0
2023-11-13,0.9948
2023-11-10,0.9789
2023-11-10,-0.9554
2023-11-10,0.9755
2023-11-10,0.9808
2023-11-09,0.9382
2023-11-09,0.9841
2023-11-09,0.7767
2023-11-09,-0.34
2023-11-09,0.9582
2023-11-09,0.9751
2023-11-09,-0.8358
2023-11-09,0.9853
2023-11-09,0.7184
2023-11-09,0.9981
2023-11-09,0.9963
2023-11-08,-0.9322
2023-11-08,0.9552
2023-11-08,0.9866
2023-11-08,0
2023-11-08,0.8979
2023-11-08,0.1215
2023-11-08,0.8225
2023-11-08,0.9814
2023-11-08,-0.9382
2023-11-07,0.7845
2023-11-07,0.9824
2023-11-07,0.9403
2023-11-07,0.7783
2023-11-07,0.987
2023-11-07,0.6486
2023-11-07,0.7717
2023-11-07,0.9943
2023-11-07,0.987
2023-11-07,0.3528
2023-11-07,0.93
2023-11-06,0.9925
2023-11-06,0.9939
2023-11-06,0.5943
2023-11-05,0.9093
2023-11-04,0.9945
2023-11-03,0.9961
2023-11-03,0.969
2023-11-03,0.9633
2023-11-03,0.9442
2023-11-03,0.6808
2023-11-03,0.9595
2023-11-02,0.9951
2023-11-02,-0.8375
2023-11-02,0.9894
2023-11-02,0.9916
2023-11-02,0.9723
2023-11-01,0.9846
2023-11-01,0.9973
2023-11-01,0.9842
2023-10-31,0.8519
2023-10-31,0.931
2023-10-31,0.9702
2023-10-31,0.9495
2023-10-31,0.9643
2023-10-31,0.8271
2023-10-31,0.9565
2023-10-30,0.9907
2023-10-30,0.9886
2023-10-30,0.9893
2023-10-30,0.9509
2023-10-30,0.9819
2023-10-30,0.5994
2023-10-30,0.4588
2023-10-30,0.9753
2023-10-30,0.4019
2023-10-29,0.9617
2023-10-29,0.9986
2023-10-29,0.8073
2023-10-29,0.9902
2023-10-28,0.4019
2023-10-27,0.7391
2023-10-27,0.9403
2023-10-27,0
2023-10-27,0.9867
2023-10-27,0.9949
2023-10-27,0.8271
2023-10-27,0.9945
2023-10-27,0.9793
2023-10-27,0
2023-10-27,-0.9842
2023-10-27,0.996
2023-10-27,0.8658
2023-10-27,0.8497
2023-10-26,0.9747
2023-10-26,0.8028
2023-10-26,0.9634
2023-10-26,-0.3919
2023-10-26,-0.6428
2023-10-26,-0.7845
2023-10-26,0.9765
2023-10-26,0.9939
2023-10-26,-0.5623
2023-10-26,0
2023-10-26,0
2023-10-26,-0.7584
2023-10-26,0.1531
2023-10-26,0.9933
2023-10-26,-0.3542
2023-10-25,0.9783
2023-10-25,0.9531
2023-10-25,0.926
2023-10-25,0.5187
2023-10-25,-0.0516
2023-10-25,0.9942
2023-10-25,0.9716
2023-10-25,-0.4767
2023-10-25,0.8122
2023-10-25,0.9829
2023-10-25,0.8641
2023-10-25,0.9951
2023-10-25,0.9615
2023-10-25,0.9674
2023-10-25,0.9892
2023-10-25,0
2023-10-25,0
2023-10-25,0
2023-10-25,0
2023-10-25,0.9929
2023-10-25,0
2023-10-25,0.9861
2023-10-25,-0.9182
2023-10-25,0
2023-10-25,0.9852
2023-10-25,0.8176
2023-10-25,0
2023-10-25,0.9322
2023-10-25,0
2023-10-25,0.9322
2023-10-25,0
2023-10-25,0
2023-10-25,0.9932
2023-10-25,0
2023-10-25,0.9483
2023-10-25,0.9758
2023-10-25,0
2023-10-24,0.9046
2023-10-24,0.881
2023-10-24,0.9666
2023-10-24,-0.6408
2023-10-24,0.9918
2023-10-24,0.9178
2023-10-24,-0.3612
2023-10-24,0.9109
2023-10-24,0.7845
2023-10-24,0.9178
2023-10-24,0
2023-10-24,0.9109
2023-10-24,0.969
2023-10-24,-0.6956
2023-10-24,-0.6956
2023-10-24,0
2023-10-24,0.9232
2023-10-24,0.9893
2023-10-24,-0.5859
2023-10-23,0.9623
2023-10-23,0.9931
2023-10-23,0.9461
2023-10-23,-0.7531
2023-10-23,0.8761
2023-10-23,0.743
2023-10-23,0.1531
2023-10-23,0
2023-10-23,0.9642
2023-10-23,0.9978
2023-10-23,-0.5096
2023-10-23,0.8225
2023-10-23,0
2023-10-23,0.93
2023-10-23,0.296
2023-10-23,-0.9827
2023-10-23,0
2023-10-23,-0.96
2023-10-23,-0.7517
2023-10-22,0.8765
2023-10-22,0.96
2023-10-20,0.8947
2023-10-20,0.9022
2023-10-20,-0.9771
2023-10-20,0.9439
2023-10-20,0.1868
2023-10-20,0.9694
2023-10-20,0.9788
2023-10-20,-0.9543
2023-10-19,0.9943
2023-10-19,-0.9538
2023-10-19,0.4497
2023-10-19,0.9903
2023-10-19,0.9849
2023-10-19,0.9233
2023-10-19,0
2023-10-19,0.5346
2023-10-19,0.9943
2023-10-18,-0.9677
2023-10-18,0.9233
2023-10-18,0
2023-10-18,0
2023-10-18,0.7992
2023-10-18,0.964
2023-10-18,0.9914
2023-10-18,0.9959
2023-10-17,0.7783
2023-10-17,-0.34
2023-10-17,0.9477
2023-10-17,0.9931
2023-10-17,0
2023-10-17,-0.9432
2023-10-16,0.9674
2023-10-14,0.891
2023-10-13,-0.997
2023-10-13,0.9643
2023-10-13,0.9571
2023-10-13,0.2528
2023-10-13,0.8442
2023-10-13,0.891
2023-10-13,0
2023-10-12,0.8402
2023-10-12,0.9687
2023-10-12,0.8679
2023-10-12,0.8422
2023-10-12,-0.8434
2023-10-11,0.7003
2023-10-11,-0.9892
2023-10-11,0.9652
2023-10-11,0.967
2023-10-11,0.9877
2023-10-11,-0.6554
2023-10-11,0.9801
