Date,Score
2023-12-07,-0.6593
2023-12-07,0.9986
2023-12-04,-0.772
2023-12-04,-0.9831
2023-12-04,0.9972
2023-12-04,0.9911
2023-11-27,0.9819
2023-11-27,0.9979
2023-11-21,-0.9249
2023-11-20,-0.9927
2023-11-20,-0.9678
2023-11-18,-0.9927
2023-11-17,-0.9962
2023-11-17,-0.9872
2023-11-16,0.9879
2023-11-15,0.9963
2023-11-14,0.9129
2023-11-14,-0.2006
2023-11-10,0.9847
2023-11-08,0.8357
2023-11-07,0.3818
2023-11-07,0.9983
2023-11-07,0.9974
2023-11-07,0.9882
2023-11-01,0.1027
2023-10-31,0.988
2023-10-31,0
2023-10-31,0.9844
2023-10-30,0.296
2023-10-27,0.9949
2023-10-27,-0.9842
2023-10-27,0
2023-10-27,0.8658
2023-10-26,-0.3919
2023-10-26,0
2023-10-26,0.9474
2023-10-26,0
2023-10-26,0.9987
2023-10-26,-0.7584
2023-10-26,0
2023-10-25,0.3887
2023-10-25,0.9823
2023-10-25,0.34
2023-10-25,0.6908
2023-10-25,0.9852
2023-10-25,0.9322
2023-10-25,0.9322
2023-10-25,0.9483
2023-10-24,0.9501
2023-10-24,0.9501
2023-10-24,0
2023-10-24,0.959
2023-10-24,0
2023-10-24,0.9986
2023-10-23,-0.7531
2023-10-23,0.8761
2023-10-23,-0.7517
2023-10-20,0.83
2023-10-18,0.9992
2023-10-17,0
2023-10-13,0
2023-10-12,-0.128
2023-10-12,0.9954
2023-10-11,0.9652
2023-10-09,0.981
2023-10-07,-0.9887
2023-10-06,0
2023-10-06,0.9563
2023-10-05,0
2023-10-03,0.9969
2023-10-02,0.9864
2023-09-28,0.9854
2023-09-28,0.9971
2023-09-27,-0.7269
2023-09-22,0.9607
2023-09-22,0
2023-09-20,0.9919
2023-09-20,0.9842
2023-09-20,0.991
2023-09-20,0
2023-09-18,0.9903
2023-09-16,0.795
2023-09-15,0.795
2023-09-15,0
2023-09-13,0.9862
2023-09-13,0
2023-09-13,0.7184
2023-09-13,0
2023-09-12,0.7595
2023-09-06,0.4019
2023-09-05,0
2023-09-05,0.9877
2023-09-04,0.9717
2023-08-31,0.8687
2023-08-30,0.9973
2023-08-30,0.9575
2023-08-30,0.9951
2023-08-28,0.9977
2023-08-28,0
2023-08-22,0.9552
2023-08-22,0.9118
2023-08-22,0
2023-08-22,0
2023-08-20,-0.0772
2023-08-19,-0.0772
2023-08-18,-0.0772
2023-08-18,0.6705
2023-08-17,0.9993
2023-08-15,0.9925
2023-08-10,0
2023-08-09,0.9942
2023-08-03,0.9977
2023-08-01,0.6369
2023-07-31,0.9719
2023-07-31,0.9907
2023-07-24,0.296
2023-07-21,0.9832
2023-07-20,0.6059
2023-07-20,0
2023-07-20,0.875
2023-07-20,0.975
2023-07-20,0
2023-07-20,-0.955
2023-07-20,0
2023-07-20,0
2023-07-19,0.959
2023-07-19,0.6712
2023-07-19,0.4215
2023-07-19,0.3818
2023-07-19,0.9246
2023-07-18,0.5187
2023-07-17,0.9881
2023-07-17,0
2023-07-14,0
2023-07-13,0.9818
2023-07-13,0
2023-07-12,0.9948
2023-07-11,0.1984
2023-07-07,0.9407
2023-07-07,0
2023-07-07,0
2023-06-30,0.9224
2023-06-30,0
2023-06-27,-0.9509
2023-06-26,0
2023-06-26,0.7264
2023-06-26,0.3182
2023-06-26,0
2023-06-26,0.8658
2023-06-24,0.9917
2023-06-23,-0.25
2023-06-23,0
2023-06-22,0.8442
2023-06-14,0.749
2023-06-09,0.9959
2023-06-01,-0.4767
2023-05-29,-0.9827
2023-05-26,0.9875
2023-05-24,0.8495
2023-05-22,0.9794
2023-05-17,0.3612
2023-05-17,0.9299
2023-05-16,0.9808
2023-05-15,0.9976
2023-05-12,0.7487
2023-05-10,0.9856
2023-05-09,0.9894
2023-05-09,0.9992
2023-05-08,0.3071
2023-05-07,0.7876
2023-05-06,0.7876
2023-05-05,0.7876
2023-05-02,0.5719
2023-05-02,-0.9712
2023-05-02,0
2023-05-02,0.4767
2023-05-01,0
2023-04-26,0.7579
2023-04-25,0.5423
2023-04-23,0.6629
2023-04-21,0.9726
2023-04-20,-0.9629
2023-04-20,-0.5702
2023-04-20,0
2023-04-20,0.3182
2023-04-20,0.9979
2023-04-20,-0.9917
2023-04-20,0.9724
2023-04-20,-0.9469
2023-04-20,0
2023-04-20,-0.6362
2023-04-20,0
2023-04-19,0.9612
2023-04-19,0.1027
2023-04-19,-0.9068
2023-04-19,0.6249
2023-04-19,-0.8115
2023-04-19,0
2023-04-18,0.1531
2023-04-17,0.9889
2023-04-17,0.8793
2023-04-17,0.9956
2023-04-16,0.9153
2023-04-16,0.8621
2023-04-14,0.9956
2023-04-13,0.5106
2023-04-13,0
2023-04-12,0
2023-04-12,0.9527
2023-04-12,0
2023-04-06,0
