Date,Score
2023-12-08,1
2023-12-08,0.9961
2023-12-05,0.9947
2023-11-24,-0.4019
2023-11-24,0.9959
2023-11-23,-0.9978
2023-11-20,0
2023-11-14,0.6486
2023-11-14,0.7184
2023-11-13,0.9712
2023-11-13,0.9528
2023-11-13,0
2023-11-10,0.6908
2023-11-09,0.6369
2023-11-08,0.9901
2023-11-08,0.7701
2023-11-07,0.9681
2023-11-06,0.9529
2023-11-05,0.994
2023-11-03,0.9509
2023-11-01,0.989
2023-11-01,0.9902
2023-10-31,0.9908
2023-10-31,0.9614
2023-10-31,0.9587
2023-10-30,0.6658
2023-10-30,-0.7294
2023-10-30,0.9825
2023-10-30,0
2023-10-27,0
2023-10-26,0.9974
2023-10-26,0.9959
2023-10-26,0.9382
2023-10-26,0.5499
2023-10-26,0
2023-10-25,0
2023-10-25,0.9716
2023-10-25,0.9958
2023-10-25,0
2023-10-25,0
2023-10-25,0
2023-10-24,0.9046
2023-10-24,0.9661
2023-10-24,0.9543
2023-10-24,0.9519
2023-10-24,0
2023-10-24,0.9178
2023-10-24,0.9109
2023-10-24,0.9178
2023-10-24,0.9109
2023-10-24,0.995
2023-10-24,-0.1531
2023-10-24,0.9574
2023-10-24,0.9728
2023-10-24,0.9855
2023-10-24,-0.6956
2023-10-24,-0.6956
2023-10-24,0.9732
2023-10-24,0.9674
2023-10-24,0.7845
2023-10-24,0.9232
2023-10-24,0.9893
2023-10-23,0.9825
2023-10-23,0.93
2023-10-23,0.982
2023-10-23,-0.96
2023-10-22,0.96
2023-10-20,0.9022
2023-10-20,-0.9543
2023-10-20,0.9571
2023-10-19,0.296
2023-10-17,0.9723
2023-10-17,0
2023-10-16,0.9922
2023-10-16,0.9821
2023-10-16,0
2023-10-16,0
2023-10-13,0
2023-10-11,0
2023-10-10,0.9935
2023-10-10,0.9995
2023-10-09,0
2023-10-06,0.9814
2023-10-06,0
2023-10-05,0
2023-10-05,0
2023-09-22,0.9925
2023-09-21,0.8807
2023-09-21,0
2023-09-21,0.8781
2023-09-11,0.9933
2023-09-06,0.128
2023-08-31,0.9842
2023-08-20,0.9976
2023-08-18,0.9623
2023-08-16,0.9337
2023-08-14,0.9974
2023-08-14,0.9201
2023-08-14,0
2023-08-11,0.996
2023-08-09,0.9349
2023-08-04,0
2023-08-03,0.34
2023-08-02,0.0165
2023-08-02,0.7584
2023-08-02,0.9743
2023-08-02,0.34
2023-08-02,0.9977
2023-08-01,-0.1497
2023-07-31,0.4767
2023-07-28,0.5994
2023-07-28,0.962
2023-07-27,0.9613
2023-07-27,0.9534
2023-07-27,0
2023-07-27,0
2023-07-26,0.9923
2023-07-26,0
2023-07-26,0.9081
2023-07-26,0.9148
2023-07-26,0.9896
2023-07-26,0.9018
2023-07-26,0.9377
2023-07-26,0.7845
2023-07-26,0.9732
2023-07-26,0.9876
2023-07-25,0.8481
2023-07-24,0.9441
2023-07-24,0.8442
2023-07-19,0.296
2023-07-19,0.886
2023-07-18,0.9729
2023-07-14,0.998
2023-07-14,-0.9984
2023-07-14,0
2023-07-14,-0.9877
2023-07-14,0.9071
2023-07-13,0.9817
2023-07-13,-0.9953
2023-07-13,0.9721
2023-07-13,0.6735
2023-07-10,0.34
2023-07-10,0.9064
2023-07-07,0.9299
2023-07-03,-0.7017
2023-06-30,0.9625
2023-06-30,0.8934
2023-06-30,-0.4215
2023-06-29,-0.9951
2023-06-28,0.9682
2023-06-23,0.0258
2023-06-07,0
2023-06-05,0.9944
2023-05-24,0.8495
2023-05-18,0.9738
2023-05-16,0.791
2023-05-15,0
2023-05-10,0.9614
2023-05-04,0.9982
2023-05-03,0.9829
2023-04-28,0.9776
2023-04-28,0.9959
2023-04-28,-0.9163
2023-04-27,0.5187
2023-04-26,0.296
2023-04-26,0.9493
2023-04-26,0.9868
2023-04-26,0.9935
2023-04-26,0
2023-04-25,0.9905
2023-04-25,0.9775
2023-04-25,0.9299
2023-04-25,0
2023-04-24,0.9552
2023-04-24,0.9372
2023-04-24,0.9326
2023-04-24,0.9785
2023-04-24,0.5507
2023-04-24,0.9169
2023-04-24,0.3182
2023-04-24,-0.6757
2023-04-24,0.7845
2023-04-24,-0.9713
2023-04-23,0.699
2023-04-17,0
2023-04-14,0
2023-04-13,-0.9839
2023-04-13,0
2023-04-04,-0.81
2023-03-31,0.9446
2023-03-23,0.9874
2023-03-22,0.9911
2023-03-20,0
2023-03-17,0.969
2023-03-09,0.9403
2023-03-08,0.9584
2023-03-01,0.9776
2023-02-28,-0.4767
2023-02-28,-0.4588
2023-02-28,0
2023-02-25,0.9936
2023-02-24,0.9246
2023-02-22,0.9498
2023-02-21,0.9567
2023-02-21,0.9972
2023-02-20,0.9708
2023-02-20,0
2023-02-20,0.9459
2023-02-20,0.5423
2023-02-17,0.979
2023-02-16,0.6855
2023-02-16,-0.6494
2023-02-15,0
2023-02-15,0
2023-02-15,0
2023-02-14,0.8477
2023-02-14,0.9975
2023-02-14,0.9916
2023-02-14,0.9905
2023-02-14,0.9439
2023-02-14,0.9151
2023-02-14,0.9806
2023-02-14,0.9676
2023-02-14,0.3182
2023-02-14,0.8934
2023-02-14,0
2023-02-14,0.4215
2023-02-14,-0.9233
2023-02-14,0.9601
2023-02-14,0.8775
2023-02-13,0.91
2023-02-13,0.9738
2023-02-13,0.9705
2023-02-13,-0.9574
2023-02-13,-0.9428
2023-02-13,-0.9799
2023-02-12,0.2263
2023-02-12,0.8402
2023-02-10,0.9349
2023-02-10,0
2023-02-10,0
2023-02-10,-0.9823
2023-02-09,-0.9557
2023-02-09,0.9517
2023-02-09,0.986
2023-02-09,0.8192
2023-02-07,0
2023-02-06,0.982
