Date,Score
2023-12-08,-0.3628
2023-12-08,0
2023-12-07,0.9652
2023-12-07,0.9872
2023-12-07,0.9893
2023-12-07,0
2023-12-07,0
2023-12-06,0.8519
2023-12-04,0.9848
2023-12-04,0.9912
2023-12-04,0.9848
2023-12-04,0.9912
2023-11-30,0
2023-11-28,0
2023-11-27,0.6795
2023-11-23,-0.9978
2023-11-21,0.9903
2023-11-20,0.9969
2023-11-20,0
2023-11-08,0.7701
2023-11-08,0.8979
2023-11-08,0.5423
2023-11-08,0.5423
2023-11-04,0.995
2023-11-01,0.9958
2023-10-31,0
2023-10-31,0.9876
2023-10-31,0
2023-10-31,0
2023-10-31,0
2023-10-31,0
2023-10-31,0
2023-10-30,0.9144
2023-10-30,0.9947
2023-10-30,0.9861
2023-10-30,0.9032
2023-10-30,0.9578
2023-10-30,0.9794
2023-10-30,0.6369
2023-10-30,0
2023-10-30,0.9819
2023-10-30,0.9806
2023-10-30,0.9869
2023-10-30,0.9419
2023-10-30,0.9781
2023-10-30,0.8779
2023-10-30,0.9932
2023-10-30,0.8402
2023-10-30,0.9922
2023-10-30,0.6908
2023-10-30,0.9565
2023-10-30,0.9653
2023-10-29,0.9902
2023-10-27,0.9343
2023-10-27,0.996
2023-10-26,-0.048
2023-10-26,0.9325
2023-10-25,0.4404
2023-10-24,0
2023-10-24,0
2023-10-23,0
2023-10-23,0
2023-10-23,0
2023-10-23,0
2023-10-20,0
2023-10-19,0
2023-10-18,0
2023-10-18,0
2023-10-18,0.8653
2023-10-17,0
2023-10-13,0
2023-10-11,0
2023-10-09,0
2023-10-09,0
2023-10-06,0.9936
2023-10-06,0
2023-10-06,0
2023-10-05,0.9217
2023-10-05,0.5423
2023-10-04,0.9978
2023-10-04,0.9913
2023-10-03,0
2023-10-02,-0.9159
2023-10-02,0
2023-10-02,0
2023-09-27,0.8398
2023-09-22,0.872
2023-09-21,0.8807
2023-09-20,0.5267
2023-09-20,0
2023-09-08,0.9957
2023-09-07,0.8979
2023-09-07,-0.34
2023-09-07,0.0258
2023-09-07,0
2023-09-07,0
2023-09-06,0.8402
2023-09-06,0.9817
2023-08-30,0.8834
2023-08-29,-0.9497
2023-08-28,0.6542
2023-08-28,0.99
2023-08-25,0.9881
2023-08-24,0.9918
2023-08-24,0.9741
2023-08-22,0
2023-08-18,-0.9421
2023-08-02,0.3182
2023-08-02,0.7584
2023-07-31,-0.8671
2023-07-28,0
2023-07-28,0
2023-07-28,0
2023-07-28,0
2023-07-28,0
2023-07-28,0
2023-07-28,0
2023-07-28,0
2023-07-28,0
2023-07-28,0
2023-07-28,0.9973
2023-07-28,0
2023-07-28,0
2023-07-27,-0.3021
2023-07-27,0.8126
2023-07-27,0.8516
2023-07-27,0.9919
2023-07-27,0.7351
2023-07-27,0.9854
2023-07-27,0.6908
2023-07-27,0.9886
2023-07-27,0.9868
2023-07-27,0.7717
2023-07-27,0.9502
2023-07-26,0.7964
2023-07-25,-0.8686
2023-07-25,0.296
2023-07-25,0.9833
2023-07-24,0.9848
2023-07-24,0.8442
2023-07-24,0.9553
2023-07-21,0.9432
2023-07-21,0
2023-07-21,0
2023-07-21,0
2023-07-20,0.9823
2023-07-20,0
2023-07-20,0
2023-07-19,0
2023-07-19,0
2023-07-19,0
2023-07-18,0
2023-07-17,0
2023-07-14,0
2023-07-13,0
2023-07-13,0.9442
2023-07-10,0.5325
2023-07-07,-0.9815
2023-06-23,0.9909
2023-06-19,0.6124
2023-06-16,0.9705
2023-06-13,0.6597
2023-06-13,0
2023-06-13,0
2023-06-07,0.9687
2023-06-06,0.5194
2023-06-01,-0.2597
2023-05-26,0.9897
2023-05-25,0.296
2023-05-22,0.9897
2023-05-19,0.9897
2023-05-18,0.9738
2023-05-11,-0.9559
2023-05-08,-0.8884
2023-05-05,0.9778
2023-05-03,-0.881
2023-05-03,0.96
2023-05-02,0.9895
2023-05-02,0.9948
2023-05-02,0.9207
2023-04-28,0.9681
2023-04-28,-0.9772
2023-04-27,0.5187
2023-04-26,0
2023-04-26,0.8938
2023-04-26,0
2023-04-26,0
2023-04-25,0.9727
2023-04-25,0.9905
2023-04-25,-0.9741
2023-04-25,0
2023-04-25,0.5356
2023-04-25,0
2023-04-25,0.9696
2023-04-25,0.8643
2023-04-25,0.4767
2023-04-25,0.3182
2023-04-25,0.8402
2023-04-25,0.6908
2023-04-25,0.4939
2023-04-25,0.8955
2023-04-25,0.9778
2023-04-24,0.9552
2023-04-24,0.875
2023-04-23,0.699
2023-04-21,0
2023-04-21,0.7845
2023-04-21,0
2023-04-21,0
2023-04-18,0.997
2023-04-18,0.9672
2023-04-17,0.9118
2023-04-17,0
2023-04-17,0.9091
2023-04-17,0
2023-04-13,0.9428
2023-04-13,0
2023-04-10,0
2023-04-10,0
2023-04-07,0
2023-04-07,0.8481
2023-04-06,0.9714
2023-04-06,0
2023-04-06,0
2023-04-04,0
2023-04-03,-0.8047
2023-04-03,0.7964
2023-04-03,0
2023-04-03,0.3182
2023-04-03,0.7506
2023-04-03,-0.9928
2023-04-03,-0.9759
2023-04-02,-0.0772
2023-04-02,0
2023-03-29,0.8944
2023-03-29,0.9978
2023-03-28,-0.9933
2023-03-28,-0.9284
2023-03-24,0.9648
2023-03-24,0
2023-03-24,0
2023-03-14,0
2023-03-14,0
2023-03-09,0
2023-03-09,0
2023-03-08,0.994
2023-03-08,0.8095
2023-03-08,0
2023-03-01,0.8681
2023-02-27,0
2023-02-27,0
2023-02-23,0.6124
2023-02-23,-0.8176
2023-02-14,-0.4981
2023-02-13,0.9732
2023-02-07,0.9928
2023-02-01,0
2023-02-01,0
2023-02-01,0
2023-02-01,0
2023-02-01,0
2023-02-01,0
2023-01-31,0.9785
2023-01-31,0.836
2023-01-31,0.9692
2023-01-31,0.9784
2023-01-31,0
2023-01-31,0.9231
2023-01-31,0.34
2023-01-31,0.9793
2023-01-31,0.9969
2023-01-31,0.9753
2023-01-31,-0.5574
2023-01-31,0.3182
2023-01-31,-0.5574
2023-01-31,0.4404
2023-01-31,0.6908
2023-01-31,0.983
2023-01-31,0.9643
2023-01-31,0.9683
2023-01-30,0.9153
2023-01-30,0.9745
2023-01-30,0.91
2023-01-30,0
2023-01-30,0.9976
2023-01-30,0
2023-01-30,0.8636
2023-01-27,-0.09
2023-01-27,0.9873
2023-01-27,0.9655
2023-01-26,-0.9729
2023-01-25,0.9823
2023-01-25,0
2023-01-24,-0.463
2023-01-24,0
2023-01-23,0
2023-01-23,0.3818
2023-01-23,0
2023-01-23,-0.9944
2023-01-22,-0.9997
2023-01-20,0.8745
2023-01-18,0
2023-01-18,0
2023-01-17,0.128
2023-01-17,0.8621
2023-01-16,0.128
2023-01-11,0
2023-01-09,-0.9683
2023-01-06,0.8896
2023-01-06,0.9799
2023-01-06,-0.987
2023-01-06,0.8606
2023-01-06,-0.7645
2023-01-06,0.5106
2023-01-05,0
2023-01-05,0
2022-12-29,0.2944
2022-12-27,0
2022-12-23,-0.9453
2022-12-21,0.9743
2022-12-21,0
2022-12-16,-0.8454
2022-12-16,0.899
2022-12-12,0.9437
2022-12-11,0.991
2022-12-05,-0.8625
2022-12-01,0
2022-11-29,0.5574
2022-11-18,0.8836
2022-11-17,0.6908
2022-11-17,0.7845
2022-11-16,0.8934
2022-11-11,-0.9115
2022-11-11,-0.2732
2022-11-09,0.9648
2022-11-03,0.9812
2022-11-03,0.9853
2022-11-02,0.9833
2022-10-31,0
2022-10-28,0
2022-10-28,0
2022-10-28,0
2022-10-28,0
2022-10-28,0
2022-10-28,0
2022-10-28,0
2022-10-28,0
2022-10-27,0.9737
2022-10-27,0
2022-10-27,0
2022-10-27,0.9696
2022-10-27,0
2022-10-27,0.9246
2022-10-27,0.9442
2022-10-27,0
2022-10-27,0
2022-10-27,-0.6762
2022-10-27,0.9535
2022-10-27,0.9776
2022-10-27,0.4404
2022-10-27,0.9593
2022-10-26,0.7845
2022-10-24,0
2022-10-21,0
2022-10-21,0
2022-10-20,0
2022-10-19,0
2022-10-19,0
2022-10-16,0.9932
2022-10-12,-0.9901
2022-10-11,0
2022-10-11,0.993
2022-10-04,0.2059
2022-10-01,0.3427
2022-09-30,0.8877
2022-09-29,0.8591
2022-09-27,-0.7975
2022-09-27,0
2022-09-26,0.4215
2022-09-22,0
2022-09-20,0.7615
2022-09-20,-0.5794
2022-09-20,-0.7383
2022-09-14,-0.9881
2022-09-08,0.9696
2022-09-08,-0.34
2022-09-07,0
2022-09-07,0.2263
2022-09-07,0.796
2022-09-07,0
2022-09-06,0.5859
2022-09-06,0.5594
2022-09-01,0.9793
2022-08-30,0.9625
2022-08-30,0
2022-08-29,0.9625
2022-08-26,0.8925
2022-08-25,-0.9367
2022-08-22,-0.8176
2022-08-19,0.9136
2022-08-19,0.9091
2022-08-17,0.994
2022-08-16,0.9559
2022-08-16,0
2022-08-15,0
2022-08-11,0.25
2022-08-10,0.9976
2022-08-10,0.8497
2022-08-05,0.9524
2022-08-04,-0.7351
2022-08-03,0.8958
2022-08-03,0.7867
2022-08-03,0.9001
2022-08-01,-0.961
2022-07-29,0.8934
2022-07-28,-0.9692
2022-07-28,0.4416
2022-07-28,0
2022-07-28,0.9274
2022-07-27,0.9708
2022-07-27,0
2022-07-27,0
2022-07-27,0
2022-07-27,0
2022-07-27,0
2022-07-27,0
2022-07-27,0
2022-07-27,0
2022-07-26,0.9769
2022-07-26,0.8614
2022-07-26,0.9774
2022-07-26,0
2022-07-26,0
2022-07-26,0.985
2022-07-26,0.9788
2022-07-26,-0.2568
2022-07-26,0.7425
2022-07-26,0.7615
2022-07-26,0.9927
2022-07-26,0.3182
2022-07-26,0.4404
2022-07-26,0.4566
2022-07-26,0.9432
2022-07-25,0.7351
2022-07-25,-0.8802
2022-07-24,0.9473
2022-07-15,-0.9601
2022-07-11,-0.9575
2022-07-08,-0.9875
2022-07-07,-0.9136
2022-07-06,0.8625
2022-07-05,-0.25
2022-07-05,0.4118
2022-07-03,-0.9877
2022-07-01,-0.8957
2022-06-30,-0.6808
2022-06-29,-0.3612
2022-06-29,0.9905
2022-06-29,0.3182
2022-06-27,0.7672
2022-06-27,-0.5267
2022-06-27,0.3182
2022-06-24,0.204
2022-06-23,0.9862
2022-06-23,-0.9081
2022-06-23,0.9267
2022-06-23,0.9464
2022-06-23,-0.9677
2022-06-22,0.9923
2022-06-21,0.9807
2022-06-17,-0.1027
2022-06-16,-0.8378
2022-06-16,-0.8933
2022-06-16,0.3182
2022-06-16,-0.8607
2022-06-16,-0.9927
2022-06-16,-0.7579
2022-06-15,-0.7768
2022-06-13,-0.9349
2022-06-13,-0.5279
2022-06-13,0.9893
2022-06-12,-0.5605
2022-06-10,0.9472
2022-06-09,0.6249
2022-06-08,-0.996
2022-06-06,-0.9463
2022-06-05,0.875
2022-06-03,0.344
2022-06-03,0.743
2022-06-02,0.4215
2022-06-01,0.913
2022-05-27,0.3182
2022-05-26,-0.9711
2022-05-26,0.8248
2022-05-26,0
2022-05-26,-0.6536
2022-05-25,0.429
2022-05-25,0.4706
2022-05-25,-0.6483
2022-05-24,0.0258
2022-05-24,-0.9962
2022-05-23,0.8705
2022-05-23,-0.999
2022-05-23,0.1321
2022-05-20,-0.9776
2022-05-20,-0.3612
2022-05-20,0.6238
2022-05-20,-0.8555
2022-05-19,0.7635
2022-05-18,-0.9712
2022-05-17,-0.2074
2022-05-17,0.7579
2022-05-17,-0.9396
2022-05-17,-0.9437
2022-05-16,-0.9527
2022-05-16,-0.9609
2022-05-16,0.1531
2022-05-16,0.3182
2022-05-16,-0.7351
2022-05-16,-0.9573
2022-05-16,-0.9738
2022-05-12,-0.9701
2022-05-11,0.5187
2022-05-06,-0.9667
2022-05-05,-0.9694
2022-05-03,0.4297
2022-05-03,-0.9246
2022-05-01,-0.5023
2022-04-29,0.9819
2022-04-29,-0.0066
2022-04-29,-0.9032
2022-04-28,0.9952
2022-04-28,0.9946
2022-04-28,0.9828
2022-04-28,0.9505
2022-04-28,0.5235
2022-04-28,0.3182
2022-04-28,0.4404
2022-04-28,0.9946
2022-04-27,0.296
2022-04-27,0.4939
2022-04-27,0.5995
2022-04-14,-0.9899
2022-04-13,0.3291
2022-04-11,0.9676
2022-04-07,0.3291
2022-04-05,-0.9451
2022-04-04,-0.8402
2022-04-04,0.2035
2022-03-30,0.9613
2022-03-29,-0.3182
2022-03-29,0.9532
2022-03-29,-0.9678
2022-03-28,-0.6597
2022-03-28,0.4404
2022-03-25,0.9287
2022-03-22,0.961
2022-03-22,0.9729
2022-03-21,-0.9118
2022-03-18,0.8617
2022-03-18,0.6478
2022-03-17,-0.2732
2022-03-17,0.9042
2022-03-14,-0.9726
2022-03-11,-0.9349
2022-03-11,0.8855
2022-03-11,-0.2732
2022-03-10,0.9605
2022-03-10,-0.813
2022-03-10,-0.6247
2022-03-10,0.9695
2022-03-09,-0.9627
2022-03-09,0.6597
2022-03-09,-0.34
2022-03-09,-0.6269
2022-03-09,-0.296
2022-03-09,-0.5423
2022-03-09,-0.9639
2022-03-09,-0.9846
2022-03-09,-0.9803
2022-03-09,-0.9884
2022-03-08,-0.8565
2022-03-08,-0.9348
2022-03-08,0.5241
2022-03-08,-0.9949
2022-03-08,-0.9986
2022-03-08,-0.4939
2022-03-08,0.7879
2022-03-08,0.4019
2022-03-07,-0.9846
2022-03-07,-0.9366
2022-03-04,0.7269
2022-03-03,-0.9138
2022-03-03,0.4019
2022-03-03,0.8957
2022-03-03,0.8948
2022-03-03,0.1279
2022-02-25,-0.9274
2022-02-22,-0.5267
2022-02-21,0.836
2022-02-15,0.7487
2022-02-08,0.824
2022-02-08,0.6808
2022-02-02,0.8658
2022-02-01,0.9393
2022-01-27,0.9831
2022-01-27,0.9001
2022-01-27,0.887
2022-01-26,0.7506
2022-01-26,0.8346
2022-01-26,0.9332
2022-01-23,0.9917
2022-01-21,-0.9451
2022-01-21,0.946
2022-01-20,0.8316
2022-01-18,0.9468
2022-01-12,0.9812
2022-01-12,-0.9923
2022-01-11,0.1779
2022-01-10,0.9825
2022-01-10,-0.9664
2022-01-07,0.9787
2022-01-07,-0.7184
2022-01-03,0.836
2021-12-22,0.7591
2021-12-21,0.0516
2021-12-18,-0.9833
2021-12-16,-0.928
2021-12-15,0.9451
2021-12-14,-0.2212
2021-12-14,-0.5255
2021-12-14,0.3182
2021-12-10,0.3367
2021-12-08,0.0258
2021-12-01,0.8176
2021-12-01,-0.6369
2021-11-22,0.9451
2021-11-18,0.9565
2021-11-18,0.6705
2021-11-15,0.9299
2021-11-15,-0.5859
2021-11-11,-0.9503
2021-11-10,0.9657
2021-11-08,-0.9733
2021-11-05,-0.9382
2021-11-04,0.9807
2021-11-03,0.5574
2021-11-01,0.9081
2021-10-29,0.961
2021-10-28,0.9231
2021-10-28,0.9871
2021-10-27,0.5574
2021-10-27,0.8374
2021-10-27,0.9589
2021-10-27,0.9371
2021-10-27,0.9565
2021-10-27,0.9559
2021-10-27,0.3182
2021-10-27,0.9435
2021-10-26,0.9726
2021-10-26,-0.2734
2021-10-25,0.3612
2021-10-25,0.8524
2021-10-22,0.4939
2021-10-20,0.9887
2021-10-20,0.8807
2021-10-20,-0.9888
2021-10-20,0.9657
2021-10-15,0.9041
2021-10-14,0.5423
2021-10-14,-0.2263
2021-10-13,0.8294
2021-10-11,0.9371
2021-10-11,0.5719
2021-10-10,0.9963
2021-10-10,0.5719
2021-10-04,0.8271
2021-10-04,0.7096
2021-10-01,-0.9153
2021-09-29,0.9966
2021-09-23,-0.4215
2021-09-21,-0.8176
2021-09-20,0.984
2021-09-16,-0.9873
2021-09-16,-0.8625
2021-09-16,0.1779
2021-09-10,-0.8316
2021-09-09,0.8708
2021-09-09,0.9793
2021-09-09,0.9114
2021-09-08,0.9766
2021-09-03,-0.3549
2021-09-02,0.9672
2021-09-02,0.0516
2021-08-31,-0.9777
2021-08-30,0.8201
2021-08-30,-0.8934
2021-08-30,-0.8405
2021-08-28,-0.8934
2021-08-27,0.5404
2021-08-26,0.3726
2021-08-26,-0.9728
2021-08-24,0.9186
2021-08-24,0.9643
2021-08-24,0.9403
2021-08-20,0.8176
2021-08-20,-0.5423
2021-08-17,0.9638
2021-08-16,0.9451
2021-08-13,0.8886
2021-08-12,0.9745
2021-08-12,0.7717
2021-08-11,0.0516
2021-08-11,0.9756
2021-08-10,0.9943
2021-08-10,0.9657
2021-08-10,0.9451
2021-08-09,-0.8979
2021-08-09,0.9842
2021-08-06,0.7184
2021-08-04,0.4939
2021-08-03,0.9022
2021-08-03,0.8091
2021-08-03,0.6369
2021-08-02,-0.0516
2021-07-30,0.9371
2021-07-30,0.9803
2021-07-29,0.9451
2021-07-29,0.9638
2021-07-29,0.9595
2021-07-29,0.9451
2021-07-29,0.9451
2021-07-29,0.9451
2021-07-28,0.9451
2021-07-28,-0.0516
2021-07-28,0.8225
2021-07-28,0.9836
2021-07-28,0.1531
2021-07-28,0.9152
2021-07-28,0.3182
2021-07-28,0.9282
2021-07-28,0.9704
2021-07-27,0.8945
2021-07-27,0.9169
2021-07-26,0.9809
2021-07-25,0.9865
2021-07-23,0.802
2021-07-20,0.93
2021-07-19,0.9898
2021-07-15,0.997
2021-07-14,0.9927
2021-07-06,0
2021-07-01,0.9843
2021-06-30,0.9928
2021-06-29,0.9349
2021-06-29,0.9773
2021-06-25,0.9451
2021-06-23,0.9803
2021-06-23,0.8968
2021-06-22,0.997
2021-06-22,0.9927
2021-06-22,0.9169
2021-06-16,0.9577
2021-06-11,-0.8126
2021-06-11,0.8429
2021-06-11,-0.024
2021-06-09,0.9786
2021-06-09,-0.9432
2021-06-08,0.936
2021-06-08,0.8225
2021-06-02,0.9915
2021-05-27,0.9451
2021-05-24,-0.2003
2021-05-23,0.9451
2021-05-20,0.7504
2021-05-20,0.9886
2021-05-19,0.8591
2021-05-19,0.9923
2021-05-19,0.9853
2021-05-19,0.8885
2021-05-18,0.9444
2021-05-18,0.8225
2021-05-16,-0.9778
2021-05-13,0.886
2021-05-13,-0.1779
2021-05-13,0.8979
2021-05-12,-0.9559
2021-05-12,0.9833
2021-05-11,0.9541
2021-05-10,0.9578
2021-05-06,0.886
2021-05-05,0.8176
2021-05-03,0.9451
2021-04-30,0.9451
2021-04-30,0.9887
2021-04-30,0.9451
2021-04-29,0.9768
2021-04-29,0.8746
2021-04-29,0.3182
2021-04-29,0.9846
2021-04-29,0.9652
2021-04-29,0.9788
2021-04-27,0.6249
2021-04-27,0.9451
2021-04-25,0.9961
2021-04-22,-0.7269
2021-04-22,0.9657
2021-04-21,0.8481
2021-04-21,0.9958
2021-04-19,0.8591
2021-04-14,0.4215
2021-04-12,0.9451
2021-04-12,0.8537
2021-04-09,0.714
2021-04-08,0.8126
2021-04-08,0.4588
2021-04-06,-0.6249
2021-04-06,0.9743
2021-04-06,0.9674
2021-03-31,0.9936
2021-03-29,-0.9841
2021-03-24,0.9451
2021-03-21,-0.9869
2021-03-20,0.8402
2021-03-19,0.8402
2021-03-17,0.985
2021-03-17,0.9313
2021-03-15,0.9371
2021-03-15,0.6901
2021-03-11,0.8625
2021-03-04,0.4019
2021-02-26,0.3182
2021-02-25,0.31
2021-02-25,0.8011
2021-02-22,-0.0772
2021-02-19,0.9337
2021-02-18,0.9118
2021-02-16,0.9968
2021-02-12,0.9654
2021-02-09,0.8126
2021-02-09,0.9751
2021-02-06,-0.9025
2021-02-02,0.9917
2021-02-02,-0.296
2021-01-31,0.9972
2021-01-29,0.9313
2021-01-29,-0.2732
2021-01-29,0.9313
2021-01-29,0.9313
2021-01-28,-0.3197
2021-01-28,0.3182
2021-01-28,-0.9791
2021-01-28,-0.1041
2021-01-25,0.9313
2021-01-14,-0.6808
2021-01-08,0.7269
2021-01-07,0.9531
2021-01-07,0.6908
2021-01-07,0.9531
2021-01-07,0.7351
2021-01-05,0.3182
2021-01-04,0.9928
2021-01-04,0.872
2020-12-31,0.128
2020-12-22,-0.6205
2020-12-14,-0.25
2020-12-14,0.986
2020-12-09,0.9313
2020-12-02,0.9979
2020-12-02,-0.8316
2020-12-01,-0.1531
2020-11-18,0.875
2020-11-13,0.9656
2020-11-13,-0.3182
2020-11-10,0.9531
2020-11-10,0.9583
2020-11-10,0.7574
2020-11-10,-0.8176
2020-11-10,0.3484
2020-11-10,-0.3127
2020-11-10,0.3182
2020-11-10,0.9633
2020-11-09,0.0772
2020-11-09,0.5615
2020-11-09,0.8496
2020-11-09,-0.8074
2020-11-09,-0.0644
2020-11-09,0.9777
2020-11-09,0.9874
2020-11-09,-0.25
2020-11-09,0.9658
