Date,Score
2023-12-14,0.9888
2023-12-13,0.9538
2023-12-13,0.9996
2023-12-13,0.9872
2023-12-12,-0.996
2023-12-12,0.9748
2023-12-12,0.9872
2023-12-11,-0.9022
2023-12-10,-0.8519
2023-12-10,-0.9891
2023-12-10,-0.9776
2023-12-08,0.9225
2023-12-08,0.9052
2023-12-08,0.9997
2023-12-08,0
2023-12-07,0
2023-12-07,0
2023-12-06,-0.5571
2023-12-06,0.7319
2023-12-06,-0.9833
2023-12-06,0.9869
2023-12-06,0.9825
2023-12-06,0.9817
2023-12-04,-0.9731
2023-12-04,0.8746
2023-12-04,-0.6703
2023-12-04,-0.772
2023-12-04,-0.9831
2023-12-04,0.6124
2023-12-04,-0.803
2023-12-04,-0.9861
2023-12-01,-0.8835
2023-11-30,0.9792
2023-11-30,0.9989
2023-11-30,-0.9889
2023-11-30,0.9665
2023-11-30,-0.9278
2023-11-29,-0.9278
2023-11-29,-0.9818
2023-11-29,-0.9517
2023-11-29,0
2023-11-28,-0.9994
2023-11-28,-0.9549
2023-11-28,0
2023-11-28,0
2023-11-27,-0.9633
2023-11-27,0
2023-11-27,-0.9949
2023-11-27,0.3064
2023-11-26,-0.7845
2023-11-24,0
2023-11-24,-0.9814
2023-11-23,0.9747
2023-11-23,0.7012
2023-11-23,0.8625
2023-11-22,-0.875
2023-11-20,0.7351
2023-11-20,0
2023-11-20,0.9939
2023-11-20,0.9946
2023-11-20,0.4215
2023-11-20,0.7717
2023-11-19,0.9935
2023-11-19,0.7717
2023-11-18,0.9723
2023-11-15,0.993
2023-11-15,0.9937
2023-11-15,0.9517
2023-11-15,0.5095
2023-11-15,-0.9702
2023-11-15,0.875
2023-11-15,-0.4939
2023-11-15,0
2023-11-15,0
2023-11-14,0.9907
2023-11-14,-0.9923
2023-11-14,0.7269
2023-11-14,0.8103
2023-11-14,0.9325
2023-11-14,0.9186
2023-11-14,0
2023-11-14,0.8885
2023-11-13,-0.9691
2023-11-13,0.9287
2023-11-11,-0.9995
2023-11-10,0.9797
2023-11-10,0.9954
2023-11-10,-0.9554
2023-11-10,0.6908
2023-11-10,0.9919
2023-11-10,0.996
2023-11-10,-0.0258
2023-11-10,0.6115
2023-11-09,0.7684
2023-11-09,0.986
2023-11-09,0.9853
2023-11-09,0.7184
