Date,Score
2023-12-08,0.9596
2023-12-08,0.9231
2023-12-08,0.945
2023-12-08,0.9995
2023-12-08,-0.4767
2023-12-08,0.9954
2023-12-08,0.9735
2023-12-08,0.9274
2023-12-07,0
2023-12-07,0.9798
2023-12-07,0.4588
2023-12-07,0.9959
2023-12-07,0.2023
2023-12-07,0.875
2023-12-07,0.9906
2023-12-06,-0.9711
2023-12-06,-0.9031
2023-12-06,0.2023
2023-12-06,0.991
2023-12-06,0.875
2023-12-06,-0.0129
2023-12-05,0.7351
2023-12-05,-0.6096
2023-12-05,0.9995
2023-12-05,0
2023-12-05,0.886
2023-12-05,0.839
2023-12-05,0
2023-12-04,-0.772
2023-12-04,-0.9831
2023-12-02,0.8948
2023-12-01,-0.8835
2023-12-01,0.9391
2023-12-01,0.9822
2023-12-01,0.9509
2023-11-30,0.956
2023-11-30,0.9994
2023-11-30,0.9996
2023-11-30,0.9991
2023-11-30,0.875
2023-11-30,0.9995
2023-11-30,0.99
2023-11-30,-0.5849
2023-11-30,0
2023-11-30,0.9888
2023-11-30,0.7876
2023-11-30,0.9779
2023-11-30,0.9054
2023-11-29,0.946
2023-11-29,0.9916
2023-11-29,0.296
2023-11-28,0.5994
2023-11-28,0
2023-11-28,0
2023-11-27,0.9981
2023-11-27,0.9981
2023-11-26,0.9979
2023-11-26,-0.7845
2023-11-24,-0.4019
2023-11-24,0.9785
2023-11-24,0.9747
2023-11-23,0.9747
2023-11-23,0.7012
2023-11-23,0.957
2023-11-23,-0.6124
2023-11-22,0.9879
2023-11-22,0
2023-11-22,0.9924
2023-11-22,0.9118
2023-11-22,0.9875
2023-11-22,0.9797
2023-11-22,0.9724
2023-11-22,0.9716
2023-11-22,0.6956
2023-11-22,0.879
2023-11-22,0
2023-11-22,0.9432
2023-11-22,0.9907
2023-11-22,0.875
2023-11-22,-0.9809
2023-11-22,-0.7096
2023-11-22,0.9855
2023-11-22,0.6369
2023-11-21,0.2732
2023-11-21,0.9864
2023-11-21,-0.8868
2023-11-21,0.9941
2023-11-21,-0.9274
2023-11-21,-0.9811
2023-11-21,0.9628
2023-11-21,-0.945
2023-11-21,0
2023-11-21,0.9531
2023-11-21,0.9349
2023-11-21,0.977
2023-11-21,0.765
2023-11-21,0.9752
2023-11-21,0
2023-11-21,-0.1027
2023-11-21,0.7351
2023-11-21,0.9845
2023-11-21,0
2023-11-21,0.989
2023-11-21,0.9935
2023-11-21,0.9602
2023-11-20,0.7269
2023-11-20,0.995
2023-11-20,0.992
2023-11-20,0.996
2023-11-20,0
2023-11-20,0.9817
2023-11-20,-0.3182
2023-11-20,0.9493
