Date,Score
2023-12-08,0.9997
2023-12-07,0
2023-12-06,0.9136
2023-12-06,0.8192
2023-12-06,0.9944
2023-12-04,0.982
2023-12-04,0.6901
2023-12-04,0
2023-12-04,0
2023-12-04,0.9946
2023-11-29,0.9993
2023-11-29,0.9952
2023-11-29,0.9974
2023-11-29,0.9952
2023-11-22,0
2023-11-21,-0.9947
2023-11-21,0
2023-11-17,0.9677
2023-11-16,0.992
2023-11-16,0.9952
2023-11-16,0.9909
2023-11-15,0.9923
2023-11-15,0
2023-11-11,0.9943
2023-11-10,0.9813
2023-11-10,0
2023-11-09,0.6124
2023-11-09,0.978
2023-11-09,0.9905
2023-11-09,0
2023-11-09,0.994
2023-11-09,0.9917
2023-11-09,0.9904
2023-11-08,0.9552
2023-11-08,-0.987
2023-11-07,0.93
2023-11-07,0.962
2023-11-04,0.7269
2023-11-04,0.9945
2023-11-03,0.7351
2023-11-03,0
2023-11-03,0.9855
2023-11-03,-0.3818
2023-11-03,0.967
2023-11-02,0.9652
2023-11-02,0.8881
2023-11-01,0
2023-11-01,0.296
2023-11-01,0.9442
2023-11-01,0.9705
2023-11-01,0.4767
2023-10-29,0.9617
2023-10-27,0.5237
2023-10-22,0.997
2023-10-20,0.9807
2023-10-20,0.4628
2023-10-20,0
2023-10-20,0.6354
2023-10-19,0.9866
2023-10-19,-0.9009
2023-10-19,0.9862
2023-10-19,0.9904
2023-10-19,0.2023
2023-10-19,0.664
2023-10-19,0.9964
2023-10-19,0.9817
2023-10-19,0
2023-10-19,0
2023-10-19,0
2023-10-19,0
2023-10-19,0.9855
2023-10-19,0.9772
2023-10-19,0
2023-10-19,0.9898
2023-10-19,-0.9701
2023-10-19,0
2023-10-19,0
2023-10-19,0.9956
2023-10-19,0
2023-10-19,0.836
2023-10-19,0.9153
2023-10-18,0.1119
2023-10-18,-0.9062
2023-10-18,0.996
2023-10-18,0.7506
2023-10-18,0
2023-10-18,0.9879
2023-10-18,0
2023-10-18,0.6908
2023-10-18,0.8518
2023-10-18,0.34
2023-10-18,0.9905
2023-10-18,-0.3197
2023-10-18,0.992
2023-10-18,-0.965
2023-10-18,-0.9259
2023-10-17,0.9777
2023-10-17,0.1857
2023-10-17,0.9949
2023-10-17,0.9723
2023-10-17,0
2023-10-17,0.09
2023-10-17,0.9839
2023-10-17,0.9513
2023-10-16,0.9674
2023-10-16,0.4205
2023-10-16,-0.7909
2023-10-16,0.9506
2023-10-16,-0.6908
2023-10-16,0.4118
2023-10-16,0.9721
2023-10-16,0
2023-10-16,-0.908
2023-10-16,0
2023-10-16,0.9844
2023-10-16,-0.932
2023-10-16,0.9831
2023-10-16,-0.5859
2023-10-15,0.9947
2023-10-15,0.9382
2023-10-13,0.969
2023-10-13,0.9643
2023-10-13,0.9571
2023-10-13,0.5267
2023-10-13,0
2023-10-13,-0.0258
2023-10-13,0.781
2023-10-13,0
2023-10-13,0.9299
2023-10-13,0
2023-10-13,0.9831
2023-10-12,0.9956
2023-10-12,0.5994
2023-10-12,0
2023-10-12,0.9804
2023-10-12,0
2023-10-11,0
2023-10-11,0
2023-10-10,0.9833
2023-10-10,0.9819
2023-10-10,0.4391
2023-10-10,0.8917
2023-10-10,0.8963
2023-10-09,0.9441
2023-10-09,0.9426
2023-10-09,0
2023-10-08,0.9412
2023-10-06,0
2023-10-06,0
2023-10-06,0
2023-10-05,0
2023-10-04,-0.296
2023-10-04,0.942
2023-10-04,0
2023-10-03,0.9423
2023-10-03,0.6808
2023-10-03,-0.5386
2023-10-03,0
2023-10-03,0.9161
2023-10-03,0.9605
2023-10-02,-0.9737
2023-10-02,0.9621
2023-09-28,0
2023-09-28,0
2023-09-27,0.9907
2023-09-27,0.8398
2023-09-26,0
2023-09-26,0.8834
2023-09-25,0.7961
2023-09-25,0.8883
2023-09-25,0
2023-09-25,0.8834
2023-09-25,-0.0258
2023-09-25,0.6597
2023-09-25,0
