Date,Score
2023-12-14,0.4588
2023-12-13,0.9991
2023-12-11,0.9317
2023-12-11,0.9478
2023-12-11,-0.6436
2023-12-11,0.8442
2023-12-11,0.9812
2023-12-11,0.9812
2023-12-10,0.9246
2023-12-08,0.9052
2023-12-08,0.9991
2023-12-08,0.9601
2023-12-08,0.959
2023-12-08,0.6858
2023-12-07,0.7859
2023-12-07,0.9959
2023-12-07,0
2023-12-07,0.9476
2023-12-07,0
2023-12-07,0
2023-12-07,0.9875
2023-12-06,0.9432
2023-12-06,0.9032
2023-12-06,0.9769
2023-12-06,0.6096
2023-12-06,0.9561
2023-12-05,0.9872
2023-12-05,0.839
2023-12-05,0.9628
2023-12-04,0.8746
2023-12-04,0
2023-12-04,-0.772
2023-12-04,0
2023-12-04,0
2023-12-04,0.7553
2023-12-03,0.9889
2023-12-03,0.9976
2023-12-01,0.9896
2023-12-01,0.9509
2023-11-30,0.956
2023-11-30,0.9792
2023-11-30,0.9986
2023-11-30,0.9995
2023-11-30,0.9993
2023-11-30,0
2023-11-29,0.9933
2023-11-29,0.9749
2023-11-29,0.9916
2023-11-28,0.9912
2023-11-28,0.999
2023-11-28,0.991
2023-11-27,0
2023-11-27,0.7547
2023-11-27,0.8644
2023-11-27,0
2023-11-27,0
2023-11-26,0.9821
2023-11-26,-0.7845
2023-11-24,0.9815
2023-11-24,0.9509
2023-11-24,0.8441
2023-11-24,0.9946
2023-11-24,0.7425
2023-11-24,0
2023-11-23,0.9856
2023-11-23,-0.2871
2023-11-22,0.9887
2023-11-22,0.9879
2023-11-22,0.9924
2023-11-22,-0.949
2023-11-22,-0.9743
2023-11-22,0.6908
2023-11-22,0.9719
2023-11-22,0
2023-11-22,0.9702
2023-11-22,0.9299
2023-11-22,0.9149
2023-11-22,0.969
2023-11-22,0
2023-11-22,0.9964
2023-11-22,0
2023-11-22,0.9463
2023-11-22,0.7003
2023-11-22,0
2023-11-22,-0.9809
2023-11-22,-0.7096
2023-11-22,1
2023-11-22,0
2023-11-22,0
2023-11-22,0
2023-11-22,0
2023-11-22,0
2023-11-22,0.9418
2023-11-22,0.0106
2023-11-22,-0.5526
2023-11-22,0
2023-11-22,0
2023-11-21,0.9821
2023-11-21,0.8945
2023-11-21,0.7643
2023-11-21,0.9941
2023-11-21,0.9761
2023-11-21,-0.8847
2023-11-21,0.9905
2023-11-21,0.9636
2023-11-21,-0.9811
2023-11-21,0
2023-11-21,0.7845
2023-11-21,0
2023-11-21,0.9884
2023-11-21,0.9751
2023-11-21,-0.0258
2023-11-21,0.977
2023-11-21,0.9777
2023-11-21,0.9648
2023-11-21,0.7351
2023-11-21,0.9845
2023-11-21,0.9602
2023-11-21,0.981
2023-11-20,0.995
2023-11-20,0.996
2023-11-20,0.934
2023-11-20,0.9359
2023-11-20,0.9957
2023-11-20,0.5106
2023-11-20,0.9951
2023-11-20,0.9947
2023-11-20,0.9791
2023-11-20,0.9412
2023-11-20,0
2023-11-20,0.964
2023-11-20,-0.9696
2023-11-20,0.7178
2023-11-19,0.9927
2023-11-19,0.9935
2023-11-19,0.9934
2023-11-18,0.9944
2023-11-18,0.9625
2023-11-17,0.994
2023-11-17,0.7964
2023-11-17,-0.6908
2023-11-17,0.128
2023-11-17,0.9973
2023-11-17,0.9905
2023-11-17,-0.543
2023-11-17,0.9822
2023-11-17,-0.9507
2023-11-16,-0.9213
2023-11-16,0.9867
2023-11-16,0.9458
2023-11-16,0
2023-11-15,0.9517
2023-11-15,0.9956
2023-11-15,0.9951
2023-11-15,0.9929
2023-11-14,0.9907
2023-11-14,0.9808
2023-11-14,0.9557
2023-11-14,0
2023-11-14,0.9545
2023-11-14,0.34
2023-11-14,0
2023-11-14,0.9988
2023-11-14,0.9887
2023-11-13,0.8591
2023-11-13,0.982
2023-11-13,0.9838
2023-11-13,0.9791
2023-11-13,0.9117
2023-11-10,0.9664
2023-11-09,0.9325
2023-11-09,-0.7436
2023-11-09,0.986
2023-11-09,0.7964
2023-11-09,0.9751
2023-11-09,0.9853
2023-11-09,-0.2732
2023-11-09,0.9911
2023-11-08,0.9913
2023-11-07,0.9953
2023-11-07,0.987
2023-11-07,0.7992
2023-11-07,0.9943
2023-11-07,0.9953
2023-11-07,0
2023-11-06,0
2023-11-06,0.9648
2023-11-06,0.5943
2023-11-06,0
2023-11-06,0
2023-11-06,-0.979
2023-11-03,0.9961
2023-11-03,0.9633
2023-11-03,-0.979
2023-11-03,0.959
2023-11-02,0.9951
2023-11-02,0.9875
2023-11-02,0.9762
2023-11-01,0.9499
2023-11-01,0.9413
2023-11-01,0.2732
2023-11-01,0.9973
2023-11-01,0.836
2023-11-01,0.9842
2023-11-01,0.872
2023-10-31,0.9549
2023-10-31,0.9678
2023-10-31,0.9845
2023-10-31,0.9868
2023-10-31,0.9737
2023-10-31,0.8271
2023-10-31,0
2023-10-31,0.988
2023-10-31,0.6369
2023-10-30,0.9861
2023-10-30,0.8834
2023-10-30,0.9819
2023-10-30,0.9865
2023-10-30,0.9022
2023-10-29,0.9617
2023-10-27,0.9858
2023-10-27,0
2023-10-27,0.9793
2023-10-27,0
2023-10-26,0.9806
2023-10-26,0.969
2023-10-26,0.9449
2023-10-26,0.1531
2023-10-25,0.9781
2023-10-25,0.9795
2023-10-25,0.9929
2023-10-24,0.9597
2023-10-24,0.985
2023-10-24,-0.1531
2023-10-24,0.8641
2023-10-24,0.959
2023-10-24,0.9607
2023-10-24,0.995
2023-10-24,0.9897
2023-10-24,0.9872
2023-10-23,0.992
2023-10-23,0.9931
2023-10-23,0.743
2023-10-23,0
2023-10-23,0.9642
2023-10-23,0.9922
2023-10-23,0.9777
2023-10-23,0.9829
2023-10-23,-0.5096
2023-10-23,-0.5679
2023-10-23,-0.9827
2023-10-23,-0.96
2023-10-22,0.8765
2023-10-22,0.9961
2023-10-22,0.997
2023-10-22,0.96
2023-10-20,0.9761
2023-10-20,0.9961
2023-10-20,0
2023-10-20,0.9925
2023-10-20,0
2023-10-20,-0.9543
2023-10-19,0
2023-10-19,0.9903
2023-10-19,0.9889
2023-10-19,0.9853
2023-10-19,-0.8885
2023-10-19,0.9943
2023-10-18,0.9668
2023-10-18,0.1119
2023-10-18,0
2023-10-18,0.9911
2023-10-18,0.9905
2023-10-18,0.93
2023-10-18,0.9907
2023-10-18,0.9856
2023-10-18,0
2023-10-18,0.8351
2023-10-18,0.9938
2023-10-18,0
2023-10-18,0
2023-10-18,0.9748
2023-10-18,0.9409
2023-10-17,0.9718
2023-10-17,0.6369
2023-10-17,0.99
2023-10-17,0.1857
2023-10-17,0
2023-10-17,0.9093
2023-10-17,-0.4767
2023-10-17,0
2023-10-17,0.9981
2023-10-17,0
2023-10-17,0.7264
2023-10-17,0.6908
2023-10-17,0
2023-10-17,-0.2411
2023-10-17,0
2023-10-16,0.7968
2023-10-16,0
2023-10-16,0
2023-10-16,0.8442
2023-10-13,0.983
2023-10-13,0.9842
2023-10-13,0.9905
2023-10-13,0
2023-10-13,0
2023-10-13,0.6959
2023-10-13,0
2023-10-12,0.9886
2023-10-12,0.9382
2023-10-12,0.9733
2023-10-11,0.7003
2023-10-11,0
2023-10-11,0.9812
2023-10-11,0.9735
2023-10-11,0
2023-10-10,0.9409
2023-10-10,0.9686
2023-10-10,0.9259
2023-10-09,0.9723
2023-10-09,-0.9455
2023-10-09,-0.9682
2023-10-09,0.9426
2023-10-09,0
2023-10-09,0.8959
2023-10-09,0
2023-10-09,0
2023-10-08,-0.9571
2023-10-06,0.9851
2023-10-06,-0.3632
2023-10-06,0
2023-10-06,0.9781
2023-10-06,0.9764
2023-10-06,0.8968
2023-10-06,0
2023-10-06,0
2023-10-06,0.9808
2023-10-06,0.9563
2023-10-06,0.9454
2023-10-06,0
2023-10-05,0.8301
2023-10-05,0.987
2023-10-05,0
2023-10-04,0.969
2023-10-03,0.9198
2023-10-03,0
2023-10-02,0.8555
2023-10-02,0.4482
2023-10-02,0.9936
2023-10-02,0.9886
2023-10-02,0.4664
2023-10-02,0
2023-10-02,-0.5106
2023-10-02,0.9805
2023-10-02,0.9637
2023-10-02,0.9223
2023-10-02,0.9694
2023-10-02,0.9109
2023-10-02,0.9144
2023-10-02,0.9896
2023-10-02,-0.4404
2023-10-02,0.9717
2023-10-02,0
2023-09-30,0.4767
2023-09-29,0.9822
2023-09-29,0.9937
2023-09-29,-0.872
2023-09-29,0.9741
2023-09-29,0.9749
2023-09-29,0.4767
2023-09-28,0.964
2023-09-28,0.7579
2023-09-28,0.4588
2023-09-28,0
2023-09-28,0.9648
2023-09-28,0.9364
2023-09-28,-0.7717
2023-09-27,0
2023-09-27,0.9882
2023-09-26,0
2023-09-26,0.984
2023-09-25,0.9932
2023-09-25,0
2023-09-22,0.9789
2023-09-22,0.9292
2023-09-22,0.9919
2023-09-21,0.0624
2023-09-21,0.9934
2023-09-21,0.9932
2023-09-21,0.9682
2023-09-20,0.9931
2023-09-20,0.9932
2023-09-20,0.9287
2023-09-20,0.987
2023-09-20,0.9945
2023-09-20,0.9882
2023-09-19,0.9936
2023-09-19,0.9943
2023-09-19,0.7096
2023-09-19,0.9531
2023-09-19,0.9716
2023-09-19,0.9832
2023-09-19,0.9517
2023-09-19,0
2023-09-19,0.9777
2023-09-19,0.9446
2023-09-18,0.986
2023-09-18,0.9851
2023-09-18,0.9895
2023-09-18,0.9975
2023-09-18,0.9976
2023-09-18,-0.8481
2023-09-17,0.4563
2023-09-17,0.296
2023-09-16,0.296
2023-09-15,0.6412
2023-09-15,0.99
2023-09-15,0.296
2023-09-15,0.9908
2023-09-15,0.9201
2023-09-15,0.9812
2023-09-15,0.9866
2023-09-15,0
2023-09-15,0.9628
2023-09-15,0.9931
2023-09-15,0.9902
2023-09-15,0.9133
2023-09-14,0.4854
2023-09-14,0.9961
2023-09-14,0.9833
2023-09-14,0.992
2023-09-14,0.9538
2023-09-14,0
2023-09-14,0.7783
2023-09-14,0
2023-09-14,0.9584
2023-09-14,-0.5416
2023-09-14,0.9883
2023-09-13,0.9797
2023-09-13,0.9862
2023-09-13,0.9184
2023-09-13,0.7184
2023-09-13,0.6928
2023-09-12,-0.8593
2023-09-12,0.9764
2023-09-12,0.7595
2023-09-12,0.9906
2023-09-12,0.9835
2023-09-12,0.9785
2023-09-11,0.9879
2023-09-11,0.7685
2023-09-11,-0.2732
2023-09-11,0
2023-09-11,0.9901
2023-09-11,0.9871
2023-09-08,0.9633
2023-09-08,0.9769
2023-09-08,0.9958
2023-09-08,0
2023-09-08,0.9942
2023-09-08,0.9825
2023-09-07,0.9853
2023-09-07,0.9888
2023-09-07,0.875
2023-09-07,0.4767
2023-09-07,0.9894
2023-09-07,0.9877
2023-09-07,0
2023-09-06,0.9906
2023-09-06,0.9793
2023-09-06,0
2023-09-06,0.9231
2023-09-06,0.9939
2023-09-06,0.9891
2023-09-05,0.9961
2023-09-05,0.9559
2023-09-05,0.9937
2023-09-05,0.9758
2023-09-05,0.9062
2023-09-05,0.9899
2023-09-05,0.9683
2023-09-05,0.9081
2023-09-05,0.8402
2023-09-05,0.9584
2023-09-05,0
2023-09-04,0.9612
2023-09-03,0.5859
2023-09-02,0.9301
2023-09-02,0.5859
2023-09-01,0.9823
2023-09-01,0
2023-09-01,0.8126
2023-09-01,0.9394
2023-09-01,0.5859
2023-09-01,0.9571
2023-09-01,0.9666
2023-09-01,0.9849
2023-09-01,0.8126
2023-09-01,0.9648
2023-08-31,0.91
2023-08-31,0.9531
2023-08-31,-0.7783
2023-08-31,0.6337
2023-08-31,-0.4057
2023-08-31,0.8126
2023-08-31,0.8225
2023-08-30,0.9839
2023-08-30,0.9575
2023-08-30,0.3353
2023-08-30,0.2617
2023-08-30,0
2023-08-30,0.296
2023-08-30,0.9967
2023-08-30,0.9869
2023-08-30,0.9897
2023-08-30,0.9331
2023-08-30,0.9976
2023-08-30,0.9964
2023-08-29,0.9957
2023-08-29,0.9132
2023-08-29,0.9931
2023-08-29,0.8555
