Date,Score
2023-12-05,0.9947
2023-11-17,0.9983
2023-11-16,0.9923
2023-11-16,0.296
2023-11-15,-0.9632
2023-11-13,0.9712
2023-11-13,0.9528
2023-11-13,0
2023-11-08,0.9901
2023-11-08,0.7701
2023-11-06,0.9758
2023-11-06,0.9834
2023-11-06,0.9937
2023-11-02,0.9468
2023-10-31,0.9908
2023-10-31,0.9403
2023-10-30,0.91
2023-10-27,0.802
2023-10-26,0.9382
2023-10-26,0.5499
2023-10-25,0
2023-10-19,0.9528
2023-10-19,0
2023-10-13,0
2023-10-13,0.9399
2023-10-12,0.8932
2023-10-12,0.9642
2023-10-12,0.9926
2023-10-12,0.9403
2023-10-11,0
2023-10-11,0
2023-10-11,0
2023-10-10,0.9935
2023-10-10,0.9862
2023-10-10,0.9886
2023-10-10,0.3612
2023-10-10,0.9783
2023-10-10,0.9541
2023-10-10,0.9091
2023-10-10,0.9753
2023-10-10,0
2023-10-10,0
2023-10-10,0.989
2023-10-10,0
2023-10-10,0.6908
2023-10-10,0.9712
2023-10-10,-0.9823
2023-10-10,-0.6908
2023-10-09,0.8225
2023-10-09,0.8779
2023-10-09,-0.9072
2023-10-09,0
2023-10-09,0
2023-10-09,0
2023-10-09,0.9964
2023-10-09,0.9403
2023-10-08,0.9022
2023-10-08,0.7645
2023-10-06,0.9814
2023-10-06,0
2023-10-04,0
2023-10-03,0.9774
2023-09-28,0.9151
2023-09-26,0.9914
2023-09-26,-0.7334
2023-09-21,0.8807
2023-09-21,0.8781
2023-09-19,0.981
2023-09-15,0.2617
2023-09-15,0.936
2023-09-13,0.872
2023-09-08,0.9355
2023-09-06,0.8689
2023-09-01,0.9852
2023-08-31,-0.1072
2023-08-30,0.6249
2023-08-29,0
2023-08-25,0.9758
2023-08-25,0.9618
2023-08-25,0.9705
2023-08-24,0.9792
2023-08-18,0.9623
2023-08-03,0.34
2023-08-03,0.7096
2023-08-01,-0.1497
2023-07-26,0.9923
2023-07-26,0.9148
2023-07-20,0.5423
2023-07-18,0.9729
2023-07-17,0.2263
2023-07-17,0.9881
2023-07-17,0.4601
2023-07-17,0.9698
2023-07-17,0
2023-07-14,0.998
2023-07-14,0
2023-07-14,0
2023-07-14,0
2023-07-14,0
2023-07-14,0
2023-07-14,0
2023-07-14,0.9071
2023-07-13,0.9924
2023-07-13,0.9817
2023-07-13,0.8316
2023-07-13,0.8658
2023-07-13,-0.9953
2023-07-13,0.3182
2023-07-13,0.9169
2023-07-13,0.9913
2023-07-13,0.5789
2023-07-13,0
2023-07-13,0.9891
2023-07-13,0.9052
2023-07-13,0.6908
2023-07-13,0
2023-07-12,-0.7717
2023-07-12,0.9652
2023-07-12,-0.5267
2023-07-10,-0.9645
2023-07-10,0.51
2023-07-10,0.8642
2023-07-08,0.51
2023-07-06,0
2023-06-30,0.9625
2023-06-30,0.8934
2023-06-30,-0.4215
2023-06-29,-0.9951
2023-06-22,0.9819
2023-06-14,0.8804
2023-06-13,0.8804
2023-06-09,0.5631
2023-05-18,0.9738
2023-05-10,0.9614
2023-05-08,0.9823
2023-05-04,-0.1761
2023-05-04,0.9524
2023-05-03,0.9829
2023-05-02,0.5423
2023-04-28,0.9681
2023-04-28,-0.9772
2023-04-28,-0.9163
2023-04-27,0.9927
2023-04-27,0
2023-04-26,0.965
2023-04-26,0.9868
2023-04-26,0
2023-04-26,0
2023-04-25,-0.8281
2023-04-25,0.9905
2023-04-25,-0.9741
2023-04-25,0.5356
2023-04-25,0
2023-04-25,0.8643
2023-04-25,-0.5267
2023-04-25,0.4767
2023-04-25,0.9775
2023-04-25,0.3182
2023-04-25,0.9299
2023-04-25,0.4939
2023-04-25,0.7845
2023-04-25,0.8955
2023-04-25,0
2023-04-25,0.9778
2023-04-25,-0.6098
2023-04-24,0.9552
2023-04-24,0.9785
2023-04-23,0.699
2023-04-17,0
2023-04-14,0
2023-04-13,0
2023-04-12,0.9976
2023-04-10,0
2023-04-06,0
2023-03-28,0.9898
2023-03-23,0.9874
2023-03-23,0.9906
2023-03-20,0.969
2023-03-20,0
2023-03-20,0.9866
2023-03-20,0.3182
2023-03-20,0
2023-03-17,0.969
2023-03-13,-0.8208
2023-03-10,-0.8388
2023-03-08,0.9879
2023-03-07,0.9821
2023-03-06,0.9754
2023-03-01,0.9776
2023-02-23,0.9964
2023-02-23,0.9947
2023-02-21,0.9567
2023-02-20,0.9708
2023-02-20,0
2023-02-18,-0.7096
2023-02-16,0.6855
2023-02-16,-0.6494
2023-02-16,0.872
2023-02-14,0.9439
2023-02-13,0
2023-02-10,0
2023-02-10,0
2023-02-10,0.9812
2023-02-09,0.9555
2023-02-09,0
2023-02-09,0
2023-02-09,0.9517
2023-02-09,-0.1073
2023-02-09,0.3182
2023-02-09,-0.9879
2023-02-09,0.9774
2023-02-09,0.7717
2023-02-09,0.9246
2023-02-09,0.9615
2023-02-09,0.6908
2023-02-09,-0.6901
2023-02-08,0.8625
2023-02-08,0
2023-02-07,0
2023-02-06,0.6412
2023-02-06,-0.3818
2023-02-06,0.8763
2023-02-06,-0.9185
2023-02-05,0.9186
2023-02-05,-0.9913
2023-02-03,0.9798
2023-01-25,0.7351
2023-01-20,0.9834
2023-01-20,0.7504
2023-01-17,0
2023-01-10,0.4767
2023-01-04,0
2023-01-03,0
2022-12-22,0.4404
2022-12-20,0
2022-12-16,0.9322
2022-12-09,0.9958
2022-12-07,0
2022-12-06,-0.9044
2022-12-06,-0.7657
2022-12-06,0.3182
2022-12-06,-0.9773
2022-12-05,0
2022-12-05,-0.5267
2022-12-05,-0.8625
2022-12-02,0.7153
2022-12-02,0.7834
2022-12-02,0.9698
2022-12-01,0.3768
2022-11-20,0.9831
2022-11-08,0.91
2022-11-04,0
2022-11-03,0.9853
2022-11-02,-0.4604
2022-11-01,0.9678
2022-10-26,0.8999
2022-10-25,0.9655
2022-10-25,0.974
2022-10-19,0.9913
2022-10-18,-0.0772
2022-10-18,-0.8674
2022-10-18,-0.3804
2022-10-14,0
2022-10-13,0
2022-10-13,0
2022-10-13,0
2022-10-13,-0.9707
2022-10-12,0.1744
2022-10-12,0.9448
2022-10-12,-0.0258
2022-10-12,0
2022-10-12,0
2022-10-12,-0.6757
2022-10-12,0.3182
2022-10-12,0.1672
2022-10-12,0.6908
2022-10-12,-0.1531
2022-10-12,0.4404
2022-10-12,0.3626
2022-10-11,-0.128
2022-10-11,0.0516
