Date,Score
2023-12-08,0.9961
2023-12-05,0.9524
2023-12-05,0.9866
2023-12-05,0.4767
2023-12-05,-0.875
2023-11-27,0.9815
2023-11-25,0.9698
2023-11-22,0.9936
2023-11-15,0.9788
2023-11-15,0.8779
2023-11-15,0.9771
2023-11-15,0.9943
2023-11-14,0.6486
2023-11-13,0.9633
2023-11-13,0
2023-11-10,0.9972
2023-11-03,0.9603
2023-11-03,-0.7424
2023-11-02,0.9468
2023-10-29,0.975
2023-10-27,0.802
2023-10-26,0.9679
2023-10-20,0
2023-10-19,0
2023-10-19,0
2023-10-18,0.1119
2023-10-18,0
2023-10-18,-0.0772
2023-10-18,0.9911
2023-10-18,0.9905
2023-10-18,-0.1531
2023-10-18,0.9638
2023-10-18,0
2023-10-18,0.9627
2023-10-18,0.9459
2023-10-18,0.6908
2023-10-18,0.935
2023-10-17,0.9542
2023-10-16,0.4118
2023-10-16,0
2023-10-16,0
2023-10-16,-0.932
2023-10-16,-0.9679
2023-10-15,0.9382
2023-10-13,0.969
2023-10-13,0
2023-10-12,0
2023-10-12,0
2023-10-11,0
2023-10-04,0.9464
2023-10-03,0
2023-09-27,0
2023-09-26,-0.7334
2023-09-22,0
2023-09-22,0
2023-09-15,-0.8392
2023-09-14,0.267
2023-09-08,0
2023-09-08,0
2023-08-30,0.9821
2023-08-29,0.984
2023-08-21,0.9169
2023-08-14,0.9974
2023-08-11,0.996
2023-08-09,0.9702
2023-08-02,0.9553
2023-08-02,0.7584
2023-08-02,0.9743
2023-08-01,0
2023-07-31,0
2023-07-31,0
2023-07-31,0
2023-07-31,0
2023-07-31,0
2023-07-31,0
2023-07-31,0
2023-07-31,0
2023-07-28,0.9967
2023-07-28,0.9588
2023-07-28,0.962
2023-07-28,0.9794
2023-07-28,0.8957
2023-07-28,0.7579
2023-07-28,0.6908
2023-07-28,0.702
2023-07-28,0.9842
2023-07-27,0.9186
2023-07-27,0.9829
2023-07-26,0.9911
2023-07-25,0.631
2023-07-24,0.9933
2023-07-21,0.9674
2023-07-20,0
2023-07-12,0.9789
2023-07-11,0.296
2023-07-10,0
2023-06-29,0
2023-06-20,0.0258
2023-05-19,0.6705
2023-05-18,0.9442
2023-05-18,0
2023-05-17,0.9958
2023-05-15,0
2023-05-15,0.7506
2023-05-02,0.9423
2023-04-26,0
2023-04-25,0.8886
2023-04-24,0
2023-04-24,0.9971
2023-04-21,0.9732
2023-04-21,0.9419
2023-04-21,0
2023-04-21,0.9966
2023-04-21,0.9647
2023-04-21,0.8887
2023-04-21,-0.1779
2023-04-21,0.3182
2023-04-21,-0.9875
2023-04-21,0.6908
2023-04-21,-0.9864
2023-04-20,-0.7184
2023-04-20,0.8316
2023-04-20,0
2023-04-17,0.8793
2023-04-17,0.9601
2023-04-17,0.9916
2023-04-14,0
2023-04-14,0
2023-04-13,0.9986
2023-04-13,0
2023-04-11,0.995
2023-04-11,0.5423
2023-04-10,0
2023-04-06,0
2023-03-20,0
2023-03-13,-0.8208
2023-03-10,-0.8388
2023-03-08,0.9879
2023-03-08,0.6124
2023-03-03,0.9617
2023-03-03,0.3182
2023-03-03,0
2023-03-02,0
2023-03-01,0.9976
2023-03-01,0.9891
2023-03-01,0.9758
2023-03-01,0.9565
2023-03-01,0
2023-03-01,0.3182
2023-02-21,0.989
2023-02-21,0.9567
2023-02-21,0.9554
2023-02-20,0.9708
2023-02-20,0
2023-02-17,0.979
2023-02-16,0.6855
2023-02-14,0.9274
2023-02-14,0.9975
2023-02-10,0.9694
2023-02-10,0.9489
2023-02-06,0.7269
2023-02-02,-0.5662
2023-01-30,0.4588
2023-01-23,0
2023-01-20,0.7504
2023-01-20,0
2023-01-20,0
2023-01-20,0.9875
2023-01-20,0
2023-01-19,0.4404
2023-01-19,-0.9754
2023-01-19,0
2023-01-19,0.8866
2023-01-19,-0.5423
2023-01-19,-0.7615
2023-01-19,0.8968
2023-01-19,0.3182
2023-01-19,0.8968
2023-01-19,0.9801
