Date,Score
2023-12-14,0.9975
2023-12-13,0.9134
2023-12-13,-0.8796
2023-12-13,0.9965
2023-12-08,0
2023-12-07,0.9524
2023-12-06,0.9295
2023-12-06,0.3182
2023-12-06,0.9993
2023-12-05,0.9806
2023-12-05,0.9822
2023-12-02,-0.9313
2023-12-01,0.9834
2023-12-01,0
2023-11-30,0.9687
2023-11-30,0.9939
2023-11-30,0.9489
2023-11-29,0.9489
2023-11-29,0.9687
2023-11-29,0.9959
2023-11-29,0.9997
2023-11-29,0.9989
2023-11-29,0.9956
2023-11-28,0.9786
2023-11-27,0.9829
2023-11-27,0.9944
2023-11-27,0
2023-11-27,0.9336
2023-11-25,0.9948
2023-11-24,0.9702
2023-11-24,0.9509
2023-11-24,0.9977
2023-11-23,-0.8515
2023-11-22,0.9799
2023-11-22,0.9963
2023-11-21,0.9914
2023-11-21,0.8656
2023-11-21,-0.975
2023-11-20,0.9968
2023-11-20,-0.9771
2023-11-20,0.9897
2023-11-19,0.9934
2023-11-17,0.9971
2023-11-17,0.9893
2023-11-17,0
2023-11-17,0
2023-11-17,0.9578
2023-11-17,0
2023-11-17,0
2023-11-17,0
2023-11-17,0
2023-11-17,0.9726
2023-11-17,0
2023-11-17,0.9872
2023-11-17,0
2023-11-17,0.996
2023-11-17,0
2023-11-17,0
2023-11-17,1
2023-11-17,0.9494
2023-11-16,0.9949
2023-11-16,0.9951
2023-11-16,0.9909
2023-11-16,-0.1901
2023-11-16,0
2023-11-16,0.9472
2023-11-16,0.9934
2023-11-16,-0.25
2023-11-16,0.9971
2023-11-16,0.9042
2023-11-16,0.0772
2023-11-16,0.995
2023-11-16,0.9941
2023-11-16,0
2023-11-16,0
2023-11-16,0.9774
2023-11-16,0
2023-11-16,0
2023-11-16,0
2023-11-16,0.6908
2023-11-16,0.9913
2023-11-16,0.1538
2023-11-15,0.9909
2023-11-15,0.9801
2023-11-15,0.992
2023-11-15,0.9972
2023-11-15,0.802
2023-11-14,0.9957
2023-11-14,0
2023-11-14,0.9761
2023-11-14,0.9694
2023-11-13,0.982
2023-11-13,0.9764
2023-11-13,0.7135
2023-11-13,0.8352
2023-11-13,0.9623
2023-11-13,0
2023-11-13,0
2023-11-13,0.9915
2023-11-13,0.9528
2023-11-13,-0.3144
2023-11-13,0.9501
2023-11-12,-0.9442
2023-11-10,0.9958
2023-11-09,0.9697
2023-11-09,0.9764
2023-11-08,0.9901
2023-11-08,0.9742
2023-11-07,0
2023-11-07,0
2023-11-07,0
2023-11-06,0
2023-11-06,0.9371
2023-11-03,-0.7673
2023-11-03,0.3166
2023-11-03,0.9966
2023-11-01,0.9849
2023-11-01,0.4019
2023-11-01,0.8625
2023-10-31,0.9623
2023-10-31,-0.9991
2023-10-30,0.9623
2023-10-26,-0.9991
2023-10-26,0.9325
2023-10-26,-0.9949
2023-10-25,0.6486
2023-10-24,0
2023-10-24,0.8402
2023-10-24,0
2023-10-23,0.982
2023-10-19,0.9528
2023-10-16,0.995
2023-10-16,0.9781
2023-10-13,-0.997
2023-10-13,0
2023-10-12,0.9325
2023-10-11,0.9981
2023-10-10,0.9781
2023-10-10,0.9783
2023-10-10,0.9843
2023-10-09,0.2144
2023-10-09,0.9915
2023-10-09,0.9927
2023-10-06,0.2769
2023-10-06,0
2023-10-06,0
2023-10-06,0
2023-10-06,0
2023-10-05,0.1389
2023-10-05,0.5267
2023-10-05,0.9477
2023-10-04,0.8934
2023-10-04,0
2023-09-30,0.9833
2023-09-29,0.996
2023-09-27,0.8398
2023-09-27,0.7964
2023-09-26,-0.9655
2023-09-26,0
2023-09-24,0.9619
2023-09-22,0.9931
2023-09-22,0
2023-09-22,0
2023-09-22,0.9619
2023-09-22,0.9932
2023-09-21,0.9835
2023-09-21,0.9583
2023-09-20,0.827
2023-09-19,0.9719
2023-09-19,0.981
2023-09-18,0.9078
2023-09-18,0
2023-09-15,0.9924
2023-09-14,0.8271
2023-09-14,0.9969
2023-09-13,-0.9869
2023-09-13,0.7469
2023-09-13,0.9876
2023-09-12,0.8634
2023-09-12,0
2023-09-12,0
2023-09-12,0
2023-09-12,0
2023-09-12,0.8776
2023-09-09,0
2023-09-08,0.6808
2023-09-08,0.9628
2023-09-07,-0.4497
2023-09-07,0.8807
2023-09-01,0.9865
2023-08-31,-0.9029
2023-08-30,-0.3167
2023-08-30,0.9924
2023-08-30,0.9768
2023-08-29,0
2023-08-29,0.9981
2023-08-28,0
2023-08-25,-0.9062
2023-08-23,0.9873
2023-08-23,0
2023-08-23,0
2023-08-22,0.9829
2023-08-21,0.9365
2023-08-21,-0.9417
2023-08-18,0.9846
2023-08-18,0.4779
2023-08-18,0.9964
2023-08-18,0
2023-08-18,0
2023-08-18,0
2023-08-18,0
2023-08-18,0
2023-08-18,0
2023-08-18,0
2023-08-18,0
2023-08-18,0
2023-08-18,0
2023-08-18,0
2023-08-18,0.9989
2023-08-18,0
2023-08-18,0
2023-08-17,0.4019
2023-08-17,0.9032
2023-08-17,0.9668
2023-08-17,0
2023-08-17,0.9864
2023-08-17,0.5859
2023-08-17,0.9601
2023-08-17,0.9955
2023-08-17,0
2023-08-17,0.9916
2023-08-17,-0.5017
2023-08-17,0.9062
2023-08-17,0.6908
2023-08-17,0
2023-08-17,0.9437
2023-08-17,-0.9784
2023-08-16,0.0054
2023-08-16,0.8834
2023-08-16,-0.993
2023-08-16,0.7436
2023-08-16,0.975
2023-08-15,0.9583
2023-08-15,0.9623
2023-08-15,0.5106
2023-08-15,0.9686
2023-08-14,0.9933
2023-08-14,0.9854
2023-08-14,0
2023-08-14,0.1027
2023-08-14,0.5753
2023-08-14,0
2023-08-14,0.4404
2023-08-14,0.975
2023-08-14,-0.9087
2023-08-14,0
2023-08-13,0.9909
2023-08-13,0.915
2023-08-11,-0.7615
2023-08-11,0
2023-08-10,0.821
2023-08-09,0
2023-08-08,0
2023-08-08,0.2773
2023-08-08,0
2023-08-07,-0.9559
2023-08-07,0.4939
2023-08-04,-0.943
2023-08-04,-0.1612
2023-08-02,0
2023-08-01,-0.9524
2023-07-31,-0.891
2023-07-31,-0.871
2023-07-31,0
2023-07-31,0.9779
2023-07-31,-0.9325
2023-07-31,0.9783
2023-07-31,0.8047
2023-07-31,0
2023-07-31,0.9981
2023-07-27,0.9398
2023-07-26,-0.5106
2023-07-26,0.9965
2023-07-25,0.975
2023-07-25,0
2023-07-25,0.9509
2023-07-25,0.9642
2023-07-25,0.9959
2023-07-25,0
2023-07-24,0.8823
2023-07-24,-0.8689
2023-07-21,0.9325
2023-07-21,0.8926
2023-07-20,0.9961
2023-07-18,0.9729
2023-07-17,-0.0258
2023-07-17,0
2023-07-16,0.9431
2023-07-14,0.9975
2023-07-13,0.9325
2023-07-13,-0.6864
2023-07-13,0.959
2023-07-12,0.3818
2023-07-11,0.9783
2023-07-11,0.9313
2023-07-11,0.9894
2023-07-07,-0.9971
2023-07-07,0
2023-07-05,-0.9947
2023-06-30,0.9625
2023-06-30,-0.7906
2023-06-29,-0.9976
2023-06-29,0
2023-06-27,0.9878
2023-06-26,-0.0129
2023-06-26,0
2023-06-26,0
2023-06-25,-0.9854
2023-06-23,0.9639
2023-06-23,0.9826
2023-06-22,0.9982
2023-06-20,0.9382
2023-06-20,0.9895
2023-06-20,0.9966
2023-06-16,0.9705
2023-06-15,0.9851
2023-06-15,0.9726
2023-06-15,0.8717
2023-06-15,0.9836
2023-06-14,0.9934
2023-06-14,0.8176
2023-06-14,0
2023-06-13,-0.0258
2023-06-12,0.9879
2023-06-12,0.9525
2023-06-12,0
2023-06-09,0.9349
2023-06-09,-0.024
2023-06-09,0.4847
2023-06-05,0.9698
2023-06-05,0.9756
2023-06-05,0
2023-06-02,0.9535
2023-06-01,0.024
2023-06-01,0.9526
2023-05-31,0.93
2023-05-31,0.9623
2023-05-31,0.9843
2023-05-30,0.9483
2023-05-25,0.8708
2023-05-24,0.9528
2023-05-23,-0.9823
2023-05-22,0.9157
2023-05-22,0
2023-05-20,-0.2828
2023-05-19,0.9904
2023-05-19,0
2023-05-19,0
2023-05-18,0.9791
2023-05-18,0.9468
2023-05-18,-0.296
2023-05-18,-0.34
2023-05-18,0.1779
2023-05-18,0.9738
2023-05-18,0.4767
2023-05-18,0.974
2023-05-18,0
2023-05-18,0.3182
2023-05-18,0.8402
2023-05-18,-0.9928
2023-05-18,0.1779
2023-05-18,0.6908
2023-05-18,-0.9628
2023-05-18,0.9565
2023-05-18,0.4208
2023-05-17,0.9958
2023-05-17,-0.9765
2023-05-17,0.9583
2023-05-17,0.4767
2023-05-17,0.9403
2023-05-17,0.7096
